Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1727-2008 | Citation Text:  Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) | Reference Offset:  ['1685-1888', '1890-2256', '41320-41421'] | Reference Text:  Although K-RAS signals through a cascade of druggable kinases including the RAF, MEK1/2, and ERK1/2 kinases, to our knowledge, it is not known how these individual kinases contribute to tumor development ... Here, we demonstrate that ablation of Mek1/2 or Erk1/2 kinases completely prevents tumor development, although their systemic elimination is incompatible with adult life. In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... K-RAS oncogenes signal through a cascade of downstream effectors, most of which are druggable kinases | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 7 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13279-13298 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13214-13299 | Citation Text:  Only concomitant ablation of ERK1 and ERK2 impairs tumor growth	(Blasco et al., 2011) | Reference Offset:  ['10186-10621', '41711-41936'] | Reference Text:  Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 8 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  13434-13453 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  13385-13454 | Citation Text:  Mek1/2 are essential for KrasV12 induced tumors	(Blasco et al., 2011) | Reference Offset:  ['1890-2059', '17301-17761', '42883-42962'] | Reference Text:  Here, we demonstrate that ablation of Mek1/2 or Erk1/2 kinases completely prevents tumor development, although their systemic elimination is incompatible with adult life ... To determine whether both Mek kinases were required for NSCLC, we exposed K-Ras+/G12V;Mek1lox/lox;Mek2−/− mice to Ad-Cre. These mice displayed significantly increased survival when compared with control K-Ras+/G12V;Mek1+/+;Mek2+/+ animals. Whereas the control cohort (n = 10) had a 50% survival rate of 33 weeks, K-Ras+/G12V;Mek1lox/lox;Mek2−/− mice (n = 14) had a 50% survival rate at 57 weeks ( Figure 4A), thus displaying an almost 100% increase in survival ... Moreover, complete loss of Mek kinases prevented K-Ras-driven NSCLC development | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 9 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18737-18756 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['2061-2256', '25442-25708', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 10 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18797-18816 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['2061-2256', '21846-22266', '43940-44040'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... As illustrated in Figure 5A, conditional ablation of B-Raflox alleles in K-RasG12V-induced NSCLC did not increase survival (50% survival of K-Ras+/G12V;B-Raflox/lox mice [n = 25] at 41.5 versus 40 weeks in K-Ras+/G12V;B-Raf+/+ control animals [n = 28], a 5% increase). The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C) ... B-Raf was completely dispensable for K-Ras oncogenic signaling, at least within the context of NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 11 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18947-18966 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18819-18967 | Citation Text:  Furthermore, ablation of both Erk1 and Erk2 impaired tumor development, whereas inactivation of either one alone had no effect (Blasco et al., 2011) | Reference Offset:  ['1890-2059', '10186-10621', '41711-41936'] | Reference Text:  Here, we demonstrate that ablation of Mek1/2 or Erk1/2 kinases completely prevents tumor development, although their systemic elimination is incompatible with adult life ... Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 12 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  14550-14569 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  14222-14615 | Citation Text:  Although these data do not exclude a potential role for wild-type BRAF in mediating the rebound in ERK phosphorylation in KRAS mutant cells, they suggest that CRAF is required for the pERK rebound and are consistent with reports that CRAF is the main RAF isoform responsible for driving ERK signaling in some RAS mutant tumors (Blasco et al., 2011, Dumaz et al., 2006 and Karreth et al., 2011) | Reference Offset:  ['44322-44418', '46658-47058'] | Reference Text:  Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development ... RAF inhibitors with activity against B-RAF and c-RAF kinases are potent inhibitors of tumors carrying a mutated B-RAFV600E oncogene. However, these inhibitors activate the MEK-ERK pathway in tumors carrying mutant K-RAS or wild-type RAS/RAF molecules by a mechanism involving transactivation of one protomer in RAF homodimers and heterodimers (Hatzivassiliou et al., 2010 and Poulikakos et al., 2010) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 13 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  2733-2752 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  2612-2826 | Citation Text:  Active RAS mediates its effects on tumor formation through a number of effector proteins, including RAF, PI3K, and RAL ( Blasco et al., 2011, González-García et al., 2005, Gupta et al., 2007 and Kolch et al., 1991) | Reference Offset:  ['25442-25708', '44322-44418'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 14 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  41874-41893 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  41751-41894 | Citation Text:  CRAF knockdown may enhance the antitumor effects of MEK inhibition by inhibiting other targets of RAF in addition to MEK ( Blasco et al., 2011) | Reference Offset:  ['25347-25708', '2061-2256', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 15 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  32710-32729 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  32525-32775 | Citation Text:  Importantly, the role of ERK phosphorylation in Kras-driven NSCLCs has been recently highlighted by the demonstration that ERK activity is essential for Kras-driven lung tumorigenesis (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) | Reference Offset:  ['10186-10621', '41711-41936'] | Reference Text:  Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 16 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  36459-36478 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  36367-36716 | Citation Text:  As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) and, in this regard, we propose that our observed requirement of the Notch pathway for NSCLCs formation is related to the capacity of HES1 to increase ERK activity through repression of Dusp1 | Reference Offset:  ['10186-10621', '41711-41936'] | Reference Text:  Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 17 | Reference Article:  Blasco.txt | Citing Article:  Pfeiffer.txt | Citation Marker Offset:  5184-5186 | Citation Marker:  19 | Citation Offset:  5107-5193 | Citation Text:  Lung tumour formation in mice by oncogenic KRAS requires CRaf, but not BRaf [19], [20] | Reference Offset:  ['2061-2256', '43940-44040', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... B-Raf was completely dispensable for K-Ras oncogenic signaling, at least within the context of NSCLC ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 18 | Reference Article:  Blasco.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  37624-37643 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  37474-37747 | Citation Text:  Although Map2k2−/− (MEK2 null) and Mapk3−/− (ERK1 null) mice are viable, in vivo ablation of MEK1 in a Map2k2−/− background ( Scholl et al., 2007 and Blasco et al., 2011) or ERK2 in a Mapk3−/− background ( Chan et al., 2013) results in apoptosis and lethality in adult mice | Reference Offset:  ['20168-20482', '20664-20849', '42964-43092'] | Reference Text:  To examine whether Mek kinase activity was essential for adult homeostasis, Mek1lox/lox;Mek2−/−;RERTert/ert mice were exposed to a tamoxifen diet at 30 days of age. These mice (n = 6) also displayed a rapid deterioration of their health, leading to death just 2 weeks after starting the tamoxifen diet ( Figure 4E) ... These observations indicate that the Mek kinases are also essential for adult homeostasis. Whether a single Mek allele might be sufficient to sustain adult life remains to be determined ... Unfortunately, as discussed above for their downstream Erk kinases, widespread loss of Mek1/2 kinases was incompatible with life | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 19 | Reference Article:  Blasco.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  39474-39493 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39327-39494 | Citation Text:  Indeed, ablation of c-Raf (but not B-Raf) in mice inhibits development and delays progression of Ras-driven tumors in a lung adenocarcinoma model (Blasco et al., 2011) | Reference Offset:  ['2061-2256', '43940-44040', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... B-Raf was completely dispensable for K-Ras oncogenic signaling, at least within the context of NSCLC ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1415_TRAIN | Citance Number: 20 | Reference Article:  Blasco.txt | Citing Article:  Yu.txt | Citation Marker Offset:  43386-43388 | Citation Marker:  62 | Citation Offset:  43297-43389 | Citation Text:  Notably, c-Raf has recently been found essential for development of K-Ras-driven NSCLCs [62] | Reference Offset:  ['2061-2256', '25442-25708', '44322-44418'] | Reference Text:  In contrast, ablation of c-Raf completely prevents K-Ras-driven NSCLC without inducing deleterious effects when systemically eliminated in adult tissues, either alone or in combination with B-Raf ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Discussion_Citation | Annotator:  D, |

