Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1727-2020 | Citation Text:  Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) (Figure 1A) | Reference Offset:  ['2837-3029', '3031-3175'] | Reference Text:  To date, multiple Ras downstream effectors have been identified. It is generally accepted that the Raf/Mek/Erk cascade of kinases is the primary mediator of mitogenic activity (Marshall, 1994) ... Another well-known pathway, the PI3Kinase/Pdk/Akt pathway, is thought to mediate survival signals (Cully et al., 2006 and Engelman et al., 2006) | Discourse Facet:  Implication_Citation | Annotator:  H, |
Topic ID: D1415_TRAIN | Citance Number: 10 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18797-18816 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['22115-22266', '44322-44726'] | Reference Text:  The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C) ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development. Thus, neither B-Raf nor A-Raf could compensate for the lack of c-Raf. Because K-Ras is the Ras isoform that binds and activates c-Raf more efficiently ( Voice et al., 1999), it is possible that c-Raf might be essential to mediate K-Ras signaling to the Mek and Erk kinases, at least in an oncogenic setting | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 11 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18947-18966 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18819-18967 | Citation Text:  Furthermore, ablation of both Erk1 and Erk2 impaired tumor development, whereas inactivation of either one alone had no effect (Blasco et al., 2011) | Reference Offset:  ['13678-14077', '41711-41844'] | Reference Text:  These observations indicate that loss of Erk proteins is incompatible with life in adult mice. Interestingly, preliminary results indicate that a single Erk allele is sufficient to maintain adult homeostasis because Erk1-/-;Erk2+/lox;RERTert/ert (n = 2) and Erk1+/-;Erk2lox/lox;RERTert/ert (n = 3) mice exposed to a tamoxifen diet for 3 months did not show significant abnormalities (data not shown) ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 12 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  14550-14569 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  14222-14615 | Citation Text:  Although these data do not exclude a potential role for wild-type BRAF in mediating the rebound in ERK phosphorylation in KRAS mutant cells, they suggest that CRAF is required for the pERK rebound and are consistent with reports that CRAF is the main RAF isoform responsible for driving ERK signaling in some RAS mutant tumors (Blasco et al., 2011, Dumaz et al., 2006 and Karreth et al., 2011) | Reference Offset:  ['44042-44219', '44728-44855'] | Reference Text:  Moreover, phosphorylation of Erk proteins within the tumor appeared to be unaffected, suggesting that other Raf kinases mediate K-Ras oncogenic signaling in the absence of B-Raf ... Indeed, oncogenic RAS exclusively signaled via c-RAF to the ERK-MAPK pathway in human melanoma cell lines ( Dumaz et al., 2006) | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 13 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  2733-2752 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  2565-2826 | Citation Text:  Oncogenic KRAS mutations are common in cancer. Active RAS mediates its effects on tumor formation through a number of effector proteins, including RAF, PI3K, and RAL ( Blasco et al., 2011, Gonz·lez-GarcÌa et al., 2005, Gupta et al., 2007 and Kolch et al., 1991) | Reference Offset:  ['2837-3175', '3696-4030', '4032-4167'] | Reference Text:  To date, multiple Ras downstream effectors have been identified. It is generally accepted that the Raf/Mek/Erk cascade of kinases is the primary mediator of mitogenic activity (Marshall, 1994). Another well-known pathway, the PI3Kinase/Pdk/Akt pathway, is thought to mediate survival signals (Cully et al., 2006 and Engelman et al., 2006) ... K-RAS, the RAS oncogene most frequently mutated in human cancer, has been implicated in a variety of tumor types including non-small cell lung carcinoma (NSCLC), one of the tumors with the worst prognosis and for which, to our knowledge, there are no effective treatments ( Malumbres and Barbacid, 2003 and Karnoub and Weinberg, 2008) ... Genetic studies in mouse models of NSCLC ( Johnson et al., 2001) have indicated that K-Ras may signal through the PI3Kinase/Akt pathway | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 14 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  41874-41893 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  41751-41894 | Citation Text:  CRAF knockdown may enhance the antitumor effects of MEK inhibition by inhibiting other targets of RAF in addition to MEK ( Blasco et al., 2011) | Reference Offset:  ['25442-25708', '44728-45165'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Indeed, oncogenic RAS exclusively signaled via c-RAF to the ERK-MAPK pathway in human melanoma cell lines ( Dumaz et al., 2006). However, it is also possible that c-Raf, but not B-Raf or A-Raf, may modulate an alternative downstream pathway essential for malignant transformation ( Takezawa et al., 2009), but not for normal homeostasis. This hypothesis may also help to explain why elimination of c-Raf is not deleterious for adult mice | Discourse Facet:  Hypothesis_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 15 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  32710-32729 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  32525-32775 | Citation Text:  Importantly, the role of ERK phosphorylation in Kras-driven NSCLCs has been recently highlighted by the demonstration that ERK activity is essential for Kras-driven lung tumorigenesis (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) | Reference Offset:  ['41711-41844', '44594-44726'] | Reference Text:  As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC ... it is possible that c-Raf might be essential to mediate K-Ras signaling to the Mek and Erk kinases, at least in an oncogenic setting | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 16 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  36459-36478 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  36367-36716 | Citation Text:  As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) and, in this regard, we propose that our observed requirement of the Notch pathway for NSCLCs formation is related to the capacity of HES1 to increase ERK activity through repression of Dusp1 | Reference Offset:  ['41711-41844', '44594-44726'] | Reference Text:  As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC ... it is possible that c-Raf might be essential to mediate K-Ras signaling to the Mek and Erk kinases, at least in an oncogenic setting | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 17 | Reference Article:  Blasco.txt | Citing Article:  Pfeiffer.txt | Citation Marker Offset:  5184-5186 | Citation Marker:  19 | Citation Offset:  5107-5193 | Citation Text:  Lung tumour formation in mice by oncogenic KRAS requires CRaf, but not BRaf [19], [20] | Reference Offset:  ['22115-22266', '25442-25708', '44728-44855'] | Reference Text:  The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C) ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Indeed, oncogenic RAS exclusively signaled via c-RAF to the ERK-MAPK pathway in human melanoma cell lines ( Dumaz et al., 2006) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 18 | Reference Article:  Blasco.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  37624-37643 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  37474-37747 | Citation Text:  Although Map2k2-/- (MEK2 null) and Mapk3-/- (ERK1 null) mice are viable, in vivo ablation of MEK1 in a Map2k2-/- background ( Scholl et al., 2007 and Blasco et al., 2011) or ERK2 in a Mapk3-/- background ( Chan et al., 2013) results in apoptosis and lethality in adult mice | Reference Offset:  ['13678-14077', '41711-42182'] | Reference Text:  These observations indicate that loss of Erk proteins is incompatible with life in adult mice. Interestingly, preliminary results indicate that a single Erk allele is sufficient to maintain adult homeostasis because Erk1-/-;Erk2+/lox;RERTert/ert (n = 2) and Erk1+/-;Erk2lox/lox;RERTert/ert (n = 3) mice exposed to a tamoxifen diet for 3 months did not show significant abnormalities (data not shown) ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases. Unfortunately, widespread loss of the Erk1/2 kinases resulted in severe toxicity that led to the rapid death of the animal even when only a limited percentage of cells (ranging from 40% to 60% depending on the tissue type) lost both Erk kinases | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 19 | Reference Article:  Blasco.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  39474-39493 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39327-39494 | Citation Text:  Indeed, ablation of c-Raf (but not B-Raf) in mice inhibits development and delays progression of Ras-driven tumors in a lung adenocarcinoma model (Blasco et al., 2011) | Reference Offset:  ['22115-22266', '25442-25708', '44594-44726'] | Reference Text:  The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C) ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... it is possible that c-Raf might be essential to mediate K-Ras signaling to the Mek and Erk kinases, at least in an oncogenic setting | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1415_TRAIN | Citance Number: 20 | Reference Article:  Blasco.txt | Citing Article:  Yu.txt | Citation Marker Offset:  43386-43388 | Citation Marker:  62 | Citation Offset:  43297-43389 | Citation Text:  Notably, c-Raf has recently been found essential for development of K-Ras-driven NSCLCs [62] | Reference Offset:  ['25442-25708', '44594-44734'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... it is possible that c-Raf might be essential to mediate K-Ras signaling to the Mek and Erk kinases, at least in an oncogenic setting. Indeed | Discourse Facet:  Discussion_Citation | Annotator:  H, |

