Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1464-2020 | Citation Text:  During the last decade, there have been significant efforts directed to reproduce the natural history of NSCLC in genetically engineered mouse (GEM) models (Heyer et al., 2010). Recently, these models have been utilized to evaluate potential therapeutic targets. Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) (Figure 1A) | Reference Offset:  ['2837-3175', '41320-41421', '43824-43938'] | Reference Text:  To date, multiple Ras downstream effectors have been identified. It is generally accepted that the Raf/Mek/Erk cascade of kinases is the primary mediator of mitogenic activity (Marshall, 1994). Another well-known pathway, the PI3Kinase/Pdk/Akt pathway, is thought to mediate survival signals (Cully et al., 2006 and Engelman et al., 2006) ... K-RAS oncogenes signal through a cascade of downstream effectors, most of which are druggable kinases ... The immediate Ras downstream effectors within the Raf/Mek/Erk pathway are the Raf kinases, A-Raf, B-Raf, and c-Raf | Discourse Facet:  Discussion_Citation | Annotator:  B, |
Topic ID: D1415_TRAIN | Citance Number: 9 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18737-18756 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['24646-25708'] | Reference Text:  Next, we investigated whether c-Raf kinase was also dispensable for K-RasG12V-driven NSCLCs. Ad-Cre treated K-Ras+/G12V;c-Raflox/lox mice survived significantly longer than the control cohort. Whereas 50% of K-Ras+/G12V;c-Raf+/+ animals (n = 22) had to be sacrificed by 38 weeks of age, half of K-Ras+/G12V;c-Raflox/lox mice (n = 23) were alive at 63 weeks. This difference represents an 83% increase in survival ( Figure 6A). As expected, this increased survival was a direct consequence of the reduced number of tumors present in K-Ras+/G12V;c-Raflox/lox mice 6 months after Ad-Cre treatment ( Figures 6B and 6C). More importantly, each tumor tested (n = 11) retained c-Raflox alleles ( Figure 6D). These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 10 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18797-18816 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18661-18817 | Citation Text:  The oncogenic activity of mutant Kras appears dependent on functional Craf (Blasco et al., 2011; Karreth et al., 2011) but not on Braf (Blasco et al., 2011) | Reference Offset:  ['21433-22990'] | Reference Text:  Raf kinases—A-Raf, B-Raf, and c-Raf—do not have full compensatory activities during embryonic and early postnatal development (Galabova-Kovacs et al., 2006). To examine whether they also played unique roles during K-RasG12V-driven NSCLC, we crossed K-Ras+/G12V mice with B-Raflox/lox ( Chen et al., 2006) and c-Raflox/lox ( Jesenberger et al., 2001) animals and submitted them to infection with Ad-Cre particles. As illustrated in Figure 5A, conditional ablation of B-Raflox alleles in K-RasG12V-induced NSCLC did not increase survival (50% survival of K-Ras+/G12V;B-Raflox/lox mice [n = 25] at 41.5 versus 40 weeks in K-Ras+/G12V;B-Raf+/+ control animals [n = 28], a 5% increase). The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C). Efficient recombination of the B-Raflox alleles in tumor tissue was determined by Southern ( Figure S5) and western ( Figure 5D) blot analysis. Immunohistochemistry staining with an anti-B-Raf antibody further confirmed the absence of B-Raf expression in tumor tissue ( Figure 5E). Interestingly, elimination of B-Raf expression had no effect on the levels of Mek and Erk phosphorylation, as determined by either western blot ( Figure 5D) or immunohistochemical ( Figure 5E) analysis. These observations suggest that in the absence of B-Raf, other Raf proteins can maintain mitogenic signaling through the Mek/Erk pathway. This compensatory effect did not involve increased expression of the other Raf kinases ( Figure 5D) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 11 | Reference Article:  Blasco.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  18947-18966 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  18819-18967 | Citation Text:  Furthermore, ablation of both Erk1 and Erk2 impaired tumor development, whereas inactivation of either one alone had no effect (Blasco et al., 2011) | Reference Offset:  ['10008-10934'] | Reference Text:  To evaluate the effect of eliminating both Erk kinases in K-RasG12V-driven tumors, we generated K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice and exposed their lungs to Ad-Cre infection. Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C). More importantly, all tumors tested (n = 6) displayed a prominent band corresponding to the nonrecombined Erk2lox allele and expressed normal levels of Erk2, indicating that these tumors were “escapers” ( Figure 2D). These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 12 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  14550-14569 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  14222-14615 | Citation Text:  Although these data do not exclude a potential role for wild-type BRAF in mediating the rebound in ERK phosphorylation in KRAS mutant cells, they suggest that CRAF is required for the pERK rebound and are consistent with reports that CRAF is the main RAF isoform responsible for driving ERK signaling in some RAS mutant tumors (Blasco et al., 2011, Dumaz et al., 2006 and Karreth et al., 2011) | Reference Offset:  ['21433-22990', '24646-25708', '43940-44219'] | Reference Text:  Raf kinases—A-Raf, B-Raf, and c-Raf—do not have full compensatory activities during embryonic and early postnatal development (Galabova-Kovacs et al., 2006). To examine whether they also played unique roles during K-RasG12V-driven NSCLC, we crossed K-Ras+/G12V mice with B-Raflox/lox ( Chen et al., 2006) and c-Raflox/lox ( Jesenberger et al., 2001) animals and submitted them to infection with Ad-Cre particles. As illustrated in Figure 5A, conditional ablation of B-Raflox alleles in K-RasG12V-induced NSCLC did not increase survival (50% survival of K-Ras+/G12V;B-Raflox/lox mice [n = 25] at 41.5 versus 40 weeks in K-Ras+/G12V;B-Raf+/+ control animals [n = 28], a 5% increase). The number and grade of tumors in mice lacking B-Raf 6 months after Ad-Cre treatment were similar to those present in control mice ( Figures 5B and 5C). Efficient recombination of the B-Raflox alleles in tumor tissue was determined by Southern ( Figure S5) and western ( Figure 5D) blot analysis. Immunohistochemistry staining with an anti-B-Raf antibody further confirmed the absence of B-Raf expression in tumor tissue ( Figure 5E). Interestingly, elimination of B-Raf expression had no effect on the levels of Mek and Erk phosphorylation, as determined by either western blot ( Figure 5D) or immunohistochemical ( Figure 5E) analysis. These observations suggest that in the absence of B-Raf, other Raf proteins can maintain mitogenic signaling through the Mek/Erk pathway. This compensatory effect did not involve increased expression of the other Raf kinases ( Figure 5D) ... Next, we investigated whether c-Raf kinase was also dispensable for K-RasG12V-driven NSCLCs. Ad-Cre treated K-Ras+/G12V;c-Raflox/lox mice survived significantly longer than the control cohort. Whereas 50% of K-Ras+/G12V;c-Raf+/+ animals (n = 22) had to be sacrificed by 38 weeks of age, half of K-Ras+/G12V;c-Raflox/lox mice (n = 23) were alive at 63 weeks. This difference represents an 83% increase in survival ( Figure 6A). As expected, this increased survival was a direct consequence of the reduced number of tumors present in K-Ras+/G12V;c-Raflox/lox mice 6 months after Ad-Cre treatment ( Figures 6B and 6C). More importantly, each tumor tested (n = 11) retained c-Raflox alleles ( Figure 6D). These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... B-Raf was completely dispensable for K-Ras oncogenic signaling, at least within the context of NSCLC. Moreover, phosphorylation of Erk proteins within the tumor appeared to be unaffected, suggesting that other Raf kinases mediate K-Ras oncogenic signaling in the absence of B-Raf | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 13 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  2733-2752 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  2565-2826 | Citation Text:  Oncogenic KRAS mutations are common in cancer. Active RAS mediates its effects on tumor formation through a number of effector proteins, including RAF, PI3K, and RAL ( Blasco et al., 2011, González-García et al., 2005, Gupta et al., 2007 and Kolch et al., 1991) | Reference Offset:  ['24646-25708', '44322-44418'] | Reference Text:  Next, we investigated whether c-Raf kinase was also dispensable for K-RasG12V-driven NSCLCs. Ad-Cre treated K-Ras+/G12V;c-Raflox/lox mice survived significantly longer than the control cohort. Whereas 50% of K-Ras+/G12V;c-Raf+/+ animals (n = 22) had to be sacrificed by 38 weeks of age, half of K-Ras+/G12V;c-Raflox/lox mice (n = 23) were alive at 63 weeks. This difference represents an 83% increase in survival ( Figure 6A). As expected, this increased survival was a direct consequence of the reduced number of tumors present in K-Ras+/G12V;c-Raflox/lox mice 6 months after Ad-Cre treatment ( Figures 6B and 6C). More importantly, each tumor tested (n = 11) retained c-Raflox alleles ( Figure 6D). These results were confirmed by western blot analysis of nine independent tumors ( Figure 6D). These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be “escapers,” as previously observed in mice lacking Erk1/2 and Mek1/2 kinases ... Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 14 | Reference Article:  Blasco.txt | Citing Article:  Lito.txt | Citation Marker Offset:  41874-41893 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  41629-41894 | Citation Text:  Knockdown of CRAF expression enhanced the effects of MEK inhibitors on signaling and on the proliferation of KRAS tumors. CRAF knockdown may enhance the antitumor effects of MEK inhibition by inhibiting other targets of RAF in addition to MEK ( Blasco et al., 2011) | Reference Offset:  ['44322-45165'] | Reference Text:  Elimination of c-Raf from K-RasG12V-expressing lung cells completely inhibited tumor development. Thus, neither B-Raf nor A-Raf could compensate for the lack of c-Raf. Because K-Ras is the Ras isoform that binds and activates c-Raf more efficiently ( Voice et al., 1999), it is possible that c-Raf might be essential to mediate K-Ras signaling to the Mek and Erk kinases, at least in an oncogenic setting. Indeed, oncogenic RAS exclusively signaled via c-RAF to the ERK-MAPK pathway in human melanoma cell lines ( Dumaz et al., 2006). However, it is also possible that c-Raf, but not B-Raf or A-Raf, may modulate an alternative downstream pathway essential for malignant transformation ( Takezawa et al., 2009), but not for normal homeostasis. This hypothesis may also help to explain why elimination of c-Raf is not deleterious for adult mice | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 15 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  32710-32729 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  32525-32775 | Citation Text:  Importantly, the role of ERK phosphorylation in Kras-driven NSCLCs has been recently highlighted by the demonstration that ERK activity is essential for Kras-driven lung tumorigenesis (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) | Reference Offset:  ['10008-10934', '41711-41936'] | Reference Text:  To evaluate the effect of eliminating both Erk kinases in K-RasG12V-driven tumors, we generated K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice and exposed their lungs to Ad-Cre infection. Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C). More importantly, all tumors tested (n = 6) displayed a prominent band corresponding to the nonrecombined Erk2lox allele and expressed normal levels of Erk2, indicating that these tumors were “escapers” ( Figure 2D). These observations indicate that Erk2 is required for tumor development in the absence of Erk1 ... As illustrated in this study, each one of the two Erk kinases, Erk1 or Erk2, is sufficient to allow initiation of K-Ras-induced NSCLC. However, K-Ras oncogenes could not transform lung cells in the absence of both Erk kinases | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1415_TRAIN | Citance Number: 16 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  36459-36478 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  36367-36716 | Citation Text:  As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) and, in this regard, we propose that our observed requirement of the Notch pathway for NSCLCs formation is related to the capacity of HES1 to increase ERK activity through repression of Dusp1 | Reference Offset:  ['10008-10934'] | Reference Text:  To evaluate the effect of eliminating both Erk kinases in K-RasG12V-driven tumors, we generated K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice and exposed their lungs to Ad-Cre infection. Control K-Ras+/G12V;Erk1+/+;Erk2+/+ animals (n = 14) displayed a 50% survival at 48 weeks. Instead, the 50% survival point for K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival. When we examined K-Ras+/G12V;Erk1−/−;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C). More importantly, all tumors tested (n = 6) displayed a prominent band corresponding to the nonrecombined Erk2lox allele and expressed normal levels of Erk2, indicating that these tumors were “escapers” ( Figure 2D). These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Results_Citation | Annotator:  B, |

