Topic ID: D1415_TRAIN | Citance Number: 1 | Reference Article:  Blasco.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  1988-2007 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  1727-2020 | Citation Text:  Some of the validated targets include well-known downstream elements of KRAS signaling such as components of the mitogenic RAF/MEK/ERK cascade and the PI3K/AKT survival pathway, most of which are druggable kinases (Gupta et al., 2007, Engelman et al., 2008 and Blasco et al., 2011) (Figure 1A) | Reference Offset:  ['41320-41421', '42261-42427'] | Reference Text:  K-RAS oncogenes signal through a cascade of downstream effectors, most of which are druggable kinases ... Hence, limited inhibition of ERK kinase activity within a tolerated therapeutic window may provide a successful pharmacological approach to treat K-RAS-positive NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  G, |
Topic ID: D1415_TRAIN | Citance Number: 15 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  32710-32729 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  32525-32775 | Citation Text:  Importantly, the role of ERK phosphorylation in Kras-driven NSCLCs has been recently highlighted by the demonstration that ERK activity is essential for Kras-driven lung tumorigenesis (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) | Reference Offset:  ['10277-10441', '10443-10621', '10840-10934'] | Reference Text:  Instead, the 50% survival point for K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival ... When we examined K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 16 | Reference Article:  Blasco.txt | Citing Article:  Maraver.txt | Citation Marker Offset:  36459-36478 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  36367-36716 | Citation Text:  As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs (Blasco et al., 2011; Feldser et al., 2010; Junttila et al., 2010) and, in this regard, we propose that our observed requirement of the Notch pathway for NSCLCs formation is related to the capacity of HES1 to increase ERK activity through repression of Dusp1 | Reference Offset:  ['10277-10441', '10443-10621', '10840-10934'] | Reference Text:  Instead, the 50% survival point for K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice (n = 11) was reached at 63 weeks ( Figure 2A), thus representing a 40% increase in survival ... When we examined K-Ras+/G12V;Erk1-/-;Erk2lox/lox mice 6 months after turning on K-RasG12V expression, we observed very few tumors compared to control animals ( Figures 2B and 2C) ... These observations indicate that Erk2 is required for tumor development in the absence of Erk1 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 17 | Reference Article:  Blasco.txt | Citing Article:  Pfeiffer.txt | Citation Marker Offset:  5184-5186 | Citation Marker:  19 | Citation Offset:  5107-5193 | Citation Text:  Lung tumour formation in mice by oncogenic KRAS requires CRaf, but not BRaf [19], [20] | Reference Offset:  ['23027-23087', '25442-25708'] | Reference Text:  B-Raf Is Not Required for K-Ras+/G12V-Induced NSCLCs in Mice ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 18 | Reference Article:  Blasco.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  37624-37643 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  37474-37747 | Citation Text:  Although Map2k2-/- (MEK2 null) and Mapk3-/- (ERK1 null) mice are viable, in vivo ablation of MEK1 in a Map2k2-/- background ( Scholl et al., 2007 and Blasco et al., 2011) or ERK2 in a Mapk3-/- background ( Chan et al., 2013) results in apoptosis and lethality in adult mice | Reference Offset:  ['17763-18007', '18009-18129'] | Reference Text:  As illustrated in the case of the Erk kinases, tumors present in K-Ras+/G12V;Mek1lox/lox;Mek2-/- mice examined 6 months after Ad-Cre treatment (n = 6) carried unrecombined Mek1lox alleles and expressed normal levels of Mek1 ( Figures 4B and 4C) ... These observations indicate that Mek1 expression was essential for tumor development in the absence of Mek2 ( Figure 4D) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 19 | Reference Article:  Blasco.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  39474-39493 | Citation Marker:  Blasco et al., 2011 | Citation Offset:  39327-39494 | Citation Text:  Indeed, ablation of c-Raf (but not B-Raf) in mice inhibits development and delays progression of Ras-driven tumors in a lung adenocarcinoma model (Blasco et al., 2011) | Reference Offset:  ['23027-23087', '25442-25708'] | Reference Text:  B-Raf Is Not Required for K-Ras+/G12V-Induced NSCLCs in Mice ... These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1415_TRAIN | Citance Number: 20 | Reference Article:  Blasco.txt | Citing Article:  Yu.txt | Citation Marker Offset:  43386-43388 | Citation Marker:  62 | Citation Offset:  43297-43389 | Citation Text:  Notably, c-Raf has recently been found essential for development of K-Ras-driven NSCLCs [62] | Reference Offset:  ['25442-25708'] | Reference Text:  These observations indicate that NSCLCs driven by K-RasG12V cannot develop in the absence of c-Raf and that the tumors responsible for the death of the K-Ras+/G12V;c-Raflox/lox mice must be ìescapers,î as previously observed in mice lacking Erk1/2 and Mek1/2 kinases | Discourse Facet:  Implication_Citation | Annotator:  G, |

