Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28367-28837 | Citation Text:  There has been much interest recently in the revival of the suggestion that altered metabolism can contribute to, as well as respond to, oncogenic transformation. Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['3853-4064', '4066-4221', '11473-11765'] | Reference Text:  In cancer cells, metabolic pathways are rewired in order to divert nutrients, such as glucose and glutamine, into anabolic pathways to satisfy the demand for cellular building blocks (Vander Heiden et al., 2009) ... Accumulating evidence indicates that the reprogramming of tumor metabolism is under the control of various oncogenic signals (Levine and Puzio-Kuter, 2010) ... To interrogate the role of KrasG12D in the regulation of tumor metabolism, targeted liquid chromatography-tandem mass spectrometry (LC-MS/MS) metabolomic studies were performed to comprehensively characterize metabolic alterations immediately following KrasG12D withdrawal (Yuan et al., 2012) | Discourse Facet:  Implication_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 7 | Reference Article:  Ying.txt | Citing Article:  Kvitek.txt | Citation Marker Offset:  26141-26143 | Citation Marker:  46 | Citation Offset:  25824-26150 | Citation Text:  Cancer is an evolutionary process of clonal selection [43]ñ[45], and it is beneficial for the cells to replicate as fast as possible through the accumulation of mutations in oncogenes and tumor suppressor genes, many of which are in the homologous Ras/cAMP/PKA pathway that is recurrently mutated in our experiments [46], [47] | Reference Offset:  ['23383-23626', '25315-25475'] | Reference Text:  These data indicate that the MAPK pathway is a major effector of oncogenic Kras-mediated glucose metabolism remodeling in PDAC, which is consistent with the rapid decrease of MAPK signaling upon oncogene inactivation (Figures 2B, S2C, and S2D) ... Together, our data indicates that the MAPK pathway and Myc-directed transcriptional control play key roles for KrasG12D-mediated metabolic reprogramming in PDAC | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 8 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  2006-2007 | Citation Marker:  3 | Citation Offset:  1769-2008 | Citation Text:  Mouse models support this notion as targeted and persistent expression of mutant Kras in the mouse pancreatic epithelium both recapitulates the PanIN to PDA sequence observed in humans, and is required for disease maintenance [1], [2], [3] | Reference Offset:  ['5027-5679'] | Reference Text:  To control KrasG12D expression in a temporal- and tissue-specific manner, we generated a conditional KrasG12D transgene under the control of a tet-operator with a lox-stop-lox (LSL) cassette inserted between the promoter and the start codon of the KrasG12D open reading frame (tetO_Lox-Stop-Lox-KrasG12D, designated tetO_LKrasG12D) (Figure S1A available online). These mice were crossed to ROSA26-LSL-rtTA-IRES-GFP (ROSA_rtTA) (Belteki et al., 2005) and p48-Cre (Kawaguchi et al., 2002) mice to enable pancreas-specific and doxycycline (doxy)-inducible expression of KrasG12D (Figure S1B). This triple transgenic strain is designated hereafter as iKras | Discourse Facet:  Method_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 9 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  23263-23264 | Citation Marker:  3 | Citation Offset:  23056-23265 | Citation Text:  Mouse models have revealed that oncogenic Kras can act as a ìmaster regulatorî of PDA development, establishing lineages that can give rise to PanINs and PDA and remaining critical for progression[1], [2], [3] | Reference Offset:  ['8988-9198', '20942-21092', '31794-31924'] | Reference Text:  Together, these findings establish that KrasG12D expression is required for PDAC maintenance in this autochthonous model, supporting both the proliferation and viability of tumor cells and its associated stroma ... These data reveal an important role for KrasG12D in preferential maintenance of glycolytic flux through the nonoxidative arm of the PPP in PDAC tumors ... Here, we provided additional evidence that oncogenic Kras signaling also sustains protein O-glycosylation during tumor maintenance | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 10 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  37688-37705 | Citation Marker:  Ying et al., 2012 | Citation Offset:  37463-37706 | Citation Text:  In a previous study in a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that oncogenic KRas induces nucleotide biosynthesis largely through the enhancement of the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['20942-21092', '22497-22608', '26148-26322'] | Reference Text:  These data reveal an important role for KrasG12D in preferential maintenance of glycolytic flux through the nonoxidative arm of the PPP in PDAC tumors ... further supporting the functional importance of the non-oxidative PPP during KrasG12D-mediated PDAC maintenance ... Notably, we identified an unexpected connection between oncogenic Kras and the nonoxidative arm of the PPP, which functions to provide precursors for DNA and RNA biosynthesis | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 11 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  49365-49382 | Citation Marker:  Ying et al., 2012 | Citation Offset:  49236-49383 | Citation Text:  Previous results showed that oncogenic Ras elevates ribonucleotide synthesis largely through the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['26148-26322', '30079-30206'] | Reference Text:  Notably, we identified an unexpected connection between oncogenic Kras and the nonoxidative arm of the PPP, which functions to provide precursors for DNA and RNA biosynthesis ... Indeed, we have demonstrated the enhanced glycolytic flux is diverted into the nonoxidative PPP to facilitate ribose biogenesis | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 12 | Reference Article:  Ying.txt | Citing Article:  Yang,Lane.txt | Citation Marker Offset:  19042-19044 | Citation Marker:  41 | Citation Offset:  18850-19045 | Citation Text:  This oxidative branch activity is elevated in comparison to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP [31,32,41] | Reference Offset:  ['18876-19084', '21480-21656'] | Reference Text:  To further interrogate the differential abundance of nonoxidative PPP metabolites in an oncogenic Kras-dependent manner, we traced the incorporation of individual glucose carbons using 1,2-labeled 13C-glucose ... In contrast, the expression levels of Rpia and Rpe, enzymes that regulate carbon exchange reactions in the nonoxidative arm of the PPP, were significantly decreased (Figure 6D) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1418_TRAIN | Citance Number: 13 | Reference Article:  Ying.txt | Citing Article:  Yang,Rosa.txt | Citation Marker Offset:  2678-2679 | Citation Marker:  5 | Citation Offset:  2509-2705 | Citation Text:  Kras, a well-known oncogene, and p53, a notable tumor suppressor gene, are two well-studied tumorigenic genes that have been associated with lung [1,2] [3], pancreas [4,5] [6] and colon cancer [7] | Reference Offset:  ['2202-2525', '6955-7209', '27534-27624'] | Reference Text:  Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases, and subsequent loss of tumor suppressors including INK4A/ARF, TP53, and SMAD4 (Hezel et al., 2006) ... The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B) ... Upon Kras extinction, there is a rapid reduction in SMA-positive pancreatic stellate cells | Discourse Facet:  Discussion_Citation | Annotator:  I, |

