Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28367-28837 | Citation Text:  There has been much interest recently in the revival of the suggestion that altered metabolism can contribute to, as well as respond to, oncogenic transformation. Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['28058-28939', '29631-30542'] | Reference Text:  The reprogramming of cellular metabolism to support continuous proliferation is a hallmark of cancer (Hanahan and Weinberg, 2011). Our analysis in vivo following KrasG12D extinction showed rapid downregulation of specific metabolic enzymes and their pathways prior to any discernible biological impact (e.g., morphological or proliferative changes), a finding consistent with the active control of tumor cell metabolism by KrasG12D. Indeed, the Kras oncogene is known to induce aerobic glycolysis (Racker et al., 1985), and PDAC cells have been shown previously to have metabolism consistent with elevated aerobic glycolysis (Zhou et al., 2011). Interestingly, this metabolic switch may be dependent on cell type or oncogenic Ras isoform as H-Ras transformed mesenchymal stem cells do not depend on increased glycolysis for ATP production during transformation (Funes et al., 2007) ... Our work establishes that KrasG12D extinction leads to inhibition of glucose uptake and a decrease in several glycolytic intermediates, including G6P, F6P, and FBP. Although aerobic glycolysis is recognized as inefficient from a bioenergetics perspective, metabolic reprogramming to a glycolytic state has been proposed as a mechanism which allows the allocation of glycolytic intermediates into biosynthetic pathways (Vander Heiden et al., 2009). Indeed, we have demonstrated the enhanced glycolytic flux is diverted into the nonoxidative PPP to facilitate ribose biogenesis. Furthermore, such hypotheses are also supported by the observation that amplification/overexpression of PHGDH, a rate-limiting enzyme functioning to divert 3-phospho-glycerate (a glycolytic intermediate) into the serine biosynthesis pathway, facilitates tumor growth in certain contexts (Locasale et al., 2011; Possemato et al., 2011) | Discourse Facet:  Discussion_Citation | Annotator:  B, |
Topic ID: D1418_TRAIN | Citance Number: 9 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  23263-23264 | Citation Marker:  3 | Citation Offset:  23056-23265 | Citation Text:  Mouse models have revealed that oncogenic Kras can act as a “master regulator” of PDA development, establishing lineages that can give rise to PanINs and PDA and remaining critical for progression[1], [2], [3] | Reference Offset:  ['5995-7322', '2077-2425'] | Reference Text:  Pancreatic ductal adenocarcinoma (PDAC) is among the most lethal cancers with a 5-year survival rate of ~5% (Hidalgo, 2010). Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases ... Consistent with the role of KrasG12D as a driver of PDAC initiation (Hezel et al., 2006), doxy induction provokes acinar-to-ductal metaplasia and PanIN lesions within 2 weeks (Figure S1F). Similar to the LSL-KrasG12D knock-in model, induction of the KrasG12D transgene leads to infrequent occurrence of invasive PDAC after long latency (35–70 weeks) (Figure S1F), suggesting comparable biological activity of the KrasG12D alleles and the need for additional genetic events for tumor progression. To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A). The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B). Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 10 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  37688-37705 | Citation Marker:  Ying et al., 2012 | Citation Offset:  37463-37706 | Citation Text:  In a previous study in a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that oncogenic KRas induces nucleotide biosynthesis largely through the enhancement of the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['16918-17516', '19957-21092'] | Reference Text:  Moreover, we observed a dramatic reduction in flux of U-13C6-glucose into ribose-5-phosphate (R5P), S7P, and erythose-4-phosphate (E4P), components that are unique to the nonoxidative arm of the PPP (Figure 6B). This was especially striking given that we did not observe changes in flux through the oxidative arm of the PPP (Figure 6B), nor were significant changes evident by steady-state profiling (Figure 6C). Given the link between oncogenic Kras signaling and the non-oxidative arm of the PPP, we sought to compare and quantify flux through the two arms (oxidative and nonoxidative) of the PPP ... A primary role of the nonoxidative arm of the PPP is to generate ribose-5-phosphate (R5P). As such, we hypothesized that the flux of glucose into the nonoxidative arm of the PPP by KrasG12D occurs to provide tumor cells with sufficient R5P for DNA/RNA biosynthesis. To explore this possibility, we used 14C1- or 14C6-labeled glucose to track the contribution of oxidative versus nonoxidative PPP into DNA and RNA. Whereas 14 C6-labeled glucose will give rise to radioactive DNA/RNA whether it is used by the oxidative or the nonoxidative arm of the PPP, 14C1-labeled glucose will only give rise to radioactive DNA/RNA if it is used by the nonoxidative arm (the 14C1 label is lost as CO2 through the oxidative arm; Figure S6B). As shown in Figure 6E, KrasG12D extinction leads to dramatic drop in the incorporation of both 14C1- and 14C6-labeled glucose into DNA/RNA, clearly demonstrating a predominant and KrasG12D-mediated role for the nonoxidative arm of the PPP in R5P-biogenesis. These data reveal an important role for KrasG12D in preferential maintenance of glycolytic flux through the nonoxidative arm of the PPP in PDAC tumors | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 11 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  49365-49382 | Citation Marker:  Ying et al., 2012 | Citation Offset:  49236-49383 | Citation Text:  Previous results showed that oncogenic Ras elevates ribonucleotide synthesis largely through the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['16918-17516', '19957-21092'] | Reference Text:  Moreover, we observed a dramatic reduction in flux of U-13C6-glucose into ribose-5-phosphate (R5P), S7P, and erythose-4-phosphate (E4P), components that are unique to the nonoxidative arm of the PPP (Figure 6B). This was especially striking given that we did not observe changes in flux through the oxidative arm of the PPP (Figure 6B), nor were significant changes evident by steady-state profiling (Figure 6C). Given the link between oncogenic Kras signaling and the non-oxidative arm of the PPP, we sought to compare and quantify flux through the two arms (oxidative and nonoxidative) of the PPP ... A primary role of the nonoxidative arm of the PPP is to generate ribose-5-phosphate (R5P). As such, we hypothesized that the flux of glucose into the nonoxidative arm of the PPP by KrasG12D occurs to provide tumor cells with sufficient R5P for DNA/RNA biosynthesis. To explore this possibility, we used 14C1- or 14C6-labeled glucose to track the contribution of oxidative versus nonoxidative PPP into DNA and RNA. Whereas 14 C6-labeled glucose will give rise to radioactive DNA/RNA whether it is used by the oxidative or the nonoxidative arm of the PPP, 14C1-labeled glucose will only give rise to radioactive DNA/RNA if it is used by the nonoxidative arm (the 14C1 label is lost as CO2 through the oxidative arm; Figure S6B). As shown in Figure 6E, KrasG12D extinction leads to dramatic drop in the incorporation of both 14C1- and 14C6-labeled glucose into DNA/RNA, clearly demonstrating a predominant and KrasG12D-mediated role for the nonoxidative arm of the PPP in R5P-biogenesis. These data reveal an important role for KrasG12D in preferential maintenance of glycolytic flux through the nonoxidative arm of the PPP in PDAC tumors | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 12 | Reference Article:  Ying.txt | Citing Article:  Yang,Lane.txt | Citation Marker Offset:  19042-19044 | Citation Marker:  41 | Citation Offset:  18850-19045 | Citation Text:  This oxidative branch activity is elevated in comparison to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP [31,32,41] | Reference Offset:  ['31967-32841'] | Reference Text:  The PPP is considered important for tumorigenesis as it provides NADPH for macromolecule biosynthesis and ROS detoxification, as well as ribose 5-phosphate for DNA/RNA synthesis (Boros et al., 1998; Deberardinis et al., 2008b). Additionally, it has been shown that the Ras oncogene promotes resistance to oxidative stress through GSH-based ROS scavenger pathways (DeNicola et al., 2011; Recktenwald et al., 2008), and this is likely mediated in part by the production of NADPH through the oxidative arm of the PPP. In fact, the oxidative arm of the PPP has been shown to be activated by Kras oncogene-mediated transformation to promote cell proliferation (Vizan et al., 2005; Weinberg et al., 2010). Notably, we did not observe obvious changes in the oxidative PPP but rather a role for oncogenic Kras signaling in the preferential maintenance of the nonoxidative arm of PPP | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1418_TRAIN | Citance Number: 13 | Reference Article:  Ying.txt | Citing Article:  Yang,Rosa.txt | Citation Marker Offset:  2678-2679 | Citation Marker:  5 | Citation Offset:  2509-2705 | Citation Text:  Kras, a well-known oncogene, and p53, a notable tumor suppressor gene, are two well-studied tumorigenic genes that have been associated with lung [1,2] [3], pancreas [4,5] [6] and colon cancer [7] | Reference Offset:  ['2077-2425'] | Reference Text:  Pancreatic ductal adenocarcinoma (PDAC) is among the most lethal cancers with a 5-year survival rate of ~5% (Hidalgo, 2010). Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases | Discourse Facet:  Discussion_Citation | Annotator:  B, |

