Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28530-28837 | Citation Text:  Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['25017-25122', '25315-25475', '25496-25820'] | Reference Text:  Another possible candidate mediator of Kras-induced transcriptional changes of metabolism genes was HIF1α ... Together, our data indicates that the MAPK pathway and Myc-directed transcriptional control play key roles for KrasG12D-mediated metabolic reprogramming in PDAC ... In this study, an inducible KrasG12D-driven PDAC model provided genetic evidence that oncogenic Kras serves a tumor maintenance role in fully established PDAC. Integrated genomic, biochemical, and metabolomic analyses immediately following KrasG12D extinction revealed a prominent perturbation of multiple metabolic pathways | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 7 | Reference Article:  Ying.txt | Citing Article:  Kvitek.txt | Citation Marker Offset:  26141-26143 | Citation Marker:  46 | Citation Offset:  25824-26150 | Citation Text:  Cancer is an evolutionary process of clonal selection [43]–[45], and it is beneficial for the cells to replicate as fast as possible through the accumulation of mutations in oncogenes and tumor suppressor genes, many of which are in the homologous Ras/cAMP/PKA pathway that is recurrently mutated in our experiments [46], [47] | Reference Offset:  ['4613-4745', '6955-7209', '8988-9198'] | Reference Text:  Here, we generated an inducible oncogenic Kras model of PDAC and establish that this gene is essential for tumor maintenance in vivo ... The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B) ... Together, these findings establish that KrasG12D expression is required for PDAC maintenance in this autochthonous model, supporting both the proliferation and viability of tumor cells and its associated stroma | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 8 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  2006-2007 | Citation Marker:  3 | Citation Offset:  1769-2008 | Citation Text:  Mouse models support this notion as targeted and persistent expression of mutant Kras in the mouse pancreatic epithelium both recapitulates the PanIN to PDA sequence observed in humans, and is required for disease maintenance [1], [2], [3] | Reference Offset:  ['2077-2525', '2527-2800'] | Reference Text:  Pancreatic ductal adenocarcinoma (PDAC) is among the most lethal cancers with a 5-year survival rate of ~5% (Hidalgo, 2010). Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases, and subsequent loss of tumor suppressors including INK4A/ARF, TP53, and SMAD4 (Hezel et al., 2006) ... Genetically engineered mouse models (GEMM) have provided evidence for oncogenic Kras (KrasG12D) as a major driver in PDAC initiation, with the aforementioned tumor suppressor genes constraining progression (Aguirre et al., 2003; Guerra et al., 2003; Hingorani et al., 2003) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 9 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  23263-23264 | Citation Marker:  3 | Citation Offset:  23056-23265 | Citation Text:  Mouse models have revealed that oncogenic Kras can act as a “master regulator” of PDA development, establishing lineages that can give rise to PanINs and PDA and remaining critical for progression[1], [2], [3] | Reference Offset:  ['2077-2800', '6491-7665'] | Reference Text:  Pancreatic ductal adenocarcinoma (PDAC) is among the most lethal cancers with a 5-year survival rate of ~5% (Hidalgo, 2010). Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases, and subsequent loss of tumor suppressors including INK4A/ARF, TP53, and SMAD4 (Hezel et al., 2006). Genetically engineered mouse models (GEMM) have provided evidence for oncogenic Kras (KrasG12D) as a major driver in PDAC initiation, with the aforementioned tumor suppressor genes constraining progression (Aguirre et al., 2003; Guerra et al., 2003; Hingorani et al., 2003) ... To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000). Following doxy treatment at 3 weeks of age, all iKras p53L/+ mice succumbed to PDAC between 11 and 25 weeks of age (median survival, 15 weeks), whereas the doxy-treated iKras p53L/L mice succumbed to PDAC more rapidly with a median survival of 7.9 weeks (Figure 1A). The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B). Histological analysis documented invasive PDAC in 8/8 iKras p53L/+ mice at 8 weeks after induction (Figure S1G). As such, we assessed the impact of KrasG12D extinction on tumor biology and maintenance at 9 weeks after induction. As shown in Figure 1C, KrasG12D extinction led to rapid tumor regression with morphological deterioration of tumor cells and rapid degeneration of stromal elements starting 48 hr and peaking at 72 hr following doxy withdrawal | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 10 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  37688-37705 | Citation Marker:  Ying et al., 2012 | Citation Offset:  37463-37706 | Citation Text:  In a previous study in a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that oncogenic KRas induces nucleotide biosynthesis largely through the enhancement of the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['20684-20940', '26148-26322', '30079-30206'] | Reference Text:  As shown in Figure 6E, KrasG12D extinction leads to dramatic drop in the incorporation of both 14C1- and 14C6-labeled glucose into DNA/RNA, clearly demonstrating a predominant and KrasG12D-mediated role for the nonoxidative arm of the PPP in R5P-biogenesis ... Notably, we identified an unexpected connection between oncogenic Kras and the nonoxidative arm of the PPP, which functions to provide precursors for DNA and RNA biosynthesis ... Indeed, we have demonstrated the enhanced glycolytic flux is diverted into the nonoxidative PPP to facilitate ribose biogenesis | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 11 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  49365-49382 | Citation Marker:  Ying et al., 2012 | Citation Offset:  49236-49383 | Citation Text:  Previous results showed that oncogenic Ras elevates ribonucleotide synthesis largely through the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['20684-20940', '26148-26322', '30079-30206'] | Reference Text:  As shown in Figure 6E, KrasG12D extinction leads to dramatic drop in the incorporation of both 14C1- and 14C6-labeled glucose into DNA/RNA, clearly demonstrating a predominant and KrasG12D-mediated role for the nonoxidative arm of the PPP in R5P-biogenesis ... Notably, we identified an unexpected connection between oncogenic Kras and the nonoxidative arm of the PPP, which functions to provide precursors for DNA and RNA biosynthesis ... Indeed, we have demonstrated the enhanced glycolytic flux is diverted into the nonoxidative PPP to facilitate ribose biogenesis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 12 | Reference Article:  Ying.txt | Citing Article:  Yang,Lane.txt | Citation Marker Offset:  19042-19044 | Citation Marker:  41 | Citation Offset:  18850-19045 | Citation Text:  This oxidative branch activity is elevated in comparison to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP [31,32,41] | Reference Offset:  ['17130-17329'] | Reference Text:  This was especially striking given that we did not observe changes in flux through the oxidative arm of the PPP (Figure 6B), nor were significant changes evident by steady-state profiling (Figure 6C) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1418_TRAIN | Citance Number: 13 | Reference Article:  Ying.txt | Citing Article:  Yang,Rosa.txt | Citation Marker Offset:  2678-2679 | Citation Marker:  5 | Citation Offset:  2509-2705 | Citation Text:  Kras, a well-known oncogene, and p53, a notable tumor suppressor gene, are two well-studied tumorigenic genes that have been associated with lung [1,2] [3], pancreas [4,5] [6] and colon cancer [7] | Reference Offset:  ['2202-2525', '4613-4745', '25496-25654'] | Reference Text:  Malignant progression from pancreatic intraepithelial neoplasia (PanINs) to invasive and metastatic disease is accompanied by the early acquisition of activating mutations in the KRAS oncogene, which occurs in >90% of cases, and subsequent loss of tumor suppressors including INK4A/ARF, TP53, and SMAD4 (Hezel et al., 2006) ... Here, we generated an inducible oncogenic Kras model of PDAC and establish that this gene is essential for tumor maintenance in vivo ... In this study, an inducible KrasG12D-driven PDAC model provided genetic evidence that oncogenic Kras serves a tumor maintenance role in fully established PDAC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

