Topic ID: D1418_TRAIN | Citance Number: 1 | Reference Article:  Ying.txt | Citing Article:  Cheung,Athineos.txt | Citation Marker Offset:  28709-28726 | Citation Marker:  Ying et al., 2012 | Citation Offset:  28530-28837 | Citation Text:  Several elegant studies have illustrated the importance of metabolic transformation in cancer development (Freed-Pastor et al., 2012; Locasale et al., 2011; Schafer et al., 2009; Ying et al., 2012), although there is limited information about how these metabolic changes may impact on tumorigenicity in vivo | Reference Offset:  ['4747-4965', '10734-11104', '28189-28489'] | Reference Text:  Integrated transcriptomic, biochemical, and metabolomic analyses reveal a fundamental role of the Kras oncogene in reprogramming tumor metabolism by selectively activating biosynthetic pathways to maintain tumor growth ... Gene set enrichment analysis (GSEA) (Subramanian et al., 2005) of the in vivo and in vitro KrasG12D transcriptome using the KEGG gene sets showed striking representation of metabolic processes, including the downregulation of steroid biosynthesis, pyrimidine metabolism, O-glycan biosynthesis, and glycan structures biosynthesis pathways (Figures 3B and 3C and Table S1) ... Our analysis in vivo following KrasG12D extinction showed rapid downregulation of specific metabolic enzymes and their pathways prior to any discernible biological impact (e.g., morphological or proliferative changes), a finding consistent with the active control of tumor cell metabolism by KrasG12D | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 7 | Reference Article:  Ying.txt | Citing Article:  Kvitek.txt | Citation Marker Offset:  26141-26143 | Citation Marker:  46 | Citation Offset:  25824-26150 | Citation Text:  Cancer is an evolutionary process of clonal selection [43]ñ[45], and it is beneficial for the cells to replicate as fast as possible through the accumulation of mutations in oncogenes and tumor suppressor genes, many of which are in the homologous Ras/cAMP/PKA pathway that is recurrently mutated in our experiments [46], [47] | Reference Offset:  ['5027-5388', '6491-6686', '6955-7209'] | Reference Text:  To control KrasG12D expression in a temporal- and tissue-specific manner, we generated a conditional KrasG12D transgene under the control of a tet-operator with a lox-stop-lox (LSL) cassette inserted between the promoter and the start codon of the KrasG12D open reading frame (tetO_Lox-Stop-Lox-KrasG12D, designated tetO_LKrasG12D) (Figure S1A available online) ... To enable full malignant progression and assess the tumor maintenance role of KrasG12D in advanced malignancies, we crossed iKras and conditional p53 knockout (p53L) alleles (Marino et al., 2000) ... The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B) | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 8 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  2006-2007 | Citation Marker:  3 | Citation Offset:  1769-2008 | Citation Text:  Mouse models support this notion as targeted and persistent expression of mutant Kras in the mouse pancreatic epithelium both recapitulates the PanIN to PDA sequence observed in humans, and is required for disease maintenance [1], [2], [3] | Reference Offset:  ['5995-6182', '6955-7209', '25496-25654'] | Reference Text:  Consistent with the role of KrasG12D as a driver of PDAC initiation (Hezel et al., 2006), doxy induction provokes acinar-to-ductal metaplasia and PanIN lesions within 2 weeks (Figure S1F) ... The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B) ... In this study, an inducible KrasG12D-driven PDAC model provided genetic evidence that oncogenic Kras serves a tumor maintenance role in fully established PDAC | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 9 | Reference Article:  Ying.txt | Citing Article:  Morris.txt | Citation Marker Offset:  23263-23264 | Citation Marker:  3 | Citation Offset:  23056-23265 | Citation Text:  Mouse models have revealed that oncogenic Kras can act as a ìmaster regulatorî of PDA development, establishing lineages that can give rise to PanINs and PDA and remaining critical for progression[1], [2], [3] | Reference Offset:  ['5995-6182', '6955-7209', '8988-9198'] | Reference Text:  Consistent with the role of KrasG12D as a driver of PDAC initiation (Hezel et al., 2006), doxy induction provokes acinar-to-ductal metaplasia and PanIN lesions within 2 weeks (Figure S1F) ... The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B) ... Together, these findings establish that KrasG12D expression is required for PDAC maintenance in this autochthonous model, supporting both the proliferation and viability of tumor cells and its associated stroma | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 10 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  37688-37705 | Citation Marker:  Ying et al., 2012 | Citation Offset:  37463-37706 | Citation Text:  In a previous study in a mouse model of KRas-dependent pancreatic ductal adenocarcinoma, it was shown that oncogenic KRas induces nucleotide biosynthesis largely through the enhancement of the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['12298-12477', '13041-13186', '13188-13444'] | Reference Text:  In addition, KrasG12D extinction led to decreased glucose uptake and lactate production (Figures 4C and 4D), demonstrating that oncogenic KrasG12D enhances glycolytic flux in PDAC ... Interestingly, we also observed that KrasG12D inactivation was not accompanied by significant alterations to TCA cycle intermediates (Figure S4B) ... This finding is in line with a model whereby proliferating cells divert glucose metabolites into anabolic processes (e.g., nucleotide and lipid biosynthesis) whereas alternative carbon sources are utilized to fuel the TCA cycle (Vander Heiden et al., 2009) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 11 | Reference Article:  Ying.txt | Citing Article:  Patra.txt | Citation Marker Offset:  49365-49382 | Citation Marker:  Ying et al., 2012 | Citation Offset:  49236-49383 | Citation Text:  Previous results showed that oncogenic Ras elevates ribonucleotide synthesis largely through the nonoxidative branch of the PPP (Ying et al., 2012) | Reference Offset:  ['12298-12477', '13041-13186', '13188-13444'] | Reference Text:  In addition, KrasG12D extinction led to decreased glucose uptake and lactate production (Figures 4C and 4D), demonstrating that oncogenic KrasG12D enhances glycolytic flux in PDAC ... Interestingly, we also observed that KrasG12D inactivation was not accompanied by significant alterations to TCA cycle intermediates (Figure S4B) ... This finding is in line with a model whereby proliferating cells divert glucose metabolites into anabolic processes (e.g., nucleotide and lipid biosynthesis) whereas alternative carbon sources are utilized to fuel the TCA cycle (Vander Heiden et al., 2009) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 12 | Reference Article:  Ying.txt | Citing Article:  Yang,Lane.txt | Citation Marker Offset:  19042-19044 | Citation Marker:  41 | Citation Offset:  18850-19045 | Citation Text:  This oxidative branch activity is elevated in comparison to many cancer cell lines, where the oxidative branch is typically reduced and accounts for <20% of the carbon flow through PPP [31,32,41] | Reference Offset:  ['13041-13186', '13188-13444'] | Reference Text:  Interestingly, we also observed that KrasG12D inactivation was not accompanied by significant alterations to TCA cycle intermediates (Figure S4B) ... This finding is in line with a model whereby proliferating cells divert glucose metabolites into anabolic processes (e.g., nucleotide and lipid biosynthesis) whereas alternative carbon sources are utilized to fuel the TCA cycle (Vander Heiden et al., 2009) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1418_TRAIN | Citance Number: 13 | Reference Article:  Ying.txt | Citing Article:  Yang,Rosa.txt | Citation Marker Offset:  2678-2679 | Citation Marker:  5 | Citation Offset:  2509-2705 | Citation Text:  Kras, a well-known oncogene, and p53, a notable tumor suppressor gene, are two well-studied tumorigenic genes that have been associated with lung [1,2] [3], pancreas [4,5] [6] and colon cancer [7] | Reference Offset:  ['4613-4745', '6955-7209'] | Reference Text:  Here, we generated an inducible oncogenic Kras model of PDAC and establish that this gene is essential for tumor maintenance in vivo ... The iKras p53 mutant tumors exhibited features commonly found in human PDAC, including glandular tumor structures, exuberant stroma, local invasion into surrounding structures such as the duodenum, and distant metastases to the liver and lung (Figure 1B) | Discourse Facet:  Implication_Citation | Annotator:  G, |

