Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]ñ[22] are summarized in Table 1 | Reference Offset:  ['6767-7154', '31823-32123'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Results_Citation | Annotator:  C, |
Topic ID: D1419_TRAIN | Citance Number: 7 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  2740-2756 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  2446-2756 | Citation Text:  Recent analyses of multiple different cancers have identified gene expression differences between tumors with similar histologic characteristics yet heterogeneous clinical behavior Alizadeh et al. 2000, Armstrong et al. 2002, Bhattacharjee et al. 2001, Perou et al. 2000, Singh et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['3232-3448', '4267-4661', '33487-33698'] | Reference Text:  This approach was developed following the realization that pediatric ALL is a heterogeneous disease consisting of various leukemia subtypes that differ markedly in their response to chemotherapy (Pui and Evans, 1998) ... These include B lineage leukemias that contain t(9;22)[BCR-ABL], t(1;19)[E2A-PBX1], t(12;21)[TEL-AML1], rearrangements in the MLL gene on chromosome 11, band q23, or a hyperdiploid karyotype (i.e., >50 chromosomes), and T lineage leukemias (T-ALL; Silverman et al. 2001 and Pui and Evans 1998). The underlying genetic lesions in these leukemia subtypes influence the response to cytotoxic drugs ... Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 8 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  5308-5325 | Citation Marker:  Yeoh et al., 2002 | Citation Offset:  5089-5326 | Citation Text:  Another recent gene expression study of large numbers of cases provided support for the hypothesis that distinct leukemias are specified by each of the unique chromosomal abnormalities found in lymphoblastic leukemias (Yeoh et al., 2002) | Reference Offset:  ['7662-8044', '33337-33698'] | Reference Text:  Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile ... One of the most surprising observations from this study was the remarkable difference in the expression profiles of the individual leukemia subtypes. Despite having relatively homogenous morphology and limited variability in the extent of T or B cell differentiation, each leukemia subtype had a distinct expression profile that involved a large number of genes | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 9 | Reference Article:  Yeoh.txt | Citing Article:  Chen,Guo.txt | Citation Marker Offset:  4358-4360 | Citation Marker:  10 | Citation Offset:  4214-4361 | Citation Text:  Transcriptome analysis using microarrays has been employed recently to profile global changes in gene expression in human cancers [8], [9] and [10] | Reference Offset:  ['5975-6313', '6767-7154', '31598-31821'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 10 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  18402-18403 | Citation Marker:  8 | Citation Offset:  18192-18405 | Citation Text:  Our list of probe sets only partially overlapped with the previously reported lists by Yeoh et al. and Ross et al., i.e. 24% (26 probe sets) and 28% (31 probe sets), respectively (see supplementary Table S-IV).8,9 | Reference Offset:  ['7157-7660', '37526-37872'] | Reference Text:  In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 ◊ 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples. The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1) ... It is important to keep in mind that the present analysis falls far short of a total transcriptional profile of the leukemic blasts. Although 12,600 probe sets are present on the microarray, the total number of genes that this represents accounts for less than 20% of the estimated number of genes within the human genome (Hogenesch et al., 2001) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 11 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  28777-28778 | Citation Marker:  8 | Citation Offset:  28638-28786 | Citation Text:  Several studies have reported a high classification accuracy of 90ñ95% for gene expression signatures in children with newly diagnosed ALL.8,9,21,22 | Reference Offset:  ['5975-6537', '20065-20469', '23455-23602'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients. These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology ... As shown in Table 1, this approach resulted in exceptionally accurate class prediction in a randomly selected training set that consisted of two-thirds of the total cases (215 cases). When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16ñS18) ... Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 12 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  30219-30220 | Citation Marker:  8 | Citation Offset:  29911-30222 | Citation Text:  The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases were correctly classified (i.e., 100% sensitivity) which resembled the data previously reported using other strategies for probe set selection and classifier construction.8,9 | Reference Offset:  ['7662-8440', '8442-8733', '20065-20469'] | Reference Text:  Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile. These cases had normal, pseudodiploid, or hyperdiploid karyotypes and lacked any consistent cytogenetic abnormality. The separation of the seven leukemia subgroups was also seen using the multidimensional scaling procedure of discriminant analysis with variance (DAV), in which the data are reduced into component dimensions consisting of linear combinations of discriminating genes (Figure 1A) ... For example, using the three component dimensions that accounted for 72.8% of the variance of gene expression among the subgroups, we were able to separate T-ALL (43 cases), E2A-PBX1 (27 cases), TEL-AML1 (79 cases), and hyperdiploid >50 (64 cases) from the remaining ALL subtypes (114 cases) ... As shown in Table 1, this approach resulted in exceptionally accurate class prediction in a randomly selected training set that consisted of two-thirds of the total cases (215 cases). When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16ñS18) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 13 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  32571-32572 | Citation Marker:  8 | Citation Offset:  32315-32577 | Citation Text:  A gene that warrants further studies is the erythropoietin receptor that is 7.4-fold higher expressed in TEL-AML1-positive cases compared to other precursor B-ALL cases (see supplementary Table S-IV) confirming other gene expression classification studies.8,9,24 | Reference Offset:  ['7662-8440', '16401-16658'] | Reference Text:  Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile. These cases had normal, pseudodiploid, or hyperdiploid karyotypes and lacked any consistent cytogenetic abnormality. The separation of the seven leukemia subgroups was also seen using the multidimensional scaling procedure of discriminant analysis with variance (DAV), in which the data are reduced into component dimensions consisting of linear combinations of discriminating genes (Figure 1A) ... Alteration of ETO family members in both t(8;21) acute myeloid leukemia (by translocation) (Downing, 1999) and TEL-AML1 (by altered expression) suggests that alteration in the biologic function of ETO genes may be mechanistically involved in these leukemias | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 14 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  4784-4785 | Citation Marker:  8 | Citation Offset:  4582-4787 | Citation Text:  Two leading studies showed that newly diagnosed pediatric ALL cases can be assigned to lineage and genetic subtypes using gene expression classifiers with an accuracy for predicting the subtype of >95%.8,9 | Reference Offset:  ['5975-6537', '20065-20469', '23455-23602'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients. These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology ... As shown in Table 1, this approach resulted in exceptionally accurate class prediction in a randomly selected training set that consisted of two-thirds of the total cases (215 cases). When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16ñS18) ... Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 15 | Reference Article:  Yeoh.txt | Citing Article:  Huang,Cheng.txt | Citation Marker Offset:  3841-3843 | Citation Marker:  10 | Citation Offset:  3706-3843 | Citation Text:  Genomic measures of gene expression provide new information to identify patterns of gene activity that subclassify tumours.7, 8, 9 and 10 | Reference Offset:  ['1017-1299', '23455-23602', '39610-39977'] | Reference Text:  Distinct expression profiles identified each of the prognostically important leukemia subtypes, including T-ALL, E2A-PBX1, BCR-ABL, TEL-AML1, MLL rearrangement, and hyperdiploid >50 chromosomes. In addition, another ALL subgroup was identified based on its unique expression profile ... Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL ... Using a much larger number of cases, we find that some of the genes that were originally found to correlate with MLL in fact have a broader expression pattern than was originally appreciated. Similarly, in T-ALL, by using a much larger number of genes to assess the expression profiles, we now find prognostic markers that were not identified in the study of Ferrando | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 16 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  20748-20764 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  20430-20764 | Citation Text:  However, MLL-FKBP and MLL-AF9 transformed cells showed persistent expression of Hox a7 and Hox a9 as well as the Hox cofactor Meis 1. These findings were identical to the pattern of expression seen in human acute lymphoid and myeloid leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['16091-16399'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells. Interestingly, high expression of MTG16, a homolog of ETO (Gamou et al., 1998), was found in TEL-AML1 cases | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 17 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  34975-34991 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  34588-35064 | Citation Text:  Regardless of the mechanism for transcriptional activation, increasing data suggest that Hox a7, Hox a9, and Meis1 are pivotal targets for MLL fusion protein-mediated transformation Li et al. 1999, Thorsteinsdottir et al. 2001 and Thorsteinsdottir et al. 2002. These genes are consistently expressed in leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002, and abundant experimental data suggest this combination is transforming | Reference Offset:  ['16091-16399'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells. Interestingly, high expression of MTG16, a homolog of ETO (Gamou et al., 1998), was found in TEL-AML1 cases | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 18 | Reference Article:  Yeoh.txt | Citing Article:  Qiu.txt | Citation Marker Offset:  7649-7651 | Citation Marker:  34 | Citation Offset:  7516-7652 | Citation Text:  The biological dataset used in this study is the childhood leukemia dataset from the St. Jude Childrenís Research Hospital database [34] | Reference Offset:  ['41335-41948', '42273-42543'] | Reference Text:  A total of 389 pediatric acute leukemia samples were analyzed in this study, from which high-quality gene expression data was obtained on 360 (93%). The successfully analyzed samples included: 332 diagnostic BM, 3 diagnostic peripheral bloods (PB), and 25 relapsed ALL samples from BM or PB. All relapse samples and 264 (79%) of the diagnostic ALL BM samples were from patients enrolled on St. Jude Children's Research Hospital Total Therapy Studies XIIIA or XIIIB and corresponded to 64% of the patients treated on these protocols. The details of these protocols have been previously published (Pui et al., 2000) ... The composition of the data sets used for the identification of gene expression profiles predictive of specific genetic subtypes, hematological relapse, and risk of developing secondary AML are detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 19 | Reference Article:  Yeoh.txt | Citing Article:  Verhaak.txt | Citation Marker Offset:  7493-7498 | Citation Marker:  18-22 | Citation Offset:  7400-7650 | Citation Text:  In this paper, we focus on one practical application of microarrays: patient-cohort studies [18-22]. In such studies, researchers typically select sets of genes that are differentially expressed between certain known conditions, a supervised analysis | Reference Offset:  ['2031-2362', '6767-7154', '38088-38574'] | Reference Text:  Here we report results of expression profiling of leukemic blasts from a large cohort of pediatric ALL patients. Our results demonstrate that expression profiling can not only accurately identify the known prognostically important leukemia subtypes, but can further enhance our ability to assess a patient's risk of failing therapy ... To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... The provocative finding of an expression profile in the diagnostic samples that identifies patients who subsequently developed therapy-induced AML will need to be validated in an independent cohort of patients. Although a distinct expression profile was defined that identified those TEL-AML1 ALL patients who developed secondary AML, it remains to be determined if the profile represents genes that are mechanistically involved in the enhanced risk or are only statistical associations | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 20 | Reference Article:  Yeoh.txt | Citing Article:  Whyte.txt | Citation Marker Offset:  8327-8329 | Citation Marker:  27 | Citation Offset:  8038-8339 | Citation Text:  The molecular analysis of tumor tissue can yield a wealth of information about the oncogenic pathways that are active in a given patientís tumor. For example, gene expression profiles have been used to classify cancers into clinical subtypes [25] and [26] and to predict clinical outcome [27] and [28] | Reference Offset:  ['6315-6700', '23233-23602', '40150-40496'] | Reference Text:  These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology. In addition, gene expression profiling allows the accurate identification of some patients who are at a high risk for failing conventional therapeutic approaches ... Thus, the identified expression profiles appear to reflect an abnormality of the TEL transcription factor and may provide a more accurate means of identifying a specific leukemia subtype defined by its underlying biology. Collectively, these data suggest that the single platform of gene expression profiling can accurately identify the known prognostic subtypes of ALL ... The data presented here suggest that the single platform of gene expression profiling provides a robust and accurate approach for the diagnosis and risk stratification of pediatric ALL patients. Moreover, this approach should enhance our ability to identify patients who are at a high risk of developing marrow relapse and drug-related toxicities | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1419_TRAIN | Citance Number: 21 | Reference Article:  Yeoh.txt | Citing Article:  Xia.txt | Citation Marker Offset:  4690-4692 | Citation Marker:  11 | Citation Offset:  4465-4699 | Citation Text:  Representative examples include the gene pair selection method [10] and correlation-based methods the rationale behind which is that a good feature subset is highly correlated with the class and uncorrelated with each other [11], [12] | Reference Offset:  ['7157-7660', '19687-20063', '44129-44317'] | Reference Text:  In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 ◊ 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples. The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1) ... Classification was performed using the supervised learning algorithm, support vector machine (SVM), with a set of discriminating genes selected by a correlation-based feature selection (CFS) or, if this method selected >20 genes for a particular class, using the top 20 ranked genes selected by a chi-square metric or one of the other metrics detailed in the Supplemental Data ... Data reduction to define the genes most useful in class distinction was performed using a variety of metrics as detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Method_Citation | Annotator:  C, |

