Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]–[22] are summarized in Table 1 | Reference Offset:  ['6767-7154', '45132-45447'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 7 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  2740-2756 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  2446-2756 | Citation Text:  Recent analyses of multiple different cancers have identified gene expression differences between tumors with similar histologic characteristics yet heterogeneous clinical behavior Alizadeh et al. 2000, Armstrong et al. 2002, Bhattacharjee et al. 2001, Perou et al. 2000, Singh et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['7458-8044', '11251-11537', '31598-31989'] | Reference Text:  The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1). Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile ... As shown, distinct groups of genes distinguish cases defined by E2A-PBX1, MLL, T-ALL, hyperdiploid >50, BCR-ABL, the novel subgroup, and TEL-AML1. In addition to these specific subgroups, 65 cases (20% of the total) were identified that did not cluster into any of the leukemia subtypes ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 8 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  5308-5325 | Citation Marker:  Yeoh et al., 2002 | Citation Offset:  5089-5326 | Citation Text:  Another recent gene expression study of large numbers of cases provided support for the hypothesis that distinct leukemias are specified by each of the unique chromosomal abnormalities found in lymphoblastic leukemias (Yeoh et al., 2002) | Reference Offset:  ['7157-8044', '11251-11667', '31598-31989'] | Reference Text:  In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 × 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples. The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1). Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile ... As shown, distinct groups of genes distinguish cases defined by E2A-PBX1, MLL, T-ALL, hyperdiploid >50, BCR-ABL, the novel subgroup, and TEL-AML1. In addition to these specific subgroups, 65 cases (20% of the total) were identified that did not cluster into any of the leukemia subtypes. The expression profiles of these latter cases varied markedly, suggesting that they represent a heterogeneous group of leukemias ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 9 | Reference Article:  Yeoh.txt | Citing Article:  Chen,Guo.txt | Citation Marker Offset:  4358-4360 | Citation Marker:  10 | Citation Offset:  4214-4361 | Citation Text:  Transcriptome analysis using microarrays has been employed recently to profile global changes in gene expression in human cancers [8], [9] and [10] | Reference Offset:  ['6767-7853', '11251-11537', '31598-31989'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1. In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 × 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples. The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1). Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement ... As shown, distinct groups of genes distinguish cases defined by E2A-PBX1, MLL, T-ALL, hyperdiploid >50, BCR-ABL, the novel subgroup, and TEL-AML1. In addition to these specific subgroups, 65 cases (20% of the total) were identified that did not cluster into any of the leukemia subtypes ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 10 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  18402-18403 | Citation Marker:  8 | Citation Offset:  18192-18405 | Citation Text:  Our list of probe sets only partially overlapped with the previously reported lists by Yeoh et al. and Ross et al., i.e. 24% (26 probe sets) and 28% (31 probe sets), respectively (see supplementary Table S-IV).8,9 | Reference Offset:  ['6767-7154', '45132-45447'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 11 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  28777-28778 | Citation Marker:  8 | Citation Offset:  28638-28786 | Citation Text:  Several studies have reported a high classification accuracy of 90–95% for gene expression signatures in children with newly diagnosed ALL.8,9,21,22 | Reference Offset:  ['31598-32123'] | Reference Text:  Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 12 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  30219-30220 | Citation Marker:  8 | Citation Offset:  29911-30222 | Citation Text:  The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases were correctly classified (i.e., 100% sensitivity) which resembled the data previously reported using other strategies for probe set selection and classifier construction.8,9 | Reference Offset:  ['20249-20469', '31598-32123'] | Reference Text:  When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16–S18) ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 13 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  32571-32572 | Citation Marker:  8 | Citation Offset:  32315-32577 | Citation Text:  A gene that warrants further studies is the erythropoietin receptor that is 7.4-fold higher expressed in TEL-AML1-positive cases compared to other precursor B-ALL cases (see supplementary Table S-IV) confirming other gene expression classification studies.8,9,24 | Reference Offset:  ['11251-11537'] | Reference Text:  As shown, distinct groups of genes distinguish cases defined by E2A-PBX1, MLL, T-ALL, hyperdiploid >50, BCR-ABL, the novel subgroup, and TEL-AML1. In addition to these specific subgroups, 65 cases (20% of the total) were identified that did not cluster into any of the leukemia subtypes | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 14 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  4784-4785 | Citation Marker:  8 | Citation Offset:  4582-4787 | Citation Text:  Two leading studies showed that newly diagnosed pediatric ALL cases can be assigned to lineage and genetic subtypes using gene expression classifiers with an accuracy for predicting the subtype of >95%.8,9 | Reference Offset:  ['31598-32123'] | Reference Text:  Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 15 | Reference Article:  Yeoh.txt | Citing Article:  Huang,Cheng.txt | Citation Marker Offset:  3841-3843 | Citation Marker:  10 | Citation Offset:  3706-3843 | Citation Text:  Genomic measures of gene expression provide new information to identify patterns of gene activity that subclassify tumours.7, 8, 9 and 10 | Reference Offset:  ['7157-8161', '31598-31989', '36403-36734'] | Reference Text:  In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 × 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples. The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1). Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile. These cases had normal, pseudodiploid, or hyperdiploid karyotypes and lacked any consistent cytogenetic abnormality ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement ... Strikingly, our results demonstrate that the gene expression profiles differ between the diagnostic samples of patients who relapse and those who remain in continuous complete remission. Moreover, specific expression profiles in the diagnostic samples of either T-ALL or hyperdiploid ALL appear to be accurate predictors of relapse | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 16 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  20748-20764 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  20430-20764 | Citation Text:  However, MLL-FKBP and MLL-AF9 transformed cells showed persistent expression of Hox a7 and Hox a9 as well as the Hox cofactor Meis 1. These findings were identical to the pattern of expression seen in human acute lymphoid and myeloid leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['16091-16290'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 17 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  34975-34991 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  34588-35064 | Citation Text:  Regardless of the mechanism for transcriptional activation, increasing data suggest that Hox a7, Hox a9, and Meis1 are pivotal targets for MLL fusion protein-mediated transformation Li et al. 1999, Thorsteinsdottir et al. 2001 and Thorsteinsdottir et al. 2002. These genes are consistently expressed in leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002, and abundant experimental data suggest this combination is transforming | Reference Offset:  ['16091-16290'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 18 | Reference Article:  Yeoh.txt | Citing Article:  Qiu.txt | Citation Marker Offset:  7649-7651 | Citation Marker:  34 | Citation Offset:  7516-7652 | Citation Text:  The biological dataset used in this study is the childhood leukemia dataset from the St. Jude Children’s Research Hospital database [34] | Reference Offset:  ['6767-7154', '31598-31989', '45132-45447'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 19 | Reference Article:  Yeoh.txt | Citing Article:  Verhaak.txt | Citation Marker Offset:  7493-7498 | Citation Marker:  18-22 | Citation Offset:  7400-7650 | Citation Text:  In this paper, we focus on one practical application of microarrays: patient-cohort studies [18-22]. In such studies, researchers typically select sets of genes that are differentially expressed between certain known conditions, a supervised analysis | Reference Offset:  ['6767-7154', '31598-31989', '40150-40496'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... Using gene expression profiling, we now demonstrate that the single platform of microarray expression analysis can accurately identify each of the known prognostically and therapeutically relevant subgroups of childhood ALL. Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement ... The data presented here suggest that the single platform of gene expression profiling provides a robust and accurate approach for the diagnosis and risk stratification of pediatric ALL patients. Moreover, this approach should enhance our ability to identify patients who are at a high risk of developing marrow relapse and drug-related toxicities | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 20 | Reference Article:  Yeoh.txt | Citing Article:  Whyte.txt | Citation Marker Offset:  8327-8329 | Citation Marker:  27 | Citation Offset:  8184-8339 | Citation Text:  For example, gene expression profiles have been used to classify cancers into clinical subtypes [25] and [26] and to predict clinical outcome [27] and [28] | Reference Offset:  ['25820-26408', '36403-36734', '38299-38574'] | Reference Text:  However, within individual leukemic subtypes, distinct expression profiles could be defined that predicted relapse. Class assignment was performed using a SVM supervised learning algorithm with discriminating genes selected by CFS or, if this method returned >20 genes, we used the top 20 genes selected by T statistics (Supplemental Tables S22–S24 at http://www.stjuderesearch.org/data/ALL1). As shown, for both the T-ALL and hyperdiploid >50 subgroups, expression profiles identified those cases that went on to relapse with an accuracy of 97% and 100%, respectively, by crossvalidation ... Strikingly, our results demonstrate that the gene expression profiles differ between the diagnostic samples of patients who relapse and those who remain in continuous complete remission. Moreover, specific expression profiles in the diagnostic samples of either T-ALL or hyperdiploid ALL appear to be accurate predictors of relapse ... Although a distinct expression profile was defined that identified those TEL-AML1 ALL patients who developed secondary AML, it remains to be determined if the profile represents genes that are mechanistically involved in the enhanced risk or are only statistical associations | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1419_TRAIN | Citance Number: 21 | Reference Article:  Yeoh.txt | Citing Article:  Xia.txt | Citation Marker Offset:  4690-4692 | Citation Marker:  11 | Citation Offset:  4363-4699 | Citation Text:  Another family of statistical methods proposed to factor in the dependency information between genes. Representative examples include the gene pair selection method [10] and correlation-based methods the rationale behind which is that a good feature subset is highly correlated with the class and uncorrelated with each other [11], [12] | Reference Offset:  ['10373-10788', '43908-44689'] | Reference Text:  We next used statistical methods to identify those genes that best define the individual groups. The expression profiles obtained using the top 40 genes per subgroup selected by a chi-square metric are illustrated in Figure 1B, using the two-dimensional hierarchical clustering algorithm. The chi-square metric is a statistical test of association and provides a rank-ordered list of genes for each genetic subgroup ... Unsupervised hierarchical clustering, principal component analysis (PCA), discriminant analysis with variance (DAV), and self-organizing maps (SOM) were performed using GeneMaths software (v.1.5, Applied Maths, Belgium). Data reduction to define the genes most useful in class distinction was performed using a variety of metrics as detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1. Genes selected by the various metrics were used in supervised learning algorithms to build classifiers that could identify the specific genetic or prognostic subgroups. Algorithms used included k-nearest neighbors (k-NN), support vector machine (SVM), prediction by collective likelihood of emerging patterns (PCL), an artifical neural network (ANN), and weighted voting | Discourse Facet:  Discussion_Citation | Annotator:  D, |

