Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]ñ[22] are summarized in Table 1 | Reference Offset:  ['5975-6313', '6998-7154'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 7 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  2740-2756 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  2446-2756 | Citation Text:  Recent analyses of multiple different cancers have identified gene expression differences between tumors with similar histologic characteristics yet heterogeneous clinical behavior Alizadeh et al. 2000, Armstrong et al. 2002, Bhattacharjee et al. 2001, Perou et al. 2000, Singh et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['12621-12928', '12930-13020'] | Reference Text:  Moreover, we were unable to define expression profiles that were specific for the immunophenotypically defined differentiation stages of the B lineage ALLs, including early pre-B, transitional pre-B, and pre-B (see Supplemental Data, Tables S19ñS21 and Figure S20 at http://www.stjuderesearch.org/data/ALL1) ... Rather, the gene expression profiles of the specific genetic subgroups always predominated | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 8 | Reference Article:  Yeoh.txt | Citing Article:  Armstrong.txt | Citation Marker Offset:  5308-5325 | Citation Marker:  Yeoh et al., 2002 | Citation Offset:  5089-5326 | Citation Text:  Another recent gene expression study of large numbers of cases provided support for the hypothesis that distinct leukemias are specified by each of the unique chromosomal abnormalities found in lymphoblastic leukemias (Yeoh et al., 2002) | Reference Offset:  ['6315-6537', '17771-17880'] | Reference Text:  These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology ... Interestingly, almost 70% of the genes that defined this subgroup were localized to either chromosome X or 21 | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 9 | Reference Article:  Yeoh.txt | Citing Article:  Chen,Guo.txt | Citation Marker Offset:  4358-4360 | Citation Marker:  10 | Citation Offset:  4214-4361 | Citation Text:  Transcriptome analysis using microarrays has been employed recently to profile global changes in gene expression in human cancers [8], [9] and [10] | Reference Offset:  ['6315-6537'] | Reference Text:  These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 10 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  18402-18403 | Citation Marker:  8 | Citation Offset:  18192-18405 | Citation Text:  Our list of probe sets only partially overlapped with the previously reported lists by Yeoh et al. and Ross et al., i.e. 24% (26 probe sets) and 28% (31 probe sets), respectively (see supplementary Table S-IV).8,9 | Reference Offset:  ['6767-6996'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 11 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  28777-28778 | Citation Marker:  8 | Citation Offset:  28638-28786 | Citation Text:  Several studies have reported a high classification accuracy of 90ñ95% for gene expression signatures in children with newly diagnosed ALL.8,9,21,22 | Reference Offset:  ['20249-20469', '20553-20715'] | Reference Text:  When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16ñS18) ... A single gene was sufficient to give 100% accuracy for both T-ALL (CD3D) and E2A-PBX1 (PBX1), whereas 7ñ20 genes were required for prediction of the other classes | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 12 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  30219-30220 | Citation Marker:  8 | Citation Offset:  29911-30222 | Citation Text:  The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases were correctly classified (i.e., 100% sensitivity) which resembled the data previously reported using other strategies for probe set selection and classifier construction.8,9 | Reference Offset:  ['20249-20469', '20553-20715'] | Reference Text:  When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16ñS18) ... A single gene was sufficient to give 100% accuracy for both T-ALL (CD3D) and E2A-PBX1 (PBX1), whereas 7ñ20 genes were required for prediction of the other classes | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 13 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  32571-32572 | Citation Marker:  8 | Citation Offset:  32315-32577 | Citation Text:  A gene that warrants further studies is the erythropoietin receptor that is 7.4-fold higher expressed in TEL-AML1-positive cases compared to other precursor B-ALL cases (see supplementary Table S-IV) confirming other gene expression classification studies.8,9,24 | Reference Offset:  ['16292-16399'] | Reference Text:  Interestingly, high expression of MTG16, a homolog of ETO (Gamou et al., 1998), was found in TEL-AML1 cases | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 14 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  4784-4785 | Citation Marker:  8 | Citation Offset:  4582-4787 | Citation Text:  Two leading studies showed that newly diagnosed pediatric ALL cases can be assigned to lineage and genetic subtypes using gene expression classifiers with an accuracy for predicting the subtype of >95%.8,9 | Reference Offset:  ['20065-20247', '20249-20469'] | Reference Text:  As shown in Table 1, this approach resulted in exceptionally accurate class prediction in a randomly selected training set that consisted of two-thirds of the total cases (215 cases) ... When this classification model was then applied to a blinded test set consisting of the remaining 112 samples, an overall accuracy of 96% was achieved for class assignment ( Table 1 and Supplemental Data, Tables S16ñS18) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 15 | Reference Article:  Yeoh.txt | Citing Article:  Huang,Cheng.txt | Citation Marker Offset:  3841-3843 | Citation Marker:  10 | Citation Offset:  3706-3843 | Citation Text:  Genomic measures of gene expression provide new information to identify patterns of gene activity that subclassify tumours.7, 8, 9 and 10 | Reference Offset:  ['6315-6537'] | Reference Text:  These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 16 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  20748-20764 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  20564-20764 | Citation Text:  These findings were identical to the pattern of expression seen in human acute lymphoid and myeloid leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['16091-16290'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 17 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  34975-34991 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  34849-35064 | Citation Text:  These genes are consistently expressed in leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002, and abundant experimental data suggest this combination is transforming | Reference Offset:  ['16091-16290'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 18 | Reference Article:  Yeoh.txt | Citing Article:  Qiu.txt | Citation Marker Offset:  7649-7651 | Citation Marker:  34 | Citation Offset:  7516-7652 | Citation Text:  The biological dataset used in this study is the childhood leukemia dataset from the St. Jude Childrenís Research Hospital database [34] | Reference Offset:  ['5975-6313', '6998-7154'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 19 | Reference Article:  Yeoh.txt | Citing Article:  Verhaak.txt | Citation Marker Offset:  7493-7498 | Citation Marker:  18-22 | Citation Offset:  7400-7499 | Citation Text:  In this paper, we focus on one practical application of microarrays: patient-cohort studies [18-22] | Reference Offset:  ['5975-6313', '6315-6537'] | Reference Text:  To determine whether the single platform of gene expression profiling of leukemic blasts could replace conventional laboratory approaches while simultaneously enhancing prognostic criteria, we utilized oligonucleotide microarrays to analyze the expression of over 12,600 genes in diagnostic leukemic blasts from 360 pediatric ALL patients ... These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 20 | Reference Article:  Yeoh.txt | Citing Article:  Whyte.txt | Citation Marker Offset:  8327-8329 | Citation Marker:  27 | Citation Offset:  8184-8339 | Citation Text:  For example, gene expression profiles have been used to classify cancers into clinical subtypes [25] and [26] and to predict clinical outcome [27] and [28] | Reference Offset:  ['36403-36734', '40834-41074'] | Reference Text:  Strikingly, our results demonstrate that the gene expression profiles differ between the diagnostic samples of patients who relapse and those who remain in continuous complete remission. Moreover, specific expression profiles in the diagnostic samples of either T-ALL or hyperdiploid ALL appear to be accurate predictors of relapse ... Lastly, the generated database of comprehensive gene expression profiles coupled with detailed immunophenotype, cytogenetic, molecular diagnostic, and treatment outcome data should be an invaluable resource for studies of pediatric leukemia | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1419_TRAIN | Citance Number: 21 | Reference Article:  Yeoh.txt | Citing Article:  Xia.txt | Citation Marker Offset:  4690-4692 | Citation Marker:  11 | Citation Offset:  4465-4699 | Citation Text:  Representative examples include the gene pair selection method [10] and correlation-based methods the rationale behind which is that a good feature subset is highly correlated with the class and uncorrelated with each other [11], [12] | Reference Offset:  ['19687-20063'] | Reference Text:  Classification was performed using the supervised learning algorithm, support vector machine (SVM), with a set of discriminating genes selected by a correlation-based feature selection (CFS) or, if this method selected >20 genes for a particular class, using the top 20 ranked genes selected by a chi-square metric or one of the other metrics detailed in the Supplemental Data | Discourse Facet:  Method_Citation | Annotator:  G, |

