Topic ID: D1419_TRAIN | Citance Number: 1 | Reference Article:  Yeoh.txt | Citing Article:  Aliferis.txt | Citation Marker Offset:  28427-28428 | Citation Marker:  8 | Citation Offset:  28375-28471 | Citation Text:  The characteristics of the human datasets analyzed [8], [9], [18]ñ[22] are summarized in Table 1 | Reference Offset:  ['6767-6996', '7157-7456'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 ◊ 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples | Discourse Facet:  Method_Citation | Annotator:  H, |
Topic ID: D1419_TRAIN | Citance Number: 10 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  18402-18403 | Citation Marker:  8 | Citation Offset:  18192-18405 | Citation Text:  Our list of probe sets only partially overlapped with the previously reported lists by Yeoh et al. and Ross et al., i.e. 24% (26 probe sets) and 28% (31 probe sets), respectively (see supplementary Table S-IV).8,9 | Reference Offset:  ['6767-7154', '37526-37872'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets. The distribution of the individual prognostic subgroups within this data set is detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 ... It is important to keep in mind that the present analysis falls far short of a total transcriptional profile of the leukemic blasts. Although 12,600 probe sets are present on the microarray, the total number of genes that this represents accounts for less than 20% of the estimated number of genes within the human genome (Hogenesch et al., 2001) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 11 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  28777-28778 | Citation Marker:  8 | Citation Offset:  28638-28786 | Citation Text:  Several studies have reported a high classification accuracy of 90ñ95% for gene expression signatures in children with newly diagnosed ALL.8,9,21,22 | Reference Offset:  ['14132-14373', '31823-32244'] | Reference Text:  Thus, microarray analysis provides an accurate reflection of expression levels for most genes and can be used to accurately detect the expression of the more common surface antigens used in the diagnostic evaluation of pediatric ALL patients ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved. This level of accuracy exceeds that typically achieved using contemporary diagnostic approaches in most medical centers | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 12 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  30219-30220 | Citation Marker:  8 | Citation Offset:  29911-30222 | Citation Text:  The overall accuracy of our gene expression classifier was ~88%, and all T-ALL, TEL-AML1-positive, hyperdiploid and E2A-rearranged cases were correctly classified (i.e., 100% sensitivity) which resembled the data previously reported using other strategies for probe set selection and classifier construction.8,9 | Reference Offset:  ['6767-6996', '7157-7456', '25289-25451'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... In an initial analysis of the gene expression data set (12,600 probe sets in 327 leukemia samples; greater than 4 ◊ 106 data elements), we used an unsupervised two-dimensional hierarchical clustering algorithm to group genes on the basis of similarity in their pattern of expression over the samples ... The DAV was performed using all 11,322 probe sets that passed the variation filter and the displayed gene space represents the total variance within this data set | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 13 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  32571-32572 | Citation Marker:  8 | Citation Offset:  32315-32577 | Citation Text:  A gene that warrants further studies is the erythropoietin receptor that is 7.4-fold higher expressed in TEL-AML1-positive cases compared to other precursor B-ALL cases (see supplementary Table S-IV) confirming other gene expression classification studies.8,9,24 | Reference Offset:  ['6767-6996', '7662-8044', '8442-8733'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile ... For example, using the three component dimensions that accounted for 72.8% of the variance of gene expression among the subgroups, we were able to separate T-ALL (43 cases), E2A-PBX1 (27 cases), TEL-AML1 (79 cases), and hyperdiploid >50 (64 cases) from the remaining ALL subtypes (114 cases) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 14 | Reference Article:  Yeoh.txt | Citing Article:  DenBoer.txt | Citation Marker Offset:  4784-4785 | Citation Marker:  8 | Citation Offset:  4582-4787 | Citation Text:  Two leading studies showed that newly diagnosed pediatric ALL cases can be assigned to lineage and genetic subtypes using gene expression classifiers with an accuracy for predicting the subtype of >95%.8,9 | Reference Offset:  ['13373-13624', '14132-14373', '31823-32123'] | Reference Text:  As shown in the Supplemental Data (Figures S7ñS12 and Tables S4ñS9 at http://www.stjuderesearch.org/data/ALL1), a very high degree of correlation was observed between the levels of RNA expression detected by quantitative RT-PCR and microarray analysis ... Thus, microarray analysis provides an accurate reflection of expression levels for most genes and can be used to accurately detect the expression of the more common surface antigens used in the diagnostic evaluation of pediatric ALL patients ... Distinct gene expression profiles were identified for ALL blasts with T lineage, hyperdiploid >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. In addition, using a variety of computer-assisted supervised learning algorithms, overall diagnostic accuracies of 96% were achieved | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 15 | Reference Article:  Yeoh.txt | Citing Article:  Huang,Cheng.txt | Citation Marker Offset:  3841-3843 | Citation Marker:  10 | Citation Offset:  3706-3843 | Citation Text:  Genomic measures of gene expression provide new information to identify patterns of gene activity that subclassify tumours.7, 8, 9 and 10 | Reference Offset:  ['7662-8044', '8442-8733', '32125-32448'] | Reference Text:  Remarkably, this analysis clearly identified six major leukemia subtypes that corresponded to T-ALL, hyperdiploid with >50 chromosomes, BCR-ABL, E2A-PBX1, TEL-AML1, and MLL gene rearrangement. Moreover, within the heterogeneous collection of leukemias that were not assigned to one of these subtypes, a subgroup of 14 cases was identified that had a distinct gene expression profile ... For example, using the three component dimensions that accounted for 72.8% of the variance of gene expression among the subgroups, we were able to separate T-ALL (43 cases), E2A-PBX1 (27 cases), TEL-AML1 (79 cases), and hyperdiploid >50 (64 cases) from the remaining ALL subtypes (114 cases) ... This level of accuracy exceeds that typically achieved using contemporary diagnostic approaches in most medical centers. Moreover, the assignment of a leukemic sample to a specific biologic subgroup may be more accurately reflected by its gene expression profile than by the presence or absence of a specific genetic lesion | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 16 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  20748-20764 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  20564-20764 | Citation Text:  These findings were identical to the pattern of expression seen in human acute lymphoid and myeloid leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002 | Reference Offset:  ['16091-16290'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 17 | Reference Article:  Yeoh.txt | Citing Article:  Martin.txt | Citation Marker Offset:  34975-34991 | Citation Marker:  Yeoh et al. 2002 | Citation Offset:  34849-35064 | Citation Text:  These genes are consistently expressed in leukemias with MLL rearrangements Rozovskaia et al. 2001, Armstrong et al. 2002 and Yeoh et al. 2002, and abundant experimental data suggest this combination is transforming | Reference Offset:  ['16091-16290'] | Reference Text:  Similarly, HOXA9 and MEIS1 were exclusively expressed in cases having MLL rearrangements, indicating that they may be directly involved in MLL-mediated alterations in the growth of the leukemic cells | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 18 | Reference Article:  Yeoh.txt | Citing Article:  Qiu.txt | Citation Marker Offset:  7649-7651 | Citation Marker:  34 | Citation Offset:  7516-7652 | Citation Text:  The biological dataset used in this study is the childhood leukemia dataset from the St. Jude Childrenís Research Hospital database [34] | Reference Offset:  ['41335-41762', '45132-45447'] | Reference Text:  A total of 389 pediatric acute leukemia samples were analyzed in this study, from which high-quality gene expression data was obtained on 360 (93%). The successfully analyzed samples included: 332 diagnostic BM, 3 diagnostic peripheral bloods (PB), and 25 relapsed ALL samples from BM or PB. All relapse samples and 264 (79%) of the diagnostic ALL BM samples were from patients enrolled on St. Jude Children's Research Hospital ... Additional information on the samples, methods, statistical analysis, and results from the comparison of microarray gene expression levels with mRNA levels determined by real time RT-PCR or antigen levels determined by flow cytometry are available in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 19 | Reference Article:  Yeoh.txt | Citing Article:  Verhaak.txt | Citation Marker Offset:  7493-7498 | Citation Marker:  18-22 | Citation Offset:  7400-7499 | Citation Text:  In this paper, we focus on one practical application of microarrays: patient-cohort studies [18-22] | Reference Offset:  ['6767-6996', '41335-41482'] | Reference Text:  To determine if gene expression profiling of leukemic cells could identify known biologic ALL subgroups, we analyzed 327 diagnostic bone marrow (BM) samples with Affymetrix oligonucleotide microarrays containing 12,600 probe sets ... A total of 389 pediatric acute leukemia samples were analyzed in this study, from which high-quality gene expression data was obtained on 360 (93%) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 20 | Reference Article:  Yeoh.txt | Citing Article:  Whyte.txt | Citation Marker Offset:  8327-8329 | Citation Marker:  27 | Citation Offset:  8038-8339 | Citation Text:  The molecular analysis of tumor tissue can yield a wealth of information about the oncogenic pathways that are active in a given patientís tumor. For example, gene expression profiles have been used to classify cancers into clinical subtypes [25] and [26] and to predict clinical outcome [27] and [28] | Reference Offset:  ['6315-6700', '14132-14373', '40150-40496'] | Reference Text:  These studies demonstrate that expression profiling is not only a robust approach for the accurate identification of known lineage and molecular subtypes of ALL, but also provides new insights into their underlying biology. In addition, gene expression profiling allows the accurate identification of some patients who are at a high risk for failing conventional therapeutic approaches ... Thus, microarray analysis provides an accurate reflection of expression levels for most genes and can be used to accurately detect the expression of the more common surface antigens used in the diagnostic evaluation of pediatric ALL patients ... The data presented here suggest that the single platform of gene expression profiling provides a robust and accurate approach for the diagnosis and risk stratification of pediatric ALL patients. Moreover, this approach should enhance our ability to identify patients who are at a high risk of developing marrow relapse and drug-related toxicities | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1419_TRAIN | Citance Number: 21 | Reference Article:  Yeoh.txt | Citing Article:  Xia.txt | Citation Marker Offset:  4690-4692 | Citation Marker:  11 | Citation Offset:  4465-4699 | Citation Text:  Representative examples include the gene pair selection method [10] and correlation-based methods the rationale behind which is that a good feature subset is highly correlated with the class and uncorrelated with each other [11], [12] | Reference Offset:  ['7458-7660', '44129-44486'] | Reference Text:  The same clustering method was also used to group the leukemia samples on the basis of similarities in their pattern of genes expressed (see Supplemental Data at http://www.stjuderesearch.org/data/ALL1) ... Data reduction to define the genes most useful in class distinction was performed using a variety of metrics as detailed in the Supplemental Data at http://www.stjuderesearch.org/data/ALL1. Genes selected by the various metrics were used in supervised learning algorithms to build classifiers that could identify the specific genetic or prognostic subgroups | Discourse Facet:  Method_Citation | Annotator:  H, |

