Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['15033-15414'] | Reference Text:  Furthermore, as evidenced from the asymmetry observed in the volcano dot plot in Figure 2A, in which methylation difference between IDH1/2-mutant and -wild-type AMLs is plotted against statistical significance, we also observed a significant increase in overall promoter DNA methylation levels in IDH1/2-mutant AMLs versus other AML patients, consistent with a methylator phenotype | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 7 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  27883-27904 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  27703-27922 | Citation Text:  Two recent studies used RNAi-mediated Tet2 knock-down in vitro to suggest that TET2 depletion led to impaired hematopoietic differentiation and to preferential myeloid commitment (Figueroa et al., 2010; Ko et al., 2010) | Reference Offset:  ['38780-38895', '43625-43903'] | Reference Text:  Two independent short-hairpin RNAs (shRNAs) were used to stably knock down TET2 in murine primary bone marrow cells ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 8 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  4928-4949 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  4578-4967 | Citation Text:  In addition, recent work demonstrated that mutations in the metabolic enzymes IDH1 and IDH2 (Mardis et al., 2009; Parsons et al., 2008; Ward et al., 2010; Yan et al., 2009) are mutually exclusive with TET2 mutations, and that production of 2-hydroxyglutarate by neomorphic IDH1/2 mutant proteins (Dang et al., 2009) inhibits TET2 catalytic activity (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['34612-34890'] | Reference Text:  The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 9 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5393-5414 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5270-5509 | Citation Text:  Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['43625-43903'] | Reference Text:  These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 10 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5487-5508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5270-5509 | Citation Text:  Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['42258-42454', '43625-43903'] | Reference Text:  Importantly, we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 11 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  6314-6335 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  6137-6372 | Citation Text:  We first investigated the effects of Tet2 silencing in hematopoiesis by transducing whole mouse bone marrow cells with retroviral vectors encoding validated Tet2 shRNA vectors (Figueroa et al., 2010), and sorting for GFP-positive cells | Reference Offset:  ['54959-55173'] | Reference Text:  Twenty-four hours later, bone marrow cells were infected with retroviral vectors expressing MIGR1 empty vector or MIGR1 vector containing IDH2-wild-type, IDH2 R140Q, or at least two different shRNAs targeting mTET2 | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 12 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  9699-9720 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  9478-9748 | Citation Text:  Specifically, we found that 41.5% (51/123) of TET2 mutations occurred in the first coding exon of TET2 (exon 3) while 29.3% (36/123) of TET2 mutations occurred in the last coding exon (exon 11) (Abdel-Wahab et al., 2009; Figueroa et al., 2010) (Figure 2B and Figure S1B) | Reference Offset:  ['29879-30039'] | Reference Text:  Of the 40 TET2 mutations, 40% were insertions/deletions resulting in a frameshift mutation, 30% were nonsense mutations, and 30% were somatic missense mutations | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 13 | Reference Article:  Figueroa.txt | Citing Article:  Ohka.txt | Citation Marker Offset:  26771-26773 | Citation Marker:  38 | Citation Offset:  26580-26774 | Citation Text:  More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function [38] | Reference Offset:  ['23519-23752', '24324-24417', '33372-33528'] | Reference Text:  As shown previously ( Ward et al., 2010), expression of R132H mutant IDH1 or R172K mutant IDH2 in 293T cells led to a marked elevation of 2HG levels compared with expression of the corresponding wild-type enzymes ( Figures 3A and 3B) ... The increase in 5-methylcytosine correlated well with the levels of 2HG measured in the cells ... Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 14 | Reference Article:  Figueroa.txt | Citing Article:  Song.txt | Citation Marker Offset:  54487-54508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  54150-54635 | Citation Text:  It has also been recently reported that mutations of the isocitrate dehydrogenase genes IDH1 and IDH2 can lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits TET2 enzymatic activity, resulting in a hypermethylated promoter phenotype in acute myeloid leukemia (AML) tumors carrying IDH1/2 mutations ( Figueroa et al., 2010), further highlighting a possible critical role for TET family members in the epigenetic deregulation observed in many cancers | Reference Offset:  ['34612-34890'] | Reference Text:  The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 15 | Reference Article:  Figueroa.txt | Citing Article:  Xu,Yang.txt | Citation Marker Offset:  32574-32595 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  32387-32596 | Citation Text:  Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML (Figueroa et al., 2010) | Reference Offset:  ['34612-34890'] | Reference Text:  The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1413_TRAIN | Citance Number: 16 | Reference Article:  Figueroa.txt | Citing Article:  deVita,Schneider.txt | Citation Marker Offset:  22488-22490 | Citation Marker:  34 | Citation Offset:  22402-22491 | Citation Text:  Loss of TET2 is believed to cause an aberrant methylation of promoter regions in AML [34] | Reference Offset:  ['36848-36986', '48725-48847'] | Reference Text:  This analysis allowed us to determine that TET2-mutant AMLs displayed a unique methylation signature consisting of 57 DMRs (p < 0.05 T+BH) ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario | Discourse Facet:  Results_Citation | Annotator:  G, |

