Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['14458-14608', '14944-15031', '45342-45795'] | Reference Text:  we identified 45 differentially methylated regions (DMRs), all of which were universally hypermethylated in IDH1/2-mutant AMLs ( Figure 2A; Table S1A) ... they are uniquely epigenetically silenced through DNA methylation in IDH1/2-mutant AMLs ... here we demonstrate that IDH1/2-mutant AML is associated with more extensive promoter hypermethylation compared to other AML subtypes. In addition to the global increase in promoter methylation, IDH1/2-mutant AMLs display a robust and unique epigenetic signature, consisting almost entirely of hypermethylated genes, indicating that aberrant cytosine methylation in IDH1/2-mutant AML affects specific loci with known and putative roles in leukemogenesis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 7 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  27883-27904 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  27703-27922 | Citation Text:  Two recent studies used RNAi-mediated Tet2 knock-down in vitro to suggest that TET2 depletion led to impaired hematopoietic differentiation and to preferential myeloid commitment (Figueroa et al., 2010; Ko et al., 2010) | Reference Offset:  ['40984-41174', '42271-42454', '43625-43903'] | Reference Text:  Likewise, shRNA-mediated stable knockdown of Tet2 expression by 40%–80% with three different shRNAs resulted in a significant increase in C-Kit expression (p = 0.02) ( Figure 7A; Figure S6A) ... we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 8 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  4928-4949 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  4578-4967 | Citation Text:  In addition, recent work demonstrated that mutations in the metabolic enzymes IDH1 and IDH2 (Mardis et al., 2009; Parsons et al., 2008; Ward et al., 2010; Yan et al., 2009) are mutually exclusive with TET2 mutations, and that production of 2-hydroxyglutarate by neomorphic IDH1/2 mutant proteins (Dang et al., 2009) inhibits TET2 catalytic activity (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['30334-31099', '32084-33528'] | Reference Text:  In contrast to the other genes analyzed, the relationship between IDH1/2 and TET2 mutations was striking in this AML cohort. Although IDH1, IDH2, and TET2 mutations were each identified in a significant proportion of patients in our study, there was a statistically significant inverse correlation between IDH1/2 and TET2 mutations in AML (p = 0.009, left-tailed Fisher's exact test). Specifically, we did not identify a single patient with concurrent mutations in TET2 and in IDH1 or IDH2; 0/57 IDH1/2-mutant cases were TET2-mutant versus 28/300 IDH1/2-wild-type AML cases ( Figure 4). These data suggest that TET2 and IDH1/2 mutations form a distinct mutational class in AML, and that IDH1/2 mutations and TET2 mutations have overlapping roles in AML pathogenesis ... We therefore hypothesized that 2HG produced by mutant IDH might inhibit the hydroxylation reaction of 5-methylcytosine by TET2. To test this hypothesis, we expressed FLAG-tagged TET2 in 293T cells. Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 9 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5393-5414 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5270-5509 | Citation Text:  Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['40984-41174', '42271-42454', '43625-43903'] | Reference Text:  Likewise, shRNA-mediated stable knockdown of Tet2 expression by 40%–80% with three different shRNAs resulted in a significant increase in C-Kit expression (p = 0.02) ( Figure 7A; Figure S6A) ... we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 10 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5487-5508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5270-5509 | Citation Text:  Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['40984-41174', '42271-42454', '43625-43903'] | Reference Text:  Likewise, shRNA-mediated stable knockdown of Tet2 expression by 40%–80% with three different shRNAs resulted in a significant increase in C-Kit expression (p = 0.02) ( Figure 7A; Figure S6A) ... we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 11 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  6314-6335 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  6137-6336 | Citation Text:  We first investigated the effects of Tet2 silencing in hematopoiesis by transducing whole mouse bone marrow cells with retroviral vectors encoding validated Tet2 shRNA vectors (Figueroa et al., 2010) | Reference Offset:  ['38639-39267'] | Reference Text:  We also examined whether loss of TET2 in cells resulted in a similar increase in 5-methylcytosine levels as did expression of mutant IDH1/2. Two independent short-hairpin RNAs (shRNAs) were used to stably knock down TET2 in murine primary bone marrow cells. LC-ESI-MS/MS analysis revealed that expression of validated TET2 shRNA constructs or IDH1/2 mutations in murine primary bone marrow cells led to an ∼20% increase in 5-methylcytosine levels (Figure S4C). These data suggest that loss-of-function mutations in TET2 and IDH1/2 mutations contribute to leukemogenesis through a shared mechanism that disrupts DNA demethylation | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 12 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  9699-9720 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  9478-9748 | Citation Text:  Specifically, we found that 41.5% (51/123) of TET2 mutations occurred in the first coding exon of TET2 (exon 3) while 29.3% (36/123) of TET2 mutations occurred in the last coding exon (exon 11) (Abdel-Wahab et al., 2009; Figueroa et al., 2010) (Figure 2B and Figure S1B) | Reference Offset:  ['29245-30331'] | Reference Text:  We first examined the genetic status of TET2 in AML samples wild-type or mutant for IDH1/2. As controls in analyzing for association with TET2 mutations, we also examined the mutational status of 11 other genes known to be recurrently mutated in AML (including PHF6, WT1, TP53, ASXL1, PTEN, RUNX1, KIT, NPM1, FLT3, CEBPA, and RAS) in this same cohort. There were 40 somatic TET2 mutations identified in 28/385 patients (7.3% of the ECOG patient cohort). Although only 1 homozygous TET2 mutation was observed, 11 of the 28 TET2-mutant patients had >1 TET2 mutation, consistent with previous studies reporting biallelic TET2 mutations. Of the 40 TET2 mutations, 40% were insertions/deletions resulting in a frameshift mutation, 30% were nonsense mutations, and 30% were somatic missense mutations. AML patients with TET2 mutations did not differ from TET2-wild-type patients in terms of age, sex, cytogenetic risk, or percentage of bone marrow blasts at diagnosis. TET2-mutant patients also did not differ from TET2-wild-type AML patients in frequency of mutations in FLT3, NPM1, or CEBPA | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 13 | Reference Article:  Figueroa.txt | Citing Article:  Ohka.txt | Citation Marker Offset:  26771-26773 | Citation Marker:  38 | Citation Offset:  26580-26774 | Citation Text:  More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function [38] | Reference Offset:  ['32084-33528', '48849-49341'] | Reference Text:  We therefore hypothesized that 2HG produced by mutant IDH might inhibit the hydroxylation reaction of 5-methylcytosine by TET2. To test this hypothesis, we expressed FLAG-tagged TET2 in 293T cells. Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation ... Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2. In support of this possibility, we observed that TET2- and IDH1/2-mutant AMLs presented with more pronounced hypermethylation profiles than other AMLs and shared an overlapping epigenetic signature. Most importantly, expression of IDH1/2 mutants induced an increase in global DNA hypermethylation, and inhibited TET2-induced cytosine 5-hydroxymethylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 14 | Reference Article:  Figueroa.txt | Citing Article:  Song.txt | Citation Marker Offset:  54487-54508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  54150-54635 | Citation Text:  It has also been recently reported that mutations of the isocitrate dehydrogenase genes IDH1 and IDH2 can lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits TET2 enzymatic activity, resulting in a hypermethylated promoter phenotype in acute myeloid leukemia (AML) tumors carrying IDH1/2 mutations ( Figueroa et al., 2010), further highlighting a possible critical role for TET family members in the epigenetic deregulation observed in many cancers | Reference Offset:  ['32084-33528', '48849-49341'] | Reference Text:  We therefore hypothesized that 2HG produced by mutant IDH might inhibit the hydroxylation reaction of 5-methylcytosine by TET2. To test this hypothesis, we expressed FLAG-tagged TET2 in 293T cells. Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation ... Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2. In support of this possibility, we observed that TET2- and IDH1/2-mutant AMLs presented with more pronounced hypermethylation profiles than other AMLs and shared an overlapping epigenetic signature. Most importantly, expression of IDH1/2 mutants induced an increase in global DNA hypermethylation, and inhibited TET2-induced cytosine 5-hydroxymethylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 15 | Reference Article:  Figueroa.txt | Citing Article:  Xu,Yang.txt | Citation Marker Offset:  32574-32595 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  32387-32596 | Citation Text:  Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML (Figueroa et al., 2010) | Reference Offset:  ['30334-31099', '32084-33528'] | Reference Text:  In contrast to the other genes analyzed, the relationship between IDH1/2 and TET2 mutations was striking in this AML cohort. Although IDH1, IDH2, and TET2 mutations were each identified in a significant proportion of patients in our study, there was a statistically significant inverse correlation between IDH1/2 and TET2 mutations in AML (p = 0.009, left-tailed Fisher's exact test). Specifically, we did not identify a single patient with concurrent mutations in TET2 and in IDH1 or IDH2; 0/57 IDH1/2-mutant cases were TET2-mutant versus 28/300 IDH1/2-wild-type AML cases ( Figure 4). These data suggest that TET2 and IDH1/2 mutations form a distinct mutational class in AML, and that IDH1/2 mutations and TET2 mutations have overlapping roles in AML pathogenesis ... We therefore hypothesized that 2HG produced by mutant IDH might inhibit the hydroxylation reaction of 5-methylcytosine by TET2. To test this hypothesis, we expressed FLAG-tagged TET2 in 293T cells. Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1413_TRAIN | Citance Number: 16 | Reference Article:  Figueroa.txt | Citing Article:  deVita,Schneider.txt | Citation Marker Offset:  22488-22490 | Citation Marker:  34 | Citation Offset:  22402-22491 | Citation Text:  Loss of TET2 is believed to cause an aberrant methylation of promoter regions in AML [34] | Reference Offset:  ['29002-29242', '37993-38197', '48725-48847'] | Reference Text:  Unlike other DNA demethylases identified so far, the hydroxylation reaction does not involve any DNA damage, suggesting an important physiological function of TET2 in removing methylation marks ( Ito et al., 2010 and Tahiliani et al., 2009) ... Similar to the case of IDH1/2, there was a marked overall trend toward promoter hypermethylation in TET2-mutant AMLs compared to TET2- and IDH1/2-wild-type AMLs and to NBM CD34+ cells ( Figures 6C and 6D) ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario | Discourse Facet:  Results_Citation | Annotator:  B, |

