Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['14458-14608', '20827-20940', '45347-45475'] | Reference Text:  we identified 45 differentially methylated regions (DMRs), all of which were universally hypermethylated in IDH1/2-mutant AMLs ( Figure 2A; Table S1A) ... The data demonstrate that IDH1 and IDH2 neomorphic mutations have similar effects on DNA methylation in AML cells ... we demonstrate that IDH1/2-mutant AML is associated with more extensive promoter hypermethylation compared to other AML subtypes | Discourse Facet:  Results_Citation | Annotator:  H, |
Topic ID: D1413_TRAIN | Citance Number: 8 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  4928-4949 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  4578-5122 | Citation Text:  In addition, recent work demonstrated that mutations in the metabolic enzymes IDH1 and IDH2 (Mardis et al., 2009; Parsons et al., 2008; Ward et al., 2010; Yan et al., 2009) are mutually exclusive with TET2 mutations, and that production of 2-hydroxyglutarate by neomorphic IDH1/2 mutant proteins (Dang et al., 2009) inhibits TET2 catalytic activity (Figueroa et al., 2010; Xu et al., 2011). Taken together, these data indicate that mutations that impair 5-hydroxymethylation represent a novel mechanism of transformation in myeloid malignancies | Reference Offset:  ['5637-5936', '48849-48985'] | Reference Text:  The most common IDH1/2 mutations in AML and brain tumors, affecting R132 of IDH1 or R140 and R172 of IDH2, have the common feature of acquiring a neomorphic enzymatic activity catalyzing the NADPH-dependent reduction of αKG to R(-)-2-hydroxyglutarate (2HG) ( Dang et al., 2009 and Ward et al., 2010) ... Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2 | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 9 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5393-5414 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5125-5509 | Citation Text:  Although genetic data has implicated loss of TET2 function in myeloid transformation, the in vivo effects of Tet2 loss have not been delineated. Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['42258-42884', '43625-43903'] | Reference Text:  Importantly, we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C). After 14 days in methylcellulose culture, 7.8% of empty-vector-treated cells and 9.5% of IDH2-wild-type-expressing cells were Mac-1/Gr-1 double positive. In contrast, bone marrow cells expressing IDH2 R140Q (2.5% of cells double positive for Mac-1/Gr-1) or with stable Tet2 knockdown (2.9%ñ3.1% of cells double positive for Mac-1/Gr-1) had a >3-fold reduction in the proportion of cells coexpressing these mature myeloid markers ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 10 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5487-5508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5125-5509 | Citation Text:  Although genetic data has implicated loss of TET2 function in myeloid transformation, the in vivo effects of Tet2 loss have not been delineated. Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['43031-43476', '43625-43903'] | Reference Text:  We then assessed the effects of Tet2 knockdown or mutant IDH expression on the proportion of Lin-/Sca-1+/C-Kit+ (LSK) cells, which includes hematopoietic stem cells. We found that overexpression of IDH2 R140Q or knockdown of Tet2 in murine primary bone marrow cells grown in liquid culture for 5 days ex vivo demonstrated an increase in the percentage of LSK cells compared to control cells expressing empty vector or wild-type IDH2 ( Figure 7D) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 11 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  6314-6335 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  6137-6472 | Citation Text:  We first investigated the effects of Tet2 silencing in hematopoiesis by transducing whole mouse bone marrow cells with retroviral vectors encoding validated Tet2 shRNA vectors (Figueroa et al., 2010), and sorting for GFP-positive cells. Stable shRNA-mediated knock-down led to stable reductions in TET2 expression by 50ñ70% (Figure 1A) | Reference Offset:  ['54959-55173'] | Reference Text:  Twenty-four hours later, bone marrow cells were infected with retroviral vectors expressing MIGR1 empty vector or MIGR1 vector containing IDH2-wild-type, IDH2 R140Q, or at least two different shRNAs targeting mTET2 | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 12 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  9699-9720 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  9478-9748 | Citation Text:  Specifically, we found that 41.5% (51/123) of TET2 mutations occurred in the first coding exon of TET2 (exon 3) while 29.3% (36/123) of TET2 mutations occurred in the last coding exon (exon 11) (Abdel-Wahab et al., 2009; Figueroa et al., 2010) (Figure 2B and Figure S1B) | Reference Offset:  ['29597-30039'] | Reference Text:  There were 40 somatic TET2 mutations identified in 28/385 patients (7.3% of the ECOG patient cohort). Although only 1 homozygous TET2 mutation was observed, 11 of the 28 TET2-mutant patients had >1 TET2 mutation, consistent with previous studies reporting biallelic TET2 mutations. Of the 40 TET2 mutations, 40% were insertions/deletions resulting in a frameshift mutation, 30% were nonsense mutations, and 30% were somatic missense mutations | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 13 | Reference Article:  Figueroa.txt | Citing Article:  Ohka.txt | Citation Marker Offset:  26771-26773 | Citation Marker:  38 | Citation Offset:  26580-26774 | Citation Text:  More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function [38] | Reference Offset:  ['48849-49341'] | Reference Text:  Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2. In support of this possibility, we observed that TET2- and IDH1/2-mutant AMLs presented with more pronounced hypermethylation profiles than other AMLs and shared an overlapping epigenetic signature. Most importantly, expression of IDH1/2 mutants induced an increase in global DNA hypermethylation, and inhibited TET2-induced cytosine 5-hydroxymethylation | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 14 | Reference Article:  Figueroa.txt | Citing Article:  Song.txt | Citation Marker Offset:  54487-54508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  54150-54635 | Citation Text:  It has also been recently reported that mutations of the isocitrate dehydrogenase genes IDH1 and IDH2 can lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits TET2 enzymatic activity, resulting in a hypermethylated promoter phenotype in acute myeloid leukemia (AML) tumors carrying IDH1/2 mutations ( Figueroa et al., 2010), further highlighting a possible critical role for TET family members in the epigenetic deregulation observed in many cancers | Reference Offset:  ['48849-49341'] | Reference Text:  Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2. In support of this possibility, we observed that TET2- and IDH1/2-mutant AMLs presented with more pronounced hypermethylation profiles than other AMLs and shared an overlapping epigenetic signature. Most importantly, expression of IDH1/2 mutants induced an increase in global DNA hypermethylation, and inhibited TET2-induced cytosine 5-hydroxymethylation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 15 | Reference Article:  Figueroa.txt | Citing Article:  Xu,Yang.txt | Citation Marker Offset:  32574-32595 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  32387-32596 | Citation Text:  Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML (Figueroa et al., 2010) | Reference Offset:  ['33157-33528', '34612-34890'] | Reference Text:  Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation ... The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1413_TRAIN | Citance Number: 16 | Reference Article:  Figueroa.txt | Citing Article:  deVita,Schneider.txt | Citation Marker Offset:  22488-22490 | Citation Marker:  34 | Citation Offset:  22402-22491 | Citation Text:  Loss of TET2 is believed to cause an aberrant methylation of promoter regions in AML [34] | Reference Offset:  ['38780-39267', '48725-48847'] | Reference Text:  Two independent short-hairpin RNAs (shRNAs) were used to stably knock down TET2 in murine primary bone marrow cells. LC-ESI-MS/MS analysis revealed that expression of validated TET2 shRNA constructs or IDH1/2 mutations in murine primary bone marrow cells led to an ~20% increase in 5-methylcytosine levels (Figure S4C). These data suggest that loss-of-function mutations in TET2 and IDH1/2 mutations contribute to leukemogenesis through a shared mechanism that disrupts DNA demethylation ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario | Discourse Facet:  Results_Citation | Annotator:  H, |

