Topic ID: D1413_TRAIN | Citance Number: 1 | Reference Article:  Figueroa.txt | Citing Article:  Bralten.txt | Citation Marker Offset:  13616-13618 | Citation Marker:  33 | Citation Offset:  13390-13625 | Citation Text:  In line with this hypothesis is the high frequency of IDH1 mutations in oligodendrogliomas with 1p and 19q LOH (see e.g. [32]) and the observation that IDH1 mutations induce chromatin remodeling and promoter hypermethylation [33], [34] | Reference Offset:  ['14304-15031', '34612-34890', '45207-45795'] | Reference Text:  Using stringent criteria (absolute log2 difference in methylation > 1.5, p < 0.05 t test with Benjamini-Hochberg correction for multiple testing [T+BH]), we identified 45 differentially methylated regions (DMRs), all of which were universally hypermethylated in IDH1/2-mutant AMLs ( Figure 2A; Table S1A). Thirty of these genes could be assessed for gene expression (i.e., they were present on the expression arrays used in this study) and 23/30 (77%) were repressed, consistent with the expected effect of hypermethylation. Although many of these genes were also expressed at relatively low abundance in a subset of IDH1/2-wild-type AMLs, they are uniquely epigenetically silenced through DNA methylation in IDH1/2-mutant AMLs ... The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells ... Although we have previously shown that aberrant DNA methylation patterning is a characteristic feature of AML (Figueroa et al., 2010), here we demonstrate that IDH1/2-mutant AML is associated with more extensive promoter hypermethylation compared to other AML subtypes. In addition to the global increase in promoter methylation, IDH1/2-mutant AMLs display a robust and unique epigenetic signature, consisting almost entirely of hypermethylated genes, indicating that aberrant cytosine methylation in IDH1/2-mutant AML affects specific loci with known and putative roles in leukemogenesis | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 7 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  27883-27904 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  27703-27922 | Citation Text:  Two recent studies used RNAi-mediated Tet2 knock-down in vitro to suggest that TET2 depletion led to impaired hematopoietic differentiation and to preferential myeloid commitment (Figueroa et al., 2010; Ko et al., 2010) | Reference Offset:  ['1573-1890', '50882-51518'] | Reference Text:  Consistent with these genetic and epigenetic data, expression of IDH mutants impaired TET2 catalytic function in cells. Finally, either expression of mutant IDH1/2 or Tet2 depletion impaired hematopoietic differentiation and increased stem/progenitor cell marker expression, suggesting a shared proleukemogenic effect ... Although in vivo studies will be needed to specifically delineate the effects of IDH1/2-mutant protein expression on stem/progenitor cell function and on hematopoietic differentiation, the data suggest that expression of IDH1/2 proteins in hematopoietic cells results in impairment of myeloid differentiation and increased expression of immature cell-surface markers. Consonant with these findings, we found that many of the genes hypermethylated in the context of IDH1/2-mutant AML contained DNA binding motifs for GATA1/GATA2 and EVI1, transcription factors known to play a role in leukemogenesis and in normal myeloid differentiation | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 8 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  4928-4949 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  4578-4967 | Citation Text:  In addition, recent work demonstrated that mutations in the metabolic enzymes IDH1 and IDH2 (Mardis et al., 2009; Parsons et al., 2008; Ward et al., 2010; Yan et al., 2009) are mutually exclusive with TET2 mutations, and that production of 2-hydroxyglutarate by neomorphic IDH1/2 mutant proteins (Dang et al., 2009) inhibits TET2 catalytic activity (Figueroa et al., 2010; Xu et al., 2011) | Reference Offset:  ['2378-2710', '33372-33528', '48725-48985'] | Reference Text:  Here we demonstrate that leukemic neomorphic mutations of the citrate metabolism genes IDH1 and IDH2 that generate the aberrant metabolite 2HG induce DNA hypermethylation and impair differentiation in hematopoietic cells. These effects are caused in part through inhibition of TET2, a DNA demethylase enzyme also mutated in leukemia ... Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation ... TET2 loss of function would be anticipated to result in hypermethylation, and the data reported here support this scenario. Furthermore, IDH1/2 mutations, which lead to elevated levels of 2HG, an αKG analog, might be anticipated to inhibit the function of TET2 | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 9 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5393-5414 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5270-5432 | Citation Text:  Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) | Reference Offset:  ['42258-42884', '43625-43903'] | Reference Text:  Importantly, we found that mutant IDH2 expression as well as Tet2 loss, but not wild-type IDH2 expression, results in a reduced expression of the mature myeloid markers Gr-1 and Mac-1 ( Figure 7C). After 14 days in methylcellulose culture, 7.8% of empty-vector-treated cells and 9.5% of IDH2-wild-type-expressing cells were Mac-1/Gr-1 double positive. In contrast, bone marrow cells expressing IDH2 R140Q (2.5% of cells double positive for Mac-1/Gr-1) or with stable Tet2 knockdown (2.9%ñ3.1% of cells double positive for Mac-1/Gr-1) had a >3-fold reduction in the proportion of cells coexpressing these mature myeloid markers ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 10 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  5487-5508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  5270-5509 | Citation Text:  Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation (Figueroa et al., 2010; Ko et al., 2010) and in regulating stem/progenitor cell proliferation (Figueroa et al., 2010) | Reference Offset:  ['43031-43476', '43625-43903'] | Reference Text:  We then assessed the effects of Tet2 knockdown or mutant IDH expression on the proportion of Lin-/Sca-1+/C-Kit+ (LSK) cells, which includes hematopoietic stem cells. We found that overexpression of IDH2 R140Q or knockdown of Tet2 in murine primary bone marrow cells grown in liquid culture for 5 days ex vivo demonstrated an increase in the percentage of LSK cells compared to control cells expressing empty vector or wild-type IDH2 ( Figure 7D) ... These data suggest that expression of IDH2 mutants or reduction in Tet2 expression results in similar effects on hematopoietic differentiation with a concordant increase in the proportion of hematopoietic stem/progenitor cells and in inhibition of normal myeloid differentiation | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 11 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  6314-6335 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  6137-6372 | Citation Text:  We first investigated the effects of Tet2 silencing in hematopoiesis by transducing whole mouse bone marrow cells with retroviral vectors encoding validated Tet2 shRNA vectors (Figueroa et al., 2010), and sorting for GFP-positive cells | Reference Offset:  ['54959-55173'] | Reference Text:  Twenty-four hours later, bone marrow cells were infected with retroviral vectors expressing MIGR1 empty vector or MIGR1 vector containing IDH2-wild-type, IDH2 R140Q, or at least two different shRNAs targeting mTET2 | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 12 | Reference Article:  Figueroa.txt | Citing Article:  Moran-Crusio.txt | Citation Marker Offset:  9699-9720 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  9478-9748 | Citation Text:  Specifically, we found that 41.5% (51/123) of TET2 mutations occurred in the first coding exon of TET2 (exon 3) while 29.3% (36/123) of TET2 mutations occurred in the last coding exon (exon 11) (Abdel-Wahab et al., 2009; Figueroa et al., 2010) (Figure 2B and Figure S1B) | Reference Offset:  ['29597-30039'] | Reference Text:  There were 40 somatic TET2 mutations identified in 28/385 patients (7.3% of the ECOG patient cohort). Although only 1 homozygous TET2 mutation was observed, 11 of the 28 TET2-mutant patients had >1 TET2 mutation, consistent with previous studies reporting biallelic TET2 mutations. Of the 40 TET2 mutations, 40% were insertions/deletions resulting in a frameshift mutation, 30% were nonsense mutations, and 30% were somatic missense mutations | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 13 | Reference Article:  Figueroa.txt | Citing Article:  Ohka.txt | Citation Marker Offset:  26771-26773 | Citation Marker:  38 | Citation Offset:  26580-26907 | Citation Text:  More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function [38]. In this study, LGGs with IDH1/2 mutation tended to exhibit higher LINE-1 methylation although there was no statistical significance | Reference Offset:  ['1047-1571', '3955-4394', '47068-47865'] | Reference Text:  Mutational and epigenetic profiling of a large acute myeloid leukemia (AML) patient cohort revealed that IDH1/2-mutant AMLs display global DNA hypermethylation and a specific hypermethylation signature. Furthermore, expression of 2HG-producing IDH alleles in cells induced global DNA hypermethylation. In the AML cohort, IDH1/2 mutations were mutually exclusive with mutations in the α-ketoglutarate-dependent enzyme TET2, and TET2 loss-of-function mutations were associated with similar epigenetic defects as IDH1/2 mutants ... The most prevalent such mutations identified to date affect the genes for cytosolic isocitrate dehydrogenase 1 (IDH1) and its mitochondrial homolog IDH2. IDH1 and IDH2 lesions occur in ∼70% of patients with lower-grade (grade II-III) brain tumors such as astrocytomas, as well as in secondary glioblastomas derived from lower-grade glial tumors ( Hartmann et al., 2009, Parsons et al., 2008, van den Bent et al., 2010 and Yan et al., 2009) ... In previous studies in glioma, it was suggested that IDH-mutant brain tumors were characterized by a methylator phenotype which favors the acquisition of IDH1/2 mutations ( Noushmehr et al., 2010). Alternatively, IDH1/2 mutations could be early events in the process of hematopoietic transformation and precede the stochastic acquisition and accumulation of epigenetic changes that eventually culminate in overt AML. However, our data suggest a more direct mechanistic link between IDH1/2 mutations and dysregulated epigenetic programming in leukemia cells. Specifically, our data suggest that DNA hypermethylation is a consequence of mutant IDH protein expression and that IDH1/2-mutant-mediated epigenetic effects contribute to AML pathogenesis. Several lines of evidence support this hypothesis | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 14 | Reference Article:  Figueroa.txt | Citing Article:  Song.txt | Citation Marker Offset:  54487-54508 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  54150-54635 | Citation Text:  It has also been recently reported that mutations of the isocitrate dehydrogenase genes IDH1 and IDH2 can lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits TET2 enzymatic activity, resulting in a hypermethylated promoter phenotype in acute myeloid leukemia (AML) tumors carrying IDH1/2 mutations ( Figueroa et al., 2010), further highlighting a possible critical role for TET family members in the epigenetic deregulation observed in many cancers | Reference Offset:  ['1047-1571', '32282-33528'] | Reference Text:  Mutational and epigenetic profiling of a large acute myeloid leukemia (AML) patient cohort revealed that IDH1/2-mutant AMLs display global DNA hypermethylation and a specific hypermethylation signature. Furthermore, expression of 2HG-producing IDH alleles in cells induced global DNA hypermethylation. In the AML cohort, IDH1/2 mutations were mutually exclusive with mutations in the α-ketoglutarate-dependent enzyme TET2, and TET2 loss-of-function mutations were associated with similar epigenetic defects as IDH1/2 mutants ... Consistent with previous findings (Ito et al., 2010 and Tahiliani et al., 2009), cells expressing TET2 showed higher levels of 5-OH-MeC in the nucleus as detected by immunofluorescence staining with 5-OH-MeC-specific antibody. Cotransfection of TET2 with IDH1 R132H, but not wild-type IDH1, reversed this increase in 5-OH-MeC (Figure 5A). To obtain a more quantitative assessment, we also performed flow cytometric analysis of 5-OH-MeC fluorescence intensity. Staining with an anti-FLAG antibody allowed us to discriminate between TET2-positive and TET2-negative populations; importantly, the TET2-positive population showed an ∼4-fold increase in the 5-OH-MeC fluorescence intensity. Cotransfection with R132H mutant IDH1 led to an ∼40% decrease in the fluorescence intensity, whereas wild-type IDH1 had no significant impact on 5-OH-MeC fluorescence intensity (Figure 5B). Consistent with its proposed role in DNA demethylation, TET2 transfection also caused a decrease in 5-methylcytosine, which could be reversed by coexpression of IDH1 R132H mutant but not wild-type IDH1 (Figure S5). Together, these data suggest that expression of mutant IDH is able to inhibit the hydroxylation of 5-methylcytosine by TET2 and subsequent DNA demethylation | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 15 | Reference Article:  Figueroa.txt | Citing Article:  Xu,Yang.txt | Citation Marker Offset:  32574-32595 | Citation Marker:  Figueroa et al., 2010 | Citation Offset:  32387-32596 | Citation Text:  Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML (Figueroa et al., 2010) | Reference Offset:  ['30459-31099', '34612-34890', '48354-48534'] | Reference Text:  Although IDH1, IDH2, and TET2 mutations were each identified in a significant proportion of patients in our study, there was a statistically significant inverse correlation between IDH1/2 and TET2 mutations in AML (p = 0.009, left-tailed Fisher's exact test). Specifically, we did not identify a single patient with concurrent mutations in TET2 and in IDH1 or IDH2; 0/57 IDH1/2-mutant cases were TET2-mutant versus 28/300 IDH1/2-wild-type AML cases ( Figure 4). These data suggest that TET2 and IDH1/2 mutations form a distinct mutational class in AML, and that IDH1/2 mutations and TET2 mutations have overlapping roles in AML pathogenesis ... The fact that IDH1/2 and TET2 mutations are mutually exclusive in AML and that IDH1/2 mutations induce hypermethylation and inhibit TET2-mediated 5-hydroxymethylation suggested that both mutations may function by altering the cytosine methylation profiles of hematopoietic cells ... We observed that IDH1/2 and TET2 mutations were mutually exclusive in a large, genetically annotated de novo AML cohort, suggesting that these lesions may be biologically redundant | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1413_TRAIN | Citance Number: 16 | Reference Article:  Figueroa.txt | Citing Article:  deVita,Schneider.txt | Citation Marker Offset:  22488-22490 | Citation Marker:  34 | Citation Offset:  22402-22491 | Citation Text:  Loss of TET2 is believed to cause an aberrant methylation of promoter regions in AML [34] | Reference Offset:  ['36848-37149', '37993-38197', '38897-39267'] | Reference Text:  This analysis allowed us to determine that TET2-mutant AMLs displayed a unique methylation signature consisting of 57 DMRs (p < 0.05 T+BH). IDH1/2-mutant AMLs also displayed a 57-DMR signature when compared to IDH1/2-wild-type and TET2-wild-type AMLs (>2 log2 methylation difference and p < 0.05 T+BH) ... Similar to the case of IDH1/2, there was a marked overall trend toward promoter hypermethylation in TET2-mutant AMLs compared to TET2- and IDH1/2-wild-type AMLs and to NBM CD34+ cells ( Figures 6C and 6D) ... LC-ESI-MS/MS analysis revealed that expression of validated TET2 shRNA constructs or IDH1/2 mutations in murine primary bone marrow cells led to an ∼20% increase in 5-methylcytosine levels (Figure S4C). These data suggest that loss-of-function mutations in TET2 and IDH1/2 mutations contribute to leukemogenesis through a shared mechanism that disrupts DNA demethylation | Discourse Facet:  Results_Citation | Annotator:  C, |

