Topic ID: D1416_TRAIN | Citance Number: 1 | Reference Article:  Zhao,Wang.txt | Citing Article:  Downs.txt | Citation Marker Offset:  40972-40988 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  40756-40988 | Citation Text:  It is interesting to point out that the Arp4 homolog in mammals, Baf53, is present in both the Tip60/NuA4 HAT, SWI/SNF, and other ATP-dependent chromatin remodeling complexes Doyon et al. 2004, Ikura et al. 2000 and Zhao et al. 1998 | Reference Offset:  ['28563-28698', '38634-38758', '39562-39761'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 7 | Reference Article:  Zhao,Wang.txt | Citing Article:  Gozani.txt | Citation Marker Offset:  2980-2997 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  2847-2998 | Citation Text:  For example, PtdIns(4,5)P2 induces association of the SWI/SNF-like BAF complex with chromatin in T cells during antigen stimulation (Zhao et al., 1998) | Reference Offset:  ['9960-10140', '13745-13872'] | Reference Text:  Thus, the ability of phosphoinositols to control the association of BAFs with the nucleus parallels the activity of these signaling intermediates to regulate actin-binding proteins ... We conclude from these results that the BAF complex interacts with chromatin in nuclei and this interaction is enhanced by PIP2 | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 8 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14098-14100 | Citation Marker:  47 | Citation Offset:  13979-14108 | Citation Text:  β-actin and actin-related proteins have been found in the various ATP-dependent chromatin remodeling complexes (4, 28, 47 and 34) | Reference Offset:  ['38634-38811', '37772-37829'] | Reference Text:  they are required for the maximal ATPase activity of BRG1 ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 9 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14235-14251 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14110-14252 | Citation Text:  As reported here for the TIP60 complex, both β-actin and BAF53 have been identified in the BAF chromatin-remodeling complex (Zhao et al. 1998) | Reference Offset:  ['25000-25064', '28563-28698', '39562-39761'] | Reference Text:  β-Actin and BAF53 Directly Interact with BRG1 in the BAF Complex ... We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 10 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14682-14698 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14534-14699 | Citation Text:  β-actin and actin-related proteins appear to have weak ATPase activities, which contribute ~1% of the total activity in the BAF remodeling complex (Zhao et al. 1998) | Reference Offset:  ['14858-15098', '33689-33795'] | Reference Text:  In contrast with the overall homology to actin, the ATP-binding pocket in actin ( Kabsch et al. 1990) is poorly conserved in BAF53, suggesting that BAF53 may not have ATP binding activity (additional evidence will be presented in Figure 4A) ... Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 11 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14899-14915 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14701-14916 | Citation Text:  Results of experiments using the actin monomer sequestering product latrunculin B suggest that β-actin and BAF53 are required for stimulation of the ATPase activity of the BAF complex by chromatin (Zhao et al. 1998) | Reference Offset:  ['38634-38811', '37772-37829', '38470-38632'] | Reference Text:  they are required for the maximal ATPase activity of BRG1 ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 12 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  15782-15798 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  15592-15799 | Citation Text:  We assumed that this ATPase activity in the TIP60 complex is derived mainly from TAP54α and β because β-actin and actin-related proteins themselves appear to have very weak ATPase activity (Zhao et al. 1998) | Reference Offset:  ['14858-15098', '33689-33795'] | Reference Text:  In contrast with the overall homology to actin, the ATP-binding pocket in actin ( Kabsch et al. 1990) is poorly conserved in BAF53, suggesting that BAF53 may not have ATP binding activity (additional evidence will be presented in Figure 4A) ... Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 13 | Reference Article:  Zhao,Wang.txt | Citing Article:  Jockusch.txt | Citation Marker Offset:  10055-10057 | Citation Marker:  25 | Citation Offset:  9882-10058 | Citation Text:  Similarly, there is probably only one actin molecule required in the large chromatin remodeling complexes that activate transcription in mammals after receptor stimulation [25] | Reference Offset:  ['38470-38632'] | Reference Text:  Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 14 | Reference Article:  Zhao,Wang.txt | Citing Article:  Jockusch.txt | Citation Marker Offset:  4598-4600 | Citation Marker:  25 | Citation Offset:  4585-4601 | Citation Text:  Lymphocytes	[25] | Reference Offset:  ['6101-6336', '38894-39123'] | Reference Text:  We reasoned that the rapid chromatin decondensation that occurs after engagement of the antigen receptor in lymphocytes might require the regulated association of one of the known chromatin remodeling complexes with chromatin or nuclei ... Our studies indicate that signals from the lymphocyte antigen receptor regulate chromatin remodeling by regulating PIP2 levels that in turn control the association of the complex with chromatin or some component of nuclear matrix | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 15 | Reference Article:  Zhao,Wang.txt | Citing Article:  Oh.txt | Citation Marker Offset:  17549-17566 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  17300-17567 | Citation Text:  In fact, among SWI/SNF family chromatin remodelers, the hBAF (Brg1-associated factors) complex is known to be targeted to the nuclear matrix/chromatin through direct interaction with nuclear PIP2 and actin/actin-related protein (Rando et al., 2002; Zhao et al., 1998) | Reference Offset:  ['13745-13872', '38894-39123', '39125-39263'] | Reference Text:  We conclude from these results that the BAF complex interacts with chromatin in nuclei and this interaction is enhanced by PIP2 ... Our studies indicate that signals from the lymphocyte antigen receptor regulate chromatin remodeling by regulating PIP2 levels that in turn control the association of the complex with chromatin or some component of nuclear matrix ... A likely role for PIP2 is to control the actions of actin in the BAF complex by regulating the function of a nuclear actin-binding protein | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 16 | Reference Article:  Zhao,Wang.txt | Citing Article:  Phelan.txt | Citation Marker Offset:  3123-3125 | Citation Marker:  32 | Citation Offset:  2922-3269 | Citation Text:  In addition, the Drosophila and human complexes all contain subunits that are homologs of SWI3, SNF5, SWP73, and the recently identified RSC and ySWI/SNF subunits ARP7 and ARP9 ( 16, 28, 5, 17, 20 and 32). Thus, all SWI/SNF-related remodeling complexes contain a set of conserved proteins (see Table 1) and also contain four or more other subunits | Reference Offset:  ['28563-28698', '38634-38758', '39562-39815'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells, which have a complex that lacks these three subunits | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 17 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  2658-2675 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  2497-2676 | Citation Text:  The mammalian Arp, BAF53 (BRG-associated factor), and β-actin were initially found as components of the mammalian SWI/SNF-like BAF chromatin-remodeling complex (Zhao et al., 1998) | Reference Offset:  ['28563-28698', '37040-37113', '39562-39761'] | Reference Text:  We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... β-Actin and the Actin-Related Protein BAF53 Are Subunits of BAF Complexes ... The role of actin in targeting the complex is supported by the observation that BRG1, BAF53, and actin are required for association of the BAF complex with the nuclear matrix/chromatin in SW-13 cells | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 18 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  29150-29167 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  28994-29288 | Citation Text:  However, the discovery of actin as a component of the mammalian BAF chromatin-remodeling complex in tight association with the SWI2/SNF2-like BRG1 protein (Zhao et al., 1998) and its presence in other chromatin-remodeling complexes has spurred renewed interest in the functions of nuclear actin | Reference Offset:  ['24892-24997', '25955-26166', '28563-28698'] | Reference Text:  We conclude that BRG1 is required in vivo to support the assembly of actin and BAF53 into the BAF complex ... These experiments demonstrate that actin and BAF53 directly interact with BRG1 in the BAF complex in vitro, since the cross-linking was sufficiently inefficient to detect interactions mediated by a third protein ... We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 19 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  4896-4912 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  4712-4912 | Citation Text:  In addition, there is evidence suggesting that actin can modulate the ATPase activity and binding of the mammalian BAF complex to chromatin or the nuclear matrix Rando et al. 2002 and Zhao et al. 1998 | Reference Offset:  ['38634-38758', '38760-38811'] | Reference Text:  One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin ... A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1416_TRAIN | Citance Number: 20 | Reference Article:  Zhao,Wang.txt | Citing Article:  Sotiropoulos.txt | Citation Marker Offset:  35342-35358 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  35208-35359 | Citation Text:  it is interesting to note that cytoskeletal actin has recently been found to be associated with the BAF chromatin remodeling complex (Zhao et al. 1998) | Reference Offset:  ['20400-20617', '20760-20985', '37114-37261'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... Quantitation using specific antibodies to actin revealed that there is about one actin molecule per BAF complex and that about 3% of the nuclear actin and about 0.03% of total cellular actin is associated with the BAF complex ... The following lines of evidence support the conclusion that β-actin and the actin-related protein BAF53 are functional subunits of the BAF complex: | Discourse Facet:  Results_Citation | Annotator:  I, |

