Topic ID: D1416_TRAIN | Citance Number: 1 | Reference Article:  Zhao,Wang.txt | Citing Article:  Downs.txt | Citation Marker Offset:  40972-40988 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  40756-40988 | Citation Text:  It is interesting to point out that the Arp4 homolog in mammals, Baf53, is present in both the Tip60/NuA4 HAT, SWI/SNF, and other ATP-dependent chromatin remodeling complexes Doyon et al. 2004, Ikura et al. 2000 and Zhao et al. 1998 | Reference Offset:  ['3391-3639', '28416-28698', '40884-41242'] | Reference Text:  Furthermore, a group of proteins tightly associated with BRG1 and hBRM called BAFs (BRG or Brm associated factors) are related to subunits of the yeast SWI/SNF complex ( 37 and 38). The subunits of the mammalian complex are encoded by gene families ... However, the BAF57 and BAF53 signals were only detected in the nuclear matrix preparations where BRG1 was detected (Figure 7B, panels labeled NM). We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... The observation that the mSWI/SNF or BAF complex becomes stably associated with chromatin within 10 min of antigen receptor stimulation strongly indicates that neither protein synthesis nor new gene activation is required for targeting the complexes, since no detectable increase in transcription or protein synthesis is seen before this time (Crabtree 1989) | Discourse Facet:  Discussion_Citation | Annotator:  H, |
Topic ID: D1416_TRAIN | Citance Number: 10 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14682-14698 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14534-14699 | Citation Text:  β-actin and actin-related proteins appear to have weak ATPase activities, which contribute ∼1% of the total activity in the BAF remodeling complex (Zhao et al. 1998) | Reference Offset:  ['33689-34067'] | Reference Text:  Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro. Furthermore, the ATPase activity of β-actin was not stimulated by DNA or chromatin (data not shown). These results indicate that Latrunculin B blocks the activated ATPase activity of the BAF complex by interfering with the actions of actin on the ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 11 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  14899-14915 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  14701-14916 | Citation Text:  Results of experiments using the actin monomer sequestering product latrunculin B suggest that β-actin and BAF53 are required for stimulation of the ATPase activity of the BAF complex by chromatin (Zhao et al. 1998) | Reference Offset:  ['33898-34067'] | Reference Text:  These results indicate that Latrunculin B blocks the activated ATPase activity of the BAF complex by interfering with the actions of actin on the ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 12 | Reference Article:  Zhao,Wang.txt | Citing Article:  Ikura.txt | Citation Marker Offset:  15782-15798 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  15592-15799 | Citation Text:  We assumed that this ATPase activity in the TIP60 complex is derived mainly from TAP54α and β because β-actin and actin-related proteins themselves appear to have very weak ATPase activity (Zhao et al. 1998) | Reference Offset:  ['33689-33896', '35011-35194', '35669-35897'] | Reference Text:  Therefore, the β-actin subunit contributes about 1% of the overall ATPase activity of BAF complex in vitro. Furthermore, the ATPase activity of β-actin was not stimulated by DNA or chromatin (data not shown) ... The ATPase activity of the subcomplex was not due to the ATPase activity of actin, since actin contributes only about 1% of the total ATPase activity of the intact complex (Figure 8B) ... The ATPase activity of the BRG1, BAF53, and actin subcomplex was not stimulated by DNA (Figure 8D, lanes 3ñ6), suggesting that a DNA-binding subunit (such as BAF57) is necessary for contacting DNA and stimulating ATPase activity | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 13 | Reference Article:  Zhao,Wang.txt | Citing Article:  Jockusch.txt | Citation Marker Offset:  10055-10057 | Citation Marker:  25 | Citation Offset:  9882-10112 | Citation Text:  Similarly, there is probably only one actin molecule required in the large chromatin remodeling complexes that activate transcription in mammals after receptor stimulation [25], suggesting that here actin is in its monomeric state | Reference Offset:  ['41335-41828'] | Reference Text:  Our findings that BAF complexes are capable of chromatin remodeling in vitro (Wang et al. 1996a), contain actin and actin-related proteins, and are rapidly targeted to chromatin and the nuclear scaffold or matrix by a PIP2-dependent mechanism define a direct interface between chromatin regulation and signal transduction. While actin is a likely candidate to mediate the targeting of BAF complexes to chromatin/nuclear matrix, additional studies will be essential to demonstrate this directly | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 14 | Reference Article:  Zhao,Wang.txt | Citing Article:  Jockusch.txt | Citation Marker Offset:  4598-4600 | Citation Marker:  25 | Citation Offset:  4585-4601 | Citation Text:  Lymphocytes	[25] | Reference Offset:  ['38470-38811', '39125-39263', '20760-20985'] | Reference Text:  Quantitation using specific antibodies to actin revealed that there is about one actin molecule per BAF complex and that about 3% of the nuclear actin and about 0.03% of total cellular actin is associated with the BAF complex ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 ... A likely role for PIP2 is to control the actions of actin in the BAF complex by regulating the function of a nuclear actin-binding protein | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 15 | Reference Article:  Zhao,Wang.txt | Citing Article:  Oh.txt | Citation Marker Offset:  17549-17566 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  17300-17567 | Citation Text:  In fact, among SWI/SNF family chromatin remodelers, the hBAF (Brg1-associated factors) complex is known to be targeted to the nuclear matrix/chromatin through direct interaction with nuclear PIP2 and actin/actin-related protein (Rando et al., 2002; Zhao et al., 1998) | Reference Offset:  ['13745-13872', '20400-20617'] | Reference Text:  We conclude from these results that the BAF complex interacts with chromatin in nuclei and this interaction is enhanced by PIP2 ... These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 16 | Reference Article:  Zhao,Wang.txt | Citing Article:  Phelan.txt | Citation Marker Offset:  3123-3125 | Citation Marker:  32 | Citation Offset:  2922-3126 | Citation Text:  In addition, the Drosophila and human complexes all contain subunits that are homologs of SWI3, SNF5, SWP73, and the recently identified RSC and ySWI/SNF subunits ARP7 and ARP9 ( 16, 28, 5, 17, 20 and 32) | Reference Offset:  ['3391-3639', '38101-38379'] | Reference Text:  Furthermore, a group of proteins tightly associated with BRG1 and hBRM called BAFs (BRG or Brm associated factors) are related to subunits of the yeast SWI/SNF complex ( 37 and 38). The subunits of the mammalian complex are encoded by gene families ... Peptide sequences of the yeast homologs of BAF53 were identified from the purified yeast SWI/SNF complex by Cairns and Kornberg. Null mutations in this gene have a phenotype similar to the phenotype of mutations in the SWI/SNF genes (B. Cairns and R. Kornberg, unpublished data) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 17 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  2658-2675 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  2497-2676 | Citation Text:  The mammalian Arp, BAF53 (BRG-associated factor), and β-actin were initially found as components of the mammalian SWI/SNF-like BAF chromatin-remodeling complex (Zhao et al., 1998) | Reference Offset:  ['38470-38811'] | Reference Text:  Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 18 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  29150-29167 | Citation Marker:  Zhao et al., 1998 | Citation Offset:  28994-29417 | Citation Text:  However, the discovery of actin as a component of the mammalian BAF chromatin-remodeling complex in tight association with the SWI2/SNF2-like BRG1 protein (Zhao et al., 1998) and its presence in other chromatin-remodeling complexes has spurred renewed interest in the functions of nuclear actin. In addition, unpolymerized actin has been implicated in control of transcription by serum response factor (Posern et al., 2002) | Reference Offset:  ['28416-28698', '38470-38811'] | Reference Text:  However, the BAF57 and BAF53 signals were only detected in the nuclear matrix preparations where BRG1 was detected (Figure 7B, panels labeled NM). We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 19 | Reference Article:  Zhao,Wang.txt | Citing Article:  Shen.txt | Citation Marker Offset:  4896-4912 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  4712-4912 | Citation Text:  In addition, there is evidence suggesting that actin can modulate the ATPase activity and binding of the mammalian BAF complex to chromatin or the nuclear matrix Rando et al. 2002 and Zhao et al. 1998 | Reference Offset:  ['38470-38811'] | Reference Text:  Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1416_TRAIN | Citance Number: 20 | Reference Article:  Zhao,Wang.txt | Citing Article:  Sotiropoulos.txt | Citation Marker Offset:  35342-35358 | Citation Marker:  Zhao et al. 1998 | Citation Offset:  35065-35359 | Citation Text:  Although we think it most likely that regulation occurs at the level of transcriptional initiation, this need not necessarily be the case, and it is interesting to note that cytoskeletal actin has recently been found to be associated with the BAF chromatin remodeling complex (Zhao et al. 1998) | Reference Offset:  ['20400-20617', '28563-28698', '38470-38811'] | Reference Text:  These results definitively demonstrate that β-actin is associated with the BAF complex in vivo and is directly bound to BRG1, since DSP cross-linking is too inefficient to show interactions mediated by a third protein ... We conclude that the assembly and stable association of the complex with the nuclear matrix/chromatin requires BRG1, BAF53, and β-actin ... Our results demonstrate that in excess of 90% of SWI/SNF complexes, but not related chromatin remodeling complexes based on hISWI, have tightly associated β-actin. One role of this actin is to participate with BAF53 and BRG1 in the association of the complex with nuclear matrix/chromatin. A second role is to enhance ATPase activity of BRG1 | Discourse Facet:  Results_Citation | Annotator:  H, |

