Topic ID: D1417_TRAIN | Citance Number: 1 | Reference Article:  Bos.txt | Citing Article:  Araujo-Palomares.txt | Citation Marker Offset:  4281-4282 | Citation Marker:  3 | Citation Offset:  4013-4283 | Citation Text:  Rho guanine nucleotide exchange factors (RhoGEFs) and Rho GTPase-activating proteins (RhoGAPs) enhance nucleotide binding and hydrolysis of Rho GTPases, respectively, and are increasingly acknowledged as crucial determinants of spatio­temporal Rho signaling activity [3] | Reference Offset:  ['1398-1605', '6833-7052', '14917-15165'] | Reference Text:  The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis ... GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced ... First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water | Discourse Facet:  Discussion_Citation | Annotator:  D, |
Topic ID: D1417_TRAIN | Citance Number: 8 | Reference Article:  Bos.txt | Citing Article:  Ismail.txt | Citation Marker Offset:  7898-7914 | Citation Marker:  Bos et al., 2007 | Citation Offset:  7770-7915 | Citation Text:  If catalysis follows the general mechanism of GAPs and G proteins, GDP.AlFx should capture the complex in the transition state (Bos et al., 2007) | Reference Offset:  ['14917-15353'] | Reference Text:  First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water. In addition, an arginine, called the arginine finger, is positioned into the phosphate-binding site and stabilizes the transition state by neutralizing negative charge at the γ-phosphate | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 9 | Reference Article:  Bos.txt | Citing Article:  Meyer.txt | Citation Marker Offset:  7811-7813 | Citation Marker:  21 | Citation Offset:  7607-7931 | Citation Text:  In contrast to Ras-like small G proteins that require a guanine nucleotide exchange factor (GEF) protein to drive the nucleotide exchange and a GTPase activating protein (GAP) to stimulate hydrolysis [20,21], MnmE displays lower affinities towards nucleo­tides and a higher intrinsic K+-stimulated GTP hydrolysis [19,22– 24] | Reference Offset:  ['1398-1605', '6833-7052', '14917-15165'] | Reference Text:  The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis ... GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced ... First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 10 | Reference Article:  Bos.txt | Citing Article:  Oreb.txt | Citation Marker Offset:  18205-18207 | Citation Marker:  36 | Citation Offset:  18001-18217 | Citation Text:  From the crystallographic Toc34 homodimer structure [30], an ‘arginine finger’ was proposed to serve a GTPase-activating (GAP) function by stabilizing the transition state (for a recent review, see Ref. [36]) (Box 2) | Reference Offset:  ['14917-15353'] | Reference Text:  First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water. In addition, an arginine, called the arginine finger, is positioned into the phosphate-binding site and stabilizes the transition state by neutralizing negative charge at the γ-phosphate | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 11 | Reference Article:  Bos.txt | Citing Article:  Oreb.txt | Citation Marker Offset:  18430-18432 | Citation Marker:  36 | Citation Offset:  18219-18433 | Citation Text:  However, this observation is difficult to meld into a model since dimerization is preferentially observed in the GDP, not in the GTP, state (for example, see Ref. [29]), which is not typical for a GAP function [36] | Reference Offset:  ['1135-1605'] | Reference Text:  Small G proteins are typically between 20–25 kDa in size and cycle between an inactive GDP-bound conformation and an active GTP-bound conformation. In their active conformation G proteins interact with effector proteins, which induce downstream signaling events. The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 12 | Reference Article:  Bos.txt | Citing Article:  Oreb.txt | Citation Marker Offset:  18586-18588 | Citation Marker:  36 | Citation Offset:  18435-18590 | Citation Text:  Moreover, the stimulatory effect on GTP hydrolysis by dimerization is only twofold at pH 8.0 [24], far below that described for typical GAP reactions [36]; | Reference Offset:  ['12609-12839'] | Reference Text:  Although G proteins are also called GTPases, the actual GTP hydrolysis reaction is in fact very slow, and efficient hydrolysis requires the interaction with a GAP, which accelerates the cleavage step by several orders of magnitude | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 13 | Reference Article:  Bos.txt | Citing Article:  Sabnis.txt | Citation Marker Offset:  5251-5252 | Citation Marker:  7 | Citation Offset:  5013-5253 | Citation Text:  Cancer-associated RAS mutations, which introduce amino acid substitutions at codons 12, 13, or 61, result in oncogenic Ras proteins that accumulate in the active, GTP-bound conformation because of defective guanine nucleotide hydrolysis [7] | Reference Offset:  ['15569-15846'] | Reference Text:  For instance, mutation of glutamine 61, which frequently occurs in human tumors, abolishes GAP-induced hydrolysis. Oncogenic mutations at position 12 and 13 of Ras sterically block the proper orientation of both the arginine finger and the glutamine 61 (Scheffzek et al., 1997) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 14 | Reference Article:  Bos.txt | Citing Article:  Sanz-Moreno.txt | Citation Marker Offset:  4899-4915 | Citation Marker:  Bos et al., 2007 | Citation Offset:  4662-4916 | Citation Text:  Guanine nucleotide exchange factors (GEFs) and GTPase accelerating proteins (GAPs) are key regulators of small GTPases, with GEFs promoting activation to the GTP bound state and GAPs promoting inactivation by stimulating GTP hydrolysis (Bos et al., 2007) | Reference Offset:  ['1398-1605', '6833-7052', '14917-15165'] | Reference Text:  The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis ... GEFs catalyze the dissociation of the nucleotide from the G protein by modifying the nucleotide-binding site such that the nucleotide affinity is decreased and, thus, the nucleotide is released and subsequently replaced ... First insight into GAP-assisted GTP hydrolysis was obtained from the biochemistry and structure of the Ras-RasGAP complex (Scheffzek et al., 1997). RasGAP stabilizes the position of glutamine 61 of Ras, which in turn coordinates the attacking water | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 15 | Reference Article:  Bos.txt | Citing Article:  Zhang,Franco.txt | Citation Marker Offset:  10273-10275 | Citation Marker:  21 | Citation Offset:  10120-10276 | Citation Text:  In eukaryotic cells, small G-proteins are critically regulated by Guanine nucleotide Exchange Factors (GEFs) and GTPase Activating Proteins (GAPs) [20],[21] | Reference Offset:  ['1283-1605'] | Reference Text:  In their active conformation G proteins interact with effector proteins, which induce downstream signaling events. The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1417_TRAIN | Citance Number: 16 | Reference Article:  Bos.txt | Citing Article:  Zhang,Franco.txt | Citation Marker Offset:  30280-30282 | Citation Marker:  21 | Citation Offset:  30133-30283 | Citation Text:  Eukaryotic small G-proteins are often controlled through the balancing actions of GAPs and GEFs, each catalyzing opposite steps of the GTP switch [21] | Reference Offset:  ['1398-1605'] | Reference Text:  The GDP-GTP cycle is highly regulated by GEFs that induce the release of the bound GDP to be replaced by the more abundant GTP and by GAPs that usually provide an essential catalytic group for GTP hydrolysis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

