Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['56689-57387'] | Reference Text:  However, our studies revealed a GATA2-regulated signaling network, several components of which can be inhibited with clinically available compounds. In particular, the proteasome, and indirectly NF-κB, can be inhibited with the FDA-licensed drug bortezomib and the Rho/ROCK-signaling cascade with fasudil, which has been approved for clinical use in Japan. To examine combined inhibition of these pathways on KRAS mutant NSCLC, we first treated a subset of KRAS mutant and WT cells with the individual drugs and their combination. Notably, whereas there was a substantial effect of combined bortezomib/fasudil treatment in mutant cells, the effect was much less pronounced in WT cells ( Figure S7B) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 7 | Reference Article:  Kumar.txt | Citing Article:  Cheung.txt | Citation Marker Offset:  15530-15548 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  15343-15574 | Citation Text:  In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth (Figure 4B), whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported (Figures 4C and S4B-C) (Kumar et al., 2012; Rothenberg et al., 2008) | Reference Offset:  ['12847-13345'] | Reference Text:  To address this, we used small-interfering RNAs (siRNAs) against both KRAS and GATA2 in the NSCLC cell lines A549 (KRAS mutant), PC9 (EGFR mutant), and H322M (WT). As expected, A549 cells exhibited reduced viability with loss of either KRAS or GATA2, whereas H322M cells were unaffected ( Figure 1B). Surprisingly, PC9 cells were also dependent on GATA2 for viability. Examination of additional EGFR mutant (H3255) and KRAS mutant (H441) NSCLC cells revealed similar effects for GATA2 ( Figure S1D) | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 8 | Reference Article:  Kumar.txt | Citing Article:  Corcoran,Cheng.txt | Citation Marker Offset:  2511-2529 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  2265-2530 | Citation Text:  Investigators have identified potential therapeutic approaches for KRAS mutant cancers that are yet to be explored in the clinic, including inhibitors of TBK1, TAK1, and the GATA2 transcriptional network (Barbie et al., 2009; Singh et al., 2012; Kumar et al., 2012) | Reference Offset:  ['6830-7115', '64393-64849'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 9 | Reference Article:  Kumar.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  36177-36195 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  35977-36237 | Citation Text:  Considerable evidence indicates that cancer cells develop dependencies on normal functions of certain genes that can potentially be exploited to improve therapeutic strategies (De Raedt et al., 2011, Kumar et al., 2012, Luo et al., 2009a and Luo et al., 2009b) | Reference Offset:  ['63490-63803', '64393-64849'] | Reference Text:  Thus, dependency on the GATA2 transcriptional network might evolve as a stress-response mechanism in parallel to oncogene signaling during tumorigenesis, and that selection for the network in RAS-pathway mutant cells eventually converts into dependency on continued GATA2 function, a form of nononcogene addiction ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 10 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  11963-11981 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  11843-11982 | Citation Text:  GATA2lox/lox	Sporadic infection of lung cells with Adeno-Cre virus	GATA2 loss induces regression of established tumors	(Kumar et al., 2012) | Reference Offset:  ['52914-53336', '54273-54608'] | Reference Text:  We thus generated KrasLA2-G12D/+; Rosa26CreERT2/+; Gata2+/+,Flox/+,Flox/Flox (hereafter referred to as LG +/+, F/+, and F/F mice, respectively). In these animals, lung tumors develop spontaneously from expression of mutant Kras due to spontaneous recombination ( Johnson et al., 2001). We then induce whole-body deletion of Gata2 using the CreERT2 conditional allele expressed from the Rosa26 locus ( Hameyer et al., 2007) ... As seen in Figures 6H and 6I, we found that Gata2 loss had a striking effect, with near-complete abrogation of lung tumors in treated LG F/F mice. Longitudinal analysis of LG +/+ animals revealed a substantial increase in tumor size over time; a more modest increase in LG F/+ mice; and extensive regression in LG F/F mice ( Figure 6J) | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 11 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  28606-28624 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  28507-28625 | Citation Text:  Recently, it was shown that Gata2 fulfills such role in mutant Kras induced NSCLC (Barbacid, 2012; Kumar et al., 2012) | Reference Offset:  ['60717-60939', '63490-63803'] | Reference Text:  The GATA2 Transcriptional Network Regulates RAS-Pathway Mutant NSCLC Survival. In this report, we have shown that lung cancers with mutations in KRAS and other oncogenes on the RTK/RAS pathway depend upon GATA2 for survival ... Thus, dependency on the GATA2 transcriptional network might evolve as a stress-response mechanism in parallel to oncogene signaling during tumorigenesis, and that selection for the network in RAS-pathway mutant cells eventually converts into dependency on continued GATA2 function, a form of nononcogene addiction | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 12 | Reference Article:  Kumar.txt | Citing Article:  Morton.txt | Citation Marker Offset:  41481-41499 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  41282-41500 | Citation Text:  Here it would be interesting to combine CDK4 and FAK inhibitors to see if this could, in part, mimic MYC inhibition. A recent study by the Downward laboratory acts as an excellent paradigm of this ( Kumar et al., 2012) | Reference Offset:  ['56689-57387', '58592-59024'] | Reference Text:  However, our studies revealed a GATA2-regulated signaling network, several components of which can be inhibited with clinically available compounds. In particular, the proteasome, and indirectly NF-κB, can be inhibited with the FDA-licensed drug bortezomib and the Rho/ROCK-signaling cascade with fasudil, which has been approved for clinical use in Japan. To examine combined inhibition of these pathways on KRAS mutant NSCLC, we first treated a subset of KRAS mutant and WT cells with the individual drugs and their combination. Notably, whereas there was a substantial effect of combined bortezomib/fasudil treatment in mutant cells, the effect was much less pronounced in WT cells ( Figure S7B) ... Subsequent histopathological analysis of these animals revealed a modest decrease in tumorigenesis with bortezomib or fasudil treatment alone and a very substantial decrease in tumor growth with the combination ( Figure 7B). Quantitation of these effects revealed major reductions in tumor burden, tumor number, and average tumor size with the combination therapy relative to both control and single-drug treatments ( Figures 7C–7E) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 13 | Reference Article:  Kumar.txt | Citing Article:  Peters.txt | Citation Marker Offset:  22845-22847 | Citation Marker:  52 | Citation Offset:  22611-22924 | Citation Text:  In lung tumors, TRAF6 levels can become elevated by several mechanisms: the GATA2 transcription factor, which is essential for oncogenic K-ras-dependent lung tumor development, binds to the TRAF6 promoter and enhances its expression [52], and genomic amplifications at the TRAF6 locus have been reported, too [65] | Reference Offset:  ['24658-24838'] | Reference Text:  Validation of GATA2 occupancy by ChIP-PCR revealed that GATA2 bound TRAF6 only in RAS-pathway mutant cells, though it bound PDK1 and ZFPM2 across all lung cancer cells ( Figure 4A) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 14 | Reference Article:  Kumar.txt | Citing Article:  Roper.txt | Citation Marker Offset:  22868-22870 | Citation Marker:  32 | Citation Offset:  22654-22880 | Citation Text:  A number of studies have identified unbiased strategies to treat KRAS mutant cancers through RNA interference screens, including inhibition of TAK1, STK33, TBK1, WT1, GATA2, and BCL-XL/MEK [28], [29], [30], [31], [32] and [33] | Reference Offset:  ['64393-64849'] | Reference Text:  Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 15 | Reference Article:  Kumar.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  42569-42587 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  42252-42588 | Citation Text:  GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and whereas this transcription factor may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising ( Kumar et al., 2012) | Reference Offset:  ['48873-49658'] | Reference Text:  To determine the relevance of this network in vivo, we conditionally deleted Gata2 in an autochthonous model of Kras mutant NSCLC ( Charles et al., 2006 and Jackson et al., 2001). To do so, we generated KrasLSL-G12D; Gata2+/+,Flox/+,Flox/Flox mice (hereafter referred to as KG +/+, F/+, and F/F mice, respectively) and infected their lungs with adenovirus that expresses Cre recombinase (Ad-Cre). Eight weeks after infection, we compared the cohort histopathologically and observed a very large reduction in tumor burden in KG F/F animals compared to both KG +/+ and F/+ controls ( Figures 6A and 6B). Moreover, both KG F/+ and KG F/F mice exhibited a significant decrease in tumor number relative to KG +/+ controls, with KG F/F animals exhibiting a more striking decline ( Figure 6C) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1420_TRAIN | Citance Number: 16 | Reference Article:  Kumar.txt | Citing Article:  Workman.txt | Citation Marker Offset:  19763-19765 | Citation Marker:  50 | Citation Offset:  19555-19767 | Citation Text:  A recent study identified the importance of the GATA2 transcriptional network in RAS oncogene-driven NSCLC and suggested effective combinations targeting the proteasome together with IL-1 and Rho-signalling [50•] | Reference Offset:  ['56689-57387'] | Reference Text:  However, our studies revealed a GATA2-regulated signaling network, several components of which can be inhibited with clinically available compounds. In particular, the proteasome, and indirectly NF-κB, can be inhibited with the FDA-licensed drug bortezomib and the Rho/ROCK-signaling cascade with fasudil, which has been approved for clinical use in Japan. To examine combined inhibition of these pathways on KRAS mutant NSCLC, we first treated a subset of KRAS mutant and WT cells with the individual drugs and their combination. Notably, whereas there was a substantial effect of combined bortezomib/fasudil treatment in mutant cells, the effect was much less pronounced in WT cells ( Figure S7B) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

