Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['6151-6487', '6617-7115'] | Reference Text:  Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability. Combined gene expression and chromatin occupancy analysis reveals a broad network of pathways controlled by GATA2 in RAS-pathway mutant NSCLC cells ... Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities. Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Results_Citation | Annotator:  C, |
Topic ID: D1420_TRAIN | Citance Number: 8 | Reference Article:  Kumar.txt | Citing Article:  Corcoran,Cheng.txt | Citation Marker Offset:  2511-2529 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  2265-2530 | Citation Text:  Investigators have identified potential therapeutic approaches for KRAS mutant cancers that are yet to be explored in the clinic, including inhibitors of TBK1, TAK1, and the GATA2 transcriptional network (Barbie et al., 2009; Singh et al., 2012; Kumar et al., 2012) | Reference Offset:  ['1323-1629', '6151-6487', '6617-7115'] | Reference Text:  Although GATA2 itself is likely undruggable, combined suppression of GATA2-regulated pathways with clinically approved inhibitors caused marked tumor clearance. Discovery of the nononcogene addiction of KRAS mutant lung cancers to GATA2 presents a network of druggable pathways for therapeutic exploitation ... Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability. Combined gene expression and chromatin occupancy analysis reveals a broad network of pathways controlled by GATA2 in RAS-pathway mutant NSCLC cells ... Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities. Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 9 | Reference Article:  Kumar.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  36177-36195 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  35977-36237 | Citation Text:  Considerable evidence indicates that cancer cells develop dependencies on normal functions of certain genes that can potentially be exploited to improve therapeutic strategies (De Raedt et al., 2011, Kumar et al., 2012, Luo et al., 2009a and Luo et al., 2009b) | Reference Offset:  ['1323-1629', '6151-6487', '64393-64565'] | Reference Text:  Although GATA2 itself is likely undruggable, combined suppression of GATA2-regulated pathways with clinically approved inhibitors caused marked tumor clearance. Discovery of the nononcogene addiction of KRAS mutant lung cancers to GATA2 presents a network of druggable pathways for therapeutic exploitation ... Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability. Combined gene expression and chromatin occupancy analysis reveals a broad network of pathways controlled by GATA2 in RAS-pathway mutant NSCLC cells ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 10 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  11963-11981 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  11843-11982 | Citation Text:  GATA2lox/lox	Sporadic infection of lung cells with Adeno-Cre virus	GATA2 loss induces regression of established tumors	(Kumar et al., 2012) | Reference Offset:  ['6617-6828', '54222-54608'] | Reference Text:  Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities ... We then monitored animals by micro-CT for 1 month. As seen in Figures 6H and 6I, we found that Gata2 loss had a striking effect, with near-complete abrogation of lung tumors in treated LG F/F mice. Longitudinal analysis of LG +/+ animals revealed a substantial increase in tumor size over time; a more modest increase in LG F/+ mice; and extensive regression in LG F/F mice ( Figure 6J) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 11 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  28606-28624 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  28330-28625 | Citation Text:  This would also permit the use of inhibitors that target a single normal protein on which in particular the tumor cells depend as the result of a mutation in a defined pathway. Recently, it was shown that Gata2 fulfills such role in mutant Kras induced NSCLC (Barbacid, 2012; Kumar et al., 2012) | Reference Offset:  ['681-1040', '6617-7115', '64393-64565'] | Reference Text:  Here we show that RAS-pathway mutant NSCLC cells depend on the transcription factor GATA2. Loss of GATA2 reduced the viability of NSCLC cells with RAS-pathway mutations, whereas wild-type cells were unaffected. Integrated gene expression and genome occupancy analyses revealed GATA2 regulation of the proteasome, and IL-1-signaling, and Rho-signaling pathways ... Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities. Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 12 | Reference Article:  Kumar.txt | Citing Article:  Morton.txt | Citation Marker Offset:  41481-41499 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  41399-41653 | Citation Text:  A recent study by the Downward laboratory acts as an excellent paradigm of this ( Kumar et al., 2012). Here, looking for agents that could specifically kill KRAS mutant cells, they found that knockdown of GATA2 was synthetically lethal with KRAS mutation | Reference Offset:  ['7724-8237', '13549-13949', '16195-16576'] | Reference Text:  Short-term GATA2 knockdown led to specific decreased cell viability and increased apoptosis in KRAS mutant NSCLC cells, comparable to the effect seen with loss of KRAS itself ( Figure 1A and Figure S1A available online). Comparison of expression across the panel revealed no significant differences in GATA2 expression between mutant and WT cells (data not shown). Interestingly, the relative effect of GATA2 loss on viability correlated with the extent of GATA2 knockdown in mutant but not WT cells ( Figure S1B) ... To further validate GATA2, we designed shRNAs against GATA2. To this end, one shRNA (shGATA2.1) achieved substantial knockdown of GATA2 in A549 and PC9 cells relative to a control (shGAPDH) and a nonfunctional GATA2 shRNA (shGATA2.2) (Figure 1C). Notably, shGATA2.1-expressing A549 and PC9 cells had greatly reduced viability relative to the other shRNAs but did not affect WT H322M cells (Figure 1D) ... As seen in Figure 2A, injection of control shRNA-expressing RAS-pathway mutant NSCLC cells led to robust tumor growth. In contrast, GATA2 knockdown cells completely abrogated tumor formation, with no detectable lesions forming over 9 months. The effect of GATA2 on RAS-pathway mutant tumors was specific, as loss of GATA2 had no impact on tumor growth in WT NSCLC cells (Figure 2B) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 13 | Reference Article:  Kumar.txt | Citing Article:  Peters.txt | Citation Marker Offset:  22845-22847 | Citation Marker:  52 | Citation Offset:  22611-22924 | Citation Text:  In lung tumors, TRAF6 levels can become elevated by several mechanisms: the GATA2 transcription factor, which is essential for oncogenic K-ras-dependent lung tumor development, binds to the TRAF6 promoter and enhances its expression [52], and genomic amplifications at the TRAF6 locus have been reported, too [65] | Reference Offset:  ['24658-25068'] | Reference Text:  Validation of GATA2 occupancy by ChIP-PCR revealed that GATA2 bound TRAF6 only in RAS-pathway mutant cells, though it bound PDK1 and ZFPM2 across all lung cancer cells ( Figure 4A). Moreover, only RAS-pathway mutant cells exhibited loss of TRAF6 expression after GATA2 knockdown ( Figure 4B). Collectively, these findings indicate that GATA2 regulates expression of the IL-1 pathway in RAS-pathway mutant NSCLC | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 14 | Reference Article:  Kumar.txt | Citing Article:  Roper.txt | Citation Marker Offset:  22868-22870 | Citation Marker:  32 | Citation Offset:  22654-22880 | Citation Text:  A number of studies have identified unbiased strategies to treat KRAS mutant cancers through RNA interference screens, including inhibition of TAK1, STK33, TBK1, WT1, GATA2, and BCL-XL/MEK [28], [29], [30], [31], [32] and [33] | Reference Offset:  ['681-1040', '1323-1629', '6830-7115'] | Reference Text:  Here we show that RAS-pathway mutant NSCLC cells depend on the transcription factor GATA2. Loss of GATA2 reduced the viability of NSCLC cells with RAS-pathway mutations, whereas wild-type cells were unaffected. Integrated gene expression and genome occupancy analyses revealed GATA2 regulation of the proteasome, and IL-1-signaling, and Rho-signaling pathways ... Although GATA2 itself is likely undruggable, combined suppression of GATA2-regulated pathways with clinically approved inhibitors caused marked tumor clearance. Discovery of the nononcogene addiction of KRAS mutant lung cancers to GATA2 presents a network of druggable pathways for therapeutic exploitation ... Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 15 | Reference Article:  Kumar.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  42569-42587 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  42252-42588 | Citation Text:  GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and whereas this transcription factor may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising ( Kumar et al., 2012) | Reference Offset:  ['49270-49658', '54222-54608', '63911-64390'] | Reference Text:  Eight weeks after infection, we compared the cohort histopathologically and observed a very large reduction in tumor burden in KG F/F animals compared to both KG +/+ and F/+ controls ( Figures 6A and 6B). Moreover, both KG F/+ and KG F/F mice exhibited a significant decrease in tumor number relative to KG +/+ controls, with KG F/F animals exhibiting a more striking decline ( Figure 6C) ... We then monitored animals by micro-CT for 1 month. As seen in Figures 6H and 6I, we found that Gata2 loss had a striking effect, with near-complete abrogation of lung tumors in treated LG F/F mice. Longitudinal analysis of LG +/+ animals revealed a substantial increase in tumor size over time; a more modest increase in LG F/+ mice; and extensive regression in LG F/F mice ( Figure 6J) ... Our investigations revealed a marked attenuation of autochthonous Kras mutant NSCLC growth in response to systemic Gata2 loss; similar effects were observed with whole-body inhibition of the Myc-Max interaction in a related Kras mutant lung tumor model ( Soucek et al., 2008). However, these findings face the issue of translation into clinically relevant therapies, as DNA-binding proteins are traditionally considered undruggable by the pharmaceutical industry ( Darnell, 2002) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1420_TRAIN | Citance Number: 16 | Reference Article:  Kumar.txt | Citing Article:  Workman.txt | Citation Marker Offset:  19763-19765 | Citation Marker:  50 | Citation Offset:  19555-19767 | Citation Text:  A recent study identified the importance of the GATA2 transcriptional network in RAS oncogene-driven NSCLC and suggested effective combinations targeting the proteasome together with IL-1 and Rho-signalling [50•] | Reference Offset:  ['6151-6487', '60941-61308', '64852-65305'] | Reference Text:  Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability. Combined gene expression and chromatin occupancy analysis reveals a broad network of pathways controlled by GATA2 in RAS-pathway mutant NSCLC cells ... Through integrated analyses of gene expression and genome occupancy, we found that this dependency occurs via concurrent regulation of three pathways: the proteasome machinery; the IL-1/NF-κB signaling pathway; and the Rho-signaling cascade ( Figure 5K). These pathways exhibit extensive crosstalk, suggesting the network to be mutually reinforcing ( Figures S6CñS6E) ... Beyond this initial approach, such treatment strategies could be improved further by inhibition of IL-1 signaling with IL-1 receptor monoclonal antibodies (Dinarello, 2010). Moreover, as this approach targets a network, one could envisage a multi-tiered strategy to inhibit various points within the signaling pathways. For example, along with fasudil one could inhibit Rho signaling upstream at the ephrin receptor with dasatinib (Montero et al., 2011) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

