Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['64393-64849', '66781-66928', '67488-68012'] | Reference Text:  Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC ... A detailed description of the original RNAi screen has been submitted for publication elsewhere (M.S., M.M.-A., D.C.H., and J.D., unpublished data) ... The assay measured both cell viability and caspase activity. The top 50 hits from this screen were then tested against a cell line panel consisting of 28 cancer cell lines (14 KRAS mutant and 14 KRAS WT) from colon, lung, pancreas, ovary, and stomach tumors. Nine cell lines overlapped between that panel and the lung-only 26 cancer cell line panel reported here in Figures 1A and S1AñS1D. Using apoptosis induction as a readout, GATA2 knockdown showed the greatest selectivity for the KRAS mutant genotype after KRAS itself | Discourse Facet:  Results_Citation | Annotator:  H, |
Topic ID: D1420_TRAIN | Citance Number: 7 | Reference Article:  Kumar.txt | Citing Article:  Cheung.txt | Citation Marker Offset:  15530-15548 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  15343-15647 | Citation Text:  In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth (Figure 4B), whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported (Figures 4C and S4B-C) (Kumar et al., 2012; Rothenberg et al., 2008). Thus, in these ADC cells, GATA6 and HOPX are not lineage survival genes | Reference Offset:  ['6151-6338', '8432-8785', '60795-60939'] | Reference Text:  Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability ... Also, comparison of the effect of GATA2 depletion in the panel with other frequent mutations in NSCLC (such as TP53, STK11, and CDKN2A) revealed no significant delineations, emphasizing the specific role for mutant KRAS in GATA2 dependency ( Figure S1C). Taken together, these findings suggest that KRAS mutant NSCLC cells depend upon GATA2 for survival ... In this report, we have shown that lung cancers with mutations in KRAS and other oncogenes on the RTK/RAS pathway depend upon GATA2 for survival | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 8 | Reference Article:  Kumar.txt | Citing Article:  Corcoran,Cheng.txt | Citation Marker Offset:  2511-2529 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  2265-2530 | Citation Text:  Investigators have identified potential therapeutic approaches for KRAS mutant cancers that are yet to be explored in the clinic, including inhibitors of TBK1, TAK1, and the GATA2 transcriptional network (Barbie et al., 2009; Singh et al., 2012; Kumar et al., 2012) | Reference Offset:  ['3189-3570', '6830-7115', '64393-64709'] | Reference Text:  An initial candidate was the TANK-binding kinase 1 (TBK1), found in a short hairpin RNA (shRNA) screen of the kinome ( Barbie et al., 2009). In RAS mutant cells, RalB activates TBK1, which maintains survival through activation of the NF-κB pathway, a signaling cascade found to be necessary in a mouse model of mutant Kras-driven NSCLC ( Chien et al., 2006 and Meylan et al., 2009) ... Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively | Discourse Facet:  Implication_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 9 | Reference Article:  Kumar.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  36177-36195 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  35977-36237 | Citation Text:  Considerable evidence indicates that cancer cells develop dependencies on normal functions of certain genes that can potentially be exploited to improve therapeutic strategies (De Raedt et al., 2011, Kumar et al., 2012, Luo et al., 2009a and Luo et al., 2009b) | Reference Offset:  ['6617-7115', '64393-64709'] | Reference Text:  Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities. Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 10 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  11963-11981 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  11843-11982 | Citation Text:  GATA2lox/lox	Sporadic infection of lung cells with Adeno-Cre virus	GATA2 loss induces regression of established tumors	(Kumar et al., 2012) | Reference Offset:  ['49053-49658', '49660-50166'] | Reference Text:  To do so, we generated KrasLSL-G12D; Gata2+/+,Flox/+,Flox/Flox mice (hereafter referred to as KG +/+, F/+, and F/F mice, respectively) and infected their lungs with adenovirus that expresses Cre recombinase (Ad-Cre). Eight weeks after infection, we compared the cohort histopathologically and observed a very large reduction in tumor burden in KG F/F animals compared to both KG +/+ and F/+ controls ( Figures 6A and 6B). Moreover, both KG F/+ and KG F/F mice exhibited a significant decrease in tumor number relative to KG +/+ controls, with KG F/F animals exhibiting a more striking decline ( Figure 6C) ... In contrast, the average sizes of the tumors that did arise were comparable among KG +/+, F/+, and F/F mice ( Figure 6D). To characterize the tumors in KG F/F mice, we prepared DNA from these lesions and analyzed recombination. Intriguingly, tumors from KG F/F mice retained an unrecombined floxed Gata2 allele, whereas the Kras allele was completely recombined in the same lesions ( Figure 6E). Taken together, these results indicate that Gata2 is requisite for oncogenic Kras-driven lung tumor initiation | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 11 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  28606-28624 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  28507-28625 | Citation Text:  Recently, it was shown that Gata2 fulfills such role in mutant Kras induced NSCLC (Barbacid, 2012; Kumar et al., 2012) | Reference Offset:  ['6151-6338', '6830-7115', '60795-60939'] | Reference Text:  Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC. Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability ... Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... In this report, we have shown that lung cancers with mutations in KRAS and other oncogenes on the RTK/RAS pathway depend upon GATA2 for survival | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 12 | Reference Article:  Kumar.txt | Citing Article:  Morton.txt | Citation Marker Offset:  41481-41499 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  41282-41500 | Citation Text:  Here it would be interesting to combine CDK4 and FAK inhibitors to see if this could, in part, mimic MYC inhibition. A recent study by the Downward laboratory acts as an excellent paradigm of this ( Kumar et al., 2012) | Reference Offset:  ['6830-7115', '64393-64709', '65307-65671'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively ... Finally, as GATA2 functions with STAT5 (Hennighausen and Robinson, 2008), a transcription factor regulated by phosphorylation, it would be intriguing to determine its regulatory kinase or kinases, as these factors might serve as therapeutic targets. We anticipate that this report will extend the basis for combinatorial design of targeted therapies in lung cancer | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 13 | Reference Article:  Kumar.txt | Citing Article:  Peters.txt | Citation Marker Offset:  22845-22847 | Citation Marker:  52 | Citation Offset:  22611-22924 | Citation Text:  In lung tumors, TRAF6 levels can become elevated by several mechanisms: the GATA2 transcription factor, which is essential for oncogenic K-ras-dependent lung tumor development, binds to the TRAF6 promoter and enhances its expression [52], and genomic amplifications at the TRAF6 locus have been reported, too [65] | Reference Offset:  ['24658-25068', '28683-28903'] | Reference Text:  Validation of GATA2 occupancy by ChIP-PCR revealed that GATA2 bound TRAF6 only in RAS-pathway mutant cells, though it bound PDK1 and ZFPM2 across all lung cancer cells ( Figure 4A). Moreover, only RAS-pathway mutant cells exhibited loss of TRAF6 expression after GATA2 knockdown ( Figure 4B). Collectively, these findings indicate that GATA2 regulates expression of the IL-1 pathway in RAS-pathway mutant NSCLC ... To determine a functional role for the IL-1 pathway in GATA2-mediated viability, we expressed TRAF6 in RAS-pathway mutant lung cancer cells, as TRAF6 overexpression exogenously activates IL-1 signaling (Cao et al., 1996) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 14 | Reference Article:  Kumar.txt | Citing Article:  Roper.txt | Citation Marker Offset:  22868-22870 | Citation Marker:  32 | Citation Offset:  22575-22880 | Citation Text:  Therapeutic options for cancers with activating mutations in KRAS are limited. A number of studies have identified unbiased strategies to treat KRAS mutant cancers through RNA interference screens, including inhibition of TAK1, STK33, TBK1, WT1, GATA2, and BCL-XL/MEK [28], [29], [30], [31], [32] and [33] | Reference Offset:  ['6617-7115', '12847-13146', '13549-14017'] | Reference Text:  Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities. Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... To address this, we used small-interfering RNAs (siRNAs) against both KRAS and GATA2 in the NSCLC cell lines A549 (KRAS mutant), PC9 (EGFR mutant), and H322M (WT). As expected, A549 cells exhibited reduced viability with loss of either KRAS or GATA2, whereas H322M cells were unaffected ( Figure 1B) ... To further validate GATA2, we designed shRNAs against GATA2. To this end, one shRNA (shGATA2.1) achieved substantial knockdown of GATA2 in A549 and PC9 cells relative to a control (shGAPDH) and a nonfunctional GATA2 shRNA (shGATA2.2) (Figure 1C). Notably, shGATA2.1-expressing A549 and PC9 cells had greatly reduced viability relative to the other shRNAs but did not affect WT H322M cells (Figure 1D). Hereafter, shGATA2.1 is referred to as ìshGî and shGAPDH as ìshC.î | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 15 | Reference Article:  Kumar.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  42569-42587 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  42252-42588 | Citation Text:  GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and whereas this transcription factor may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising ( Kumar et al., 2012) | Reference Offset:  ['63911-64390', '64567-64849'] | Reference Text:  Our investigations revealed a marked attenuation of autochthonous Kras mutant NSCLC growth in response to systemic Gata2 loss; similar effects were observed with whole-body inhibition of the Myc-Max interaction in a related Kras mutant lung tumor model ( Soucek et al., 2008). However, these findings face the issue of translation into clinically relevant therapies, as DNA-binding proteins are traditionally considered undruggable by the pharmaceutical industry ( Darnell, 2002) ... Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1420_TRAIN | Citance Number: 16 | Reference Article:  Kumar.txt | Citing Article:  Workman.txt | Citation Marker Offset:  19763-19765 | Citation Marker:  50 | Citation Offset:  19555-19767 | Citation Text:  A recent study identified the importance of the GATA2 transcriptional network in RAS oncogene-driven NSCLC and suggested effective combinations targeting the proteasome together with IL-1 and Rho-signalling [50ï] | Reference Offset:  ['63911-64390', '64393-64849'] | Reference Text:  Our investigations revealed a marked attenuation of autochthonous Kras mutant NSCLC growth in response to systemic Gata2 loss; similar effects were observed with whole-body inhibition of the Myc-Max interaction in a related Kras mutant lung tumor model ( Soucek et al., 2008). However, these findings face the issue of translation into clinically relevant therapies, as DNA-binding proteins are traditionally considered undruggable by the pharmaceutical industry ( Darnell, 2002) ... Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting. Consequently, we combined inhibition of the proteasome and Rho/ROCK signaling with the clinical compounds bortezomib and fasudil, respectively. Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  H, |

