Topic ID: D1420_TRAIN | Citance Number: 1 | Reference Article:  Kumar.txt | Citing Article:  Barbacid.txt | Citation Marker Offset:  4694-4712 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  4641-4960 | Citation Text:  In a recent issue of Cell, the Downward laboratory ( Kumar et al., 2012) went all the way from identifying GATA2 as a novel synthetic lethal gene to validating it using Kras-driven GEM models and, finally, to demonstrating its therapeutic potential by using surrogate drugs already approved for clinical use ( Figure 1) | Reference Offset:  ['6257-6338', '6617-6828', '6830-7115'] | Reference Text:  Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability ... Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities ... Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 7 | Reference Article:  Kumar.txt | Citing Article:  Cheung.txt | Citation Marker Offset:  15530-15548 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  15343-15574 | Citation Text:  In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth (Figure 4B), whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported (Figures 4C and S4B-C) (Kumar et al., 2012; Rothenberg et al., 2008) | Reference Offset:  ['6257-6338'] | Reference Text:  Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 8 | Reference Article:  Kumar.txt | Citing Article:  Corcoran,Cheng.txt | Citation Marker Offset:  2511-2529 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  2265-2530 | Citation Text:  Investigators have identified potential therapeutic approaches for KRAS mutant cancers that are yet to be explored in the clinic, including inhibitors of TBK1, TAK1, and the GATA2 transcriptional network (Barbie et al., 2009; Singh et al., 2012; Kumar et al., 2012) | Reference Offset:  ['6830-7115'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 9 | Reference Article:  Kumar.txt | Citing Article:  Grabocka.txt | Citation Marker Offset:  36177-36195 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  35977-36237 | Citation Text:  Considerable evidence indicates that cancer cells develop dependencies on normal functions of certain genes that can potentially be exploited to improve therapeutic strategies (De Raedt et al., 2011, Kumar et al., 2012, Luo et al., 2009a and Luo et al., 2009b) | Reference Offset:  ['64393-64565'] | Reference Text:  Through integrated analyses of gene expression and genome occupancy, we defined a GATA2 network of signaling pathways that present discrete avenues of therapeutic targeting | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 10 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  11963-11981 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  11910-11982 | Citation Text:  GATA2 loss induces regression of established tumors	(Kumar et al., 2012) | Reference Offset:  ['6617-6828'] | Reference Text:  Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 11 | Reference Article:  Kumar.txt | Citing Article:  Kwon.txt | Citation Marker Offset:  28606-28624 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  28507-28625 | Citation Text:  Recently, it was shown that Gata2 fulfills such role in mutant Kras induced NSCLC (Barbacid, 2012; Kumar et al., 2012) | Reference Offset:  ['6257-6338'] | Reference Text:  Both in vitro and in vivo, loss of GATA2 reduces mutant NSCLC cell line viability | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 12 | Reference Article:  Kumar.txt | Citing Article:  Morton.txt | Citation Marker Offset:  41481-41499 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  41399-41500 | Citation Text:  A recent study by the Downward laboratory acts as an excellent paradigm of this ( Kumar et al., 2012) | Reference Offset:  ['6830-7115'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 13 | Reference Article:  Kumar.txt | Citing Article:  Peters.txt | Citation Marker Offset:  22845-22847 | Citation Marker:  52 | Citation Offset:  22611-22924 | Citation Text:  In lung tumors, TRAF6 levels can become elevated by several mechanisms: the GATA2 transcription factor, which is essential for oncogenic K-ras-dependent lung tumor development, binds to the TRAF6 promoter and enhances its expression [52], and genomic amplifications at the TRAF6 locus have been reported, too [65] | Reference Offset:  ['6151-6255', '24408-24656'] | Reference Text:  Here we describe the transcription factor GATA2 as required for the survival of RAS-pathway mutant NSCLC ... The differential expression was coupled to GATA2 genome occupancy, as chromatin immunoprecipitation coupled to next-generation sequencing (ChIP-seq) of GATA2 (to be discussed below) revealed enrichment of IL-1 pathway genes like TRAF6 ( Figure S3B) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 14 | Reference Article:  Kumar.txt | Citing Article:  Roper.txt | Citation Marker Offset:  22868-22870 | Citation Marker:  32 | Citation Offset:  22654-22880 | Citation Text:  A number of studies have identified unbiased strategies to treat KRAS mutant cancers through RNA interference screens, including inhibition of TAK1, STK33, TBK1, WT1, GATA2, and BCL-XL/MEK [28], [29], [30], [31], [32] and [33] | Reference Offset:  ['6830-7115'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 15 | Reference Article:  Kumar.txt | Citing Article:  Stephen.txt | Citation Marker Offset:  42569-42587 | Citation Marker:  Kumar et al., 2012 | Citation Offset:  42252-42588 | Citation Text:  GATA2 is also of considerable interest; genetic ablation leads to tumor regression in mouse models of adenocarcinoma of the lung, and whereas this transcription factor may appear to be the least druggable of targets, its role in regulating the proteasome suggested therapeutic approaches that appear very promising ( Kumar et al., 2012) | Reference Offset:  ['6617-6828', '6830-7115', '64711-64849'] | Reference Text:  Furthermore, Gata2 is required for Kras mutant tumorigenesis in an autochthonous mouse model, and whole-organism loss of Gata2 induces regression of established Kras mutant lung tumors without drastic toxicities ... Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Considering the dramatic effects observed with this regimen, we believe such a strategy may benefit patients with RAS-pathway mutant NSCLC | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1420_TRAIN | Citance Number: 16 | Reference Article:  Kumar.txt | Citing Article:  Workman.txt | Citation Marker Offset:  19763-19765 | Citation Marker:  50 | Citation Offset:  19555-19767 | Citation Text:  A recent study identified the importance of the GATA2 transcriptional network in RAS oncogene-driven NSCLC and suggested effective combinations targeting the proteasome together with IL-1 and Rho-signalling [50•] | Reference Offset:  ['6830-7115', '57220-57387', '57710-57830'] | Reference Text:  Finally, combined inhibition of GATA2-regulated pathways with clinically available inhibitors recapitulates the effect of GATA2 loss, causing a robust suppression of established Kras mutant NSCLC and providing an immediately applicable therapeutic strategy for RAS-pathway mutant NSCLC ... Notably, whereas there was a substantial effect of combined bortezomib/fasudil treatment in mutant cells, the effect was much less pronounced in WT cells ( Figure S7B) ... Collectively, these results provide a rationale for combining proteasome and Rho-pathway inhibition in Kras mutant NSCLC | Discourse Facet:  Results_Citation | Annotator:  G, |

