Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['5063-5204', '5845-6032'] | Reference Text:  In this study, we identify as a new C/EBPα target the miR-223 gene, which undergoes a specific activation during granulocytic differentiation ... Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation | Discourse Facet:  Implication_Citation | Annotator:  G, |
Topic ID: D1411_TRAIN | Citance Number: 10 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  6944-6961 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6848-6962 | Citation Text:  This evolutionarily conserved promoter is distinct from the previously characterized promoter ( Fazi et al., 2005) | Reference Offset:  ['5659-5843', '18907-19100', '21631-21801'] | Reference Text:  Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα ... These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA ... In these experiments, we preferred utilizing a construct expressing miR-223 under a heterologous and constitutive promoter in order to have a constant level of expression | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 11 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  7244-7261 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6964-7262 | Citation Text:  Importantly, our reassessment revealed that this conserved promoter is probably active in the induction of miR-223 during All-trans retinoic acid (ATRA)-induced differentiation of the APL cell line, NB4 cells, which is the main experimental system adopted in the previous study ( Fazi et al., 2005) | Reference Offset:  ['18907-19100'] | Reference Text:  These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 12 | Reference Article:  Fazi.txt | Citing Article:  Heiser.txt | Citation Marker Offset:  2326-2327 | Citation Marker:  1 | Citation Offset:  2225-2418 | Citation Text:  In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice [1], [2], while the clustered miRs 144 and 451 are important regulators of erythropoiesis [3] | Reference Offset:  ['31203-31303', '31305-31475'] | Reference Text:  In this study, we have identified in miR-223 an important modulator of human myeloid differentiation ... This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 13 | Reference Article:  Fazi.txt | Citing Article:  Lee.txt | Citation Marker Offset:  6084-6086 | Citation Marker:  49 | Citation Offset:  5966-6087 | Citation Text:  Specific sequence elements upstream of miR-1, miR-223, and miR-17 are also known to interact with specific TFs [13,48,49] | Reference Offset:  ['28633-28876'] | Reference Text:  In agreement with ChIP analysis, these data indicated that both transcriptional factors function as miR-223 activators and that, in particular, C/EBPα is required for miR-223 expression following RA treatment, while NFI-A acts before induction | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 14 | Reference Article:  Fazi.txt | Citing Article:  Li,Greeley.txt | Citation Marker Offset:  3416-3425 | Citation Marker:  [15]–[17] | Citation Offset:  3300-3425 | Citation Text:  By contrast, miR-223 is a negative regulator that is required to sustain granulocyte progenitors and granulopoiesis [15]ñ[17] | Reference Offset:  ['5845-6032', '6034-6162'] | Reference Text:  Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation ... Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 15 | Reference Article:  Fazi.txt | Citing Article:  Lu,Katsaros.txt | Citation Marker Offset:  14787-14793 | Citation Marker:  14– 16 | Citation Offset:  14600-14794 | Citation Text:  A tissue sample normally contains several types of cell, and each cell type may regulate let-7a expression with a distinct mechanism in which DNA methylation may or may not be involved ( 14ñ 16) | Reference Offset:  ['2115-2276', '2278-2470'] | Reference Text:  While some miRNAs show ubiquitous expression, others are limited to certain stages in development or to certain tissues and cell types (Pasquinelli et al., 2005) ... The study of tissue-specific miRNAs will therefore provide important clues for identifying new sets of genes and regulatory circuitries involved in the control of cell-specific differentiation | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 16 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  2442-2443 | Citation Marker:  5 | Citation Offset:  2370-2444 | Citation Text:  MiR-223 seems to be a target molecule of TFs regulating granulopoiesis [5] | Reference Offset:  ['5845-6032', '6034-6162'] | Reference Text:  Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation ... Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 17 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  3003-3004 | Citation Marker:  5 | Citation Offset:  2817-3227 | Citation Text:  To clarify the roles of miRNAs in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be relevant to hematopoiesis [4], [5], [6], [8] and [9], and the expression levels were sequentially examined during the in vitro differentiation of purified human erythroid progenitors using quantitative real-time polymerase chain reaction (qRT-PCR) analysis | Reference Offset:  ['6715-6926'] | Reference Text:  miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34α fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 18 | Reference Article:  Fazi.txt | Citing Article:  Mizuno.txt | Citation Marker Offset:  2084-2085 | Citation Marker:  4 | Citation Offset:  1893-2086 | Citation Text:  miR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα) [4] | Reference Offset:  ['5063-5204', '5206-5544'] | Reference Text:  In this study, we identify as a new C/EBPα target the miR-223 gene, which undergoes a specific activation during granulocytic differentiation ... Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 19 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  28040-28057 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  27884-28127 | Citation Text:  Feedback loops in which a miRNA-regulated transcription factor regulates the transcription of its cognate miRNA have been described in a number of animals (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['5063-5204', '5206-5544'] | Reference Text:  In this study, we identify as a new C/EBPα target the miR-223 gene, which undergoes a specific activation during granulocytic differentiation ... Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1411_TRAIN | Citance Number: 20 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  38594-38611 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  38442-38681 | Citation Text:  There is growing evidence from animal systems that miRNA-regulated transcription factors frequently regulate the transcription of their cognate miRNAs (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['32252-32415', '37282-37498'] | Reference Text:  Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7) ... It is also interesting to note that the fine tuning of miR-223 expression is part of an autoregulatory loop in which translational repression of the miRNA target allows the establishment of miRNA sustained expression | Discourse Facet:  Implication_Citation | Annotator:  G, |

