Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['10127-10252', '31203-31475', '33114-33637'] | Reference Text:  These findings indicated the specificity of miR-223 upregulation in RA-induced granulocytic differentiation of leukemic cells ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... A Model Summarizing the Interplay among miR-223, NFI-A, and C/EBPα in RA-Induced Granulocytic Differentiation. In undifferentiated NB4 cells (left panel), NFI-A binds the miR-223 promoter, keeping levels of miR-223 expression and consequently miR-223-mediated translational repression low. Upon RA treatment (right panel), C/EBPα replaces NFI-A on the miR-223 promoter and boosts miR-223 expression. This results in an increase of miR-223-mediated translational repression of the NFI-A mRNA and decrease of the NFI-A protein | Discourse Facet:  Results_Citation | Annotator:  I, |
Topic ID: D1411_TRAIN | Citance Number: 7 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  46807-46825 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  46666-46825 | Citation Text:  Our study thus proposes an evolutionarily conserved mechanism for miR-223 expression, and we propose an alternative to the previous model of Fazi et al. (2005) | Reference Offset:  ['33114-33223'] | Reference Text:  A Model Summarizing the Interplay among miR-223, NFI-A, and C/EBPα in RA-Induced Granulocytic Differentiation | Discourse Facet:  Method_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 8 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5234-5251 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  4992-5252 | Citation Text:  Furthermore, a very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique ìminicircuitryî comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα; Fazi et al., 2005) | Reference Offset:  ['622-782', '32252-32415', '36313-36466'] | Reference Text:  Here we show that human granulocytic differentiation is controlled by a regulatory circuitry involving miR-223 and two transcriptional factors, NFI-A and C/EBPα ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7) ... In cascade, miR-223 acts by repressing NFI-A, thus subtracting it from the competition with C/EBPα and maintaining sustained levels of miR-223 expression | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 9 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5414-5431 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  5254-5516 | Citation Text:  As shown previously, miR-223 is highly conserved, and its myeloid-specific expression is also well characterized in both human and mouse (Chen et al., 2004 and Fazi et al., 2005), suggesting that the regulatory system is expected to be phylogenetically conserved | Reference Offset:  ['3048-3213', '6715-7565', '31203-31475'] | Reference Text:  Interestingly, ectopic expression of miR-181 in mouse hematopoietic precursor cells was shown to lead to an increased fraction of B lineage cells (Chen et al., 2004) ... miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34- fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells. It should be considered that about 4% of the BM nucleated cell population is constituted by CD34+ stem/progenitor cells and lineage-committed precursor cells (Barnett et al., 1999). The majority of the CD34- cells are represented by myeloid cells (60%ñ75% of total nucleated cells) at different stages of neutrophilic differentiation, with a ratio of 3:1 to erythroid cells. This evidence, together with the detection of miR-223 at high levels in mononucleated cells from peripheral blood (Figure 1A, lane MNC) consisting of 50%ñ70% of mature granulocytes, indicated an association of miR-223 expression with this differentiation lineage ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 10 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  6944-6961 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6646-6962 | Citation Text:  Therefore, the conserved proximal cis-acting regulatory element of pri-miR-223 shows general myeloid promoter characteristics, consistent with preferential expression of miR-223 in the myeloid lineage. This evolutionarily conserved promoter is distinct from the previously characterized promoter ( Fazi et al., 2005) | Reference Offset:  ['5659-5843', '18907-19100', '21631-21801'] | Reference Text:  Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα ... These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA ... In these experiments, we preferred utilizing a construct expressing miR-223 under a heterologous and constitutive promoter in order to have a constant level of expression | Discourse Facet:  Implication_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 11 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  7244-7261 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6964-7262 | Citation Text:  Importantly, our reassessment revealed that this conserved promoter is probably active in the induction of miR-223 during All-trans retinoic acid (ATRA)-induced differentiation of the APL cell line, NB4 cells, which is the main experimental system adopted in the previous study ( Fazi et al., 2005) | Reference Offset:  ['9537-9641', '11431-11674'] | Reference Text:  In addition, the three miRNA species were all detectable in the APL cell line NB4 (Lanotte et al., 1991) ... To assess the hematopoietic lineage specificity of miR-223 induction, we studied whether miR-223 could be activated in HL60 and NB4 cells in response to vitamin D3, which is known to induce APL cell differentiation toward the monocytic lineage | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 12 | Reference Article:  Fazi.txt | Citing Article:  Heiser.txt | Citation Marker Offset:  2326-2327 | Citation Marker:  1 | Citation Offset:  2225-2333 | Citation Text:  In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice [1], [2] | Reference Offset:  ['10127-10252', '31203-31475', '33114-33637'] | Reference Text:  These findings indicated the specificity of miR-223 upregulation in RA-induced granulocytic differentiation of leukemic cells ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... A Model Summarizing the Interplay among miR-223, NFI-A, and C/EBPα in RA-Induced Granulocytic Differentiation . In undifferentiated NB4 cells (left panel), NFI-A binds the miR-223 promoter, keeping levels of miR-223 expression and consequently miR-223-mediated translational repression low. Upon RA treatment (right panel), C/EBPα replaces NFI-A on the miR-223 promoter and boosts miR-223 expression. This results in an increase of miR-223-mediated translational repression of the NFI-A mRNA and decrease of the NFI-A protein | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 13 | Reference Article:  Fazi.txt | Citing Article:  Lee.txt | Citation Marker Offset:  6084-6086 | Citation Marker:  49 | Citation Offset:  5966-6087 | Citation Text:  Specific sequence elements upstream of miR-1, miR-223, and miR-17 are also known to interact with specific TFs [13,48,49] | Reference Offset:  ['5206-5544', '12198-12468', '21042-21273'] | Reference Text:  Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) ... By scanning the miR-223 promoter with the TransFac software package (http://www.gene-regulation.com/pub/programs.html), two putative C/EBPα binding sites were identified upstream of the region encoding the pre-miR-223 sequence (see schematic representation in Figure 2A) ... In order to validate the NFI-A mRNA as a possible miR-223 target, we set up an assay in which the 3'UTR of the NFI-A gene, including the putative miRNA target site, was inserted downstream of a luciferase ORF (3'NFI-Awt, Figure 4C) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 14 | Reference Article:  Fazi.txt | Citing Article:  Li,Greeley.txt | Citation Marker Offset:  3416-3425 | Citation Marker:  [15]–[17] | Citation Offset:  3300-3425 | Citation Text:  By contrast, miR-223 is a negative regulator that is required to sustain granulocyte progenitors and granulopoiesis [15]–[17] | Reference Offset:  ['5845-6032', '21910-22128', '36313-36466'] | Reference Text:  Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation ... A specific negative effect on luciferase activity was observed in the presence of miR-223 on the wild-type substrate, while no reduction in luciferase activity was obtained when the target site was mutated ( Figure 4E) ... In cascade, miR-223 acts by repressing NFI-A, thus subtracting it from the competition with C/EBPα and maintaining sustained levels of miR-223 expression | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 15 | Reference Article:  Fazi.txt | Citing Article:  Lu,Katsaros.txt | Citation Marker Offset:  14787-14793 | Citation Marker:  14– 16 | Citation Offset:  14600-14794 | Citation Text:  A tissue sample normally contains several types of cell, and each cell type may regulate let-7a expression with a distinct mechanism in which DNA methylation may or may not be involved ( 14– 16) | Reference Offset:  ['3749-4078', '13000-13173', '17047-17246'] | Reference Text:  At physiological levels of retinoids, the PML/RARα fusion protein causes the block of differentiation and neoplastic transformation of APL blasts by disrupting the function of PML and repressing transcription of genes regulated by RARα, through an aberrant recruitment of histone deacetylases and DNA-methyltransferase activities ... Note that the levels of the p30 truncated isoform of C/EBPα (Pabst et al., 2001) known to inhibit DNA binding and transactivation activity of wild-type C/EBPα were unchanged ... DNA from the immunoprecipitates was then amplified by PCR using primers (Oligos#1) located in the promoter region close to the putative C/EBPα binding sites (see schematic representation in Figure 3) | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 16 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  2442-2443 | Citation Marker:  5 | Citation Offset:  2370-2444 | Citation Text:  MiR-223 seems to be a target molecule of TFs regulating granulopoiesis [5] | Reference Offset:  ['5206-5544', '19151-19380', '22283-22340'] | Reference Text:  Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) ... Among the hundreds of predicted regulatory targets of miR-223 (Lewis et al., 2005 and Krek et al., 2005), we noticed transcription factor NFI-A, a protein known to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) ... These results indicated that NFI-A is a target of miR-223 | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 17 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  3003-3004 | Citation Marker:  5 | Citation Offset:  2817-3227 | Citation Text:  To clarify the roles of miRNAs in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be relevant to hematopoiesis [4], [5], [6], [8] and [9], and the expression levels were sequentially examined during the in vitro differentiation of purified human erythroid progenitors using quantitative real-time polymerase chain reaction (qRT-PCR) analysis | Reference Offset:  ['2781-3046', '6224-6488', '6715-6926'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow ... Probes for miR-223, miR-181a, and miR-142-5, the human counterparts of the murine miR-223, miR-181, and miR-142s species (www.sanger.ac.uk/Software/Rfam/mirna/index.shtml), have been utilized to study the hematopoietic lineage specificity of the corresponding RNAs ... miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34- fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 18 | Reference Article:  Fazi.txt | Citing Article:  Mizuno.txt | Citation Marker Offset:  2084-2085 | Citation Marker:  4 | Citation Offset:  1893-2086 | Citation Text:  miR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα) [4] | Reference Offset:  ['20463-20589', '34388-34542', '35243-35458'] | Reference Text:  These results correlated the RA activation of the miR-223 promoter with the physical α C/EBPα factor ... Due to the ability to bind to half-sites, the NFI family could somehow compete with the C/EBP factors in binding the CCAAT element (Garlatti et al., 1993) ... These findings supported the hypothesis of a competition between the two proteins in the regulation of the miRNA promoter: NFI-A produces low levels of miR-223, while C/EBPα is the differentiation-specific activator | Discourse Facet:  Results_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 19 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  28040-28057 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  27884-28127 | Citation Text:  Feedback loops in which a miRNA-regulated transcription factor regulates the transcription of its cognate miRNA have been described in a number of animals (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['1005-1152', '32252-32415', '37282-37498'] | Reference Text:  The competition by C/EBPα and the granulocytic differentiation are favored by a negative-feedback loop in which miR-223 represses NFI-A translation ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7) ... It is also interesting to note that the fine tuning of miR-223 expression is part of an autoregulatory loop in which translational repression of the miRNA target allows the establishment of miRNA sustained expression | Discourse Facet:  Discussion_Citation | Annotator:  I, |

Topic ID: D1411_TRAIN | Citance Number: 20 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  38594-38611 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  38442-38681 | Citation Text:  There is growing evidence from animal systems that miRNA-regulated transcription factors frequently regulate the transcription of their cognate miRNAs (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['32417-33077', '36468-36594', '36990-37119'] | Reference Text:  C/EBPα was shown to interact with the miR-223 promoter region required for RA responsiveness, and its binding correlated perfectly in time with the start of miRNA induction. A variety of studies in different experimental systems have provided compelling evidence indicating a very important role of C/EBPα in both growth arrest and terminal differentiation, in particular of granulocytes (Nerlov et al., 1998, Radomska et al., 1998, Wang et al., 1999 and Khanna-Gupta et al., 2001). Although C/EBPα was known to induce granulopoiesis while suppressing monocyte differentiation, it was unclear how C/EBPα regulated this cell fate choice at the mechanistic level ... Besides their effect on miR-223, the knockdown of both transcriptional factors had interesting consequences on differentiation ... On the other hand, NFI-A has been implicated in replication as well as in controlling changes in cell growth (Gronostajski, 2000) | Discourse Facet:  Discussion_Citation | Annotator:  I, |

