Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['5845-6162', '31203-31475', '37122-37498'] | Reference Text:  Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... The regulatory circuitry described here provides another example of how gene reprogramming during differentiation relies on fine modulation of gene expression. It is also interesting to note that the fine tuning of miR-223 expression is part of an autoregulatory loop in which translational repression of the miRNA target allows the establishment of miRNA sustained expression | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 7 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  46807-46825 | Citation Marker:  Fazi et al. (2005) | Citation Offset:  46666-46825 | Citation Text:  Our study thus proposes an evolutionarily conserved mechanism for miR-223 expression, and we propose an alternative to the previous model of Fazi et al. (2005) | Reference Offset:  ['19151-19589', '34545-35003'] | Reference Text:  Among the hundreds of predicted regulatory targets of miR-223 (Lewis et al., 2005 and Krek et al., 2005), we noticed transcription factor NFI-A, a protein known to bind sequences related to the ones of C/EBPα (Gronostajski, 2000). Notably, a search in the miR-223 promoter revealed the presence of a NFI-A site (Meisterernst et al., 1988 and Garlatti et al., 1993) overlapping one of the two identified C/EBPα binding sites (see Figure 3) ... In line with this hypothesis, our experiments indicated a very interesting functional interrelationship between NFI-A and C/EBPα. One of the two C/EBPα binding elements in the miR-223 promoter overlaps with a NFI-A binding site (Meisterernst et al., 1988, Bachurski et al., 1997 and Gronostajski, 2000). Indeed, NFI-A was shown to interact with this sequence in vivo; nevertheless, its binding was released upon RA treatment and substituted by that of C/EBPα | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 8 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5234-5251 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  4992-5252 | Citation Text:  Furthermore, a very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique ìminicircuitryî comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα; Fazi et al., 2005) | Reference Offset:  ['622-1152', '37122-37498'] | Reference Text:  Here we show that human granulocytic differentiation is controlled by a regulatory circuitry involving miR-223 and two transcriptional factors, NFI-A and C/EBPα. The two factors compete for binding to the miR-223 promoter: NFI-A maintains miR-223 at low levels, whereas its replacement by C/EBPα, following retinoic acid (RA)-induced differentiation, upregulates miR-223 expression. The competition by C/EBPα and the granulocytic differentiation are favored by a negative-feedback loop in which miR-223 represses NFI-A translation ... The regulatory circuitry described here provides another example of how gene reprogramming during differentiation relies on fine modulation of gene expression. It is also interesting to note that the fine tuning of miR-223 expression is part of an autoregulatory loop in which translational repression of the miRNA target allows the establishment of miRNA sustained expression | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 9 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5414-5431 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  5254-5516 | Citation Text:  As shown previously, miR-223 is highly conserved, and its myeloid-specific expression is also well characterized in both human and mouse (Chen et al., 2004 and Fazi et al., 2005), suggesting that the regulatory system is expected to be phylogenetically conserved | Reference Offset:  ['2781-3213', '19151-19589', '34545-35003'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow. Interestingly, ectopic expression of miR-181 in mouse hematopoietic precursor cells was shown to lead to an increased fraction of B lineage cells (Chen et al., 2004) ... Among the hundreds of predicted regulatory targets of miR-223 (Lewis et al., 2005 and Krek et al., 2005), we noticed transcription factor NFI-A, a protein known to bind sequences related to the ones of C/EBPα (Gronostajski, 2000). Notably, a search in the miR-223 promoter revealed the presence of a NFI-A site (Meisterernst et al., 1988 and Garlatti et al., 1993) overlapping one of the two identified C/EBPα binding sites (see Figure 3) ... In line with this hypothesis, our experiments indicated a very interesting functional interrelationship between NFI-A and C/EBPα. One of the two C/EBPα binding elements in the miR-223 promoter overlaps with a NFI-A binding site (Meisterernst et al., 1988, Bachurski et al., 1997 and Gronostajski, 2000). Indeed, NFI-A was shown to interact with this sequence in vivo; nevertheless, its binding was released upon RA treatment and substituted by that of C/EBPα | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 10 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  6944-6961 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6646-6962 | Citation Text:  Therefore, the conserved proximal cis-acting regulatory element of pri-miR-223 shows general myeloid promoter characteristics, consistent with preferential expression of miR-223 in the myeloid lineage. This evolutionarily conserved promoter is distinct from the previously characterized promoter ( Fazi et al., 2005) | Reference Offset:  ['7110-7565', '31203-31475'] | Reference Text:  The majority of the CD34- cells are represented by myeloid cells (60%ñ75% of total nucleated cells) at different stages of neutrophilic differentiation, with a ratio of 3:1 to erythroid cells. This evidence, together with the detection of miR-223 at high levels in mononucleated cells from peripheral blood (Figure 1A, lane MNC) consisting of 50%ñ70% of mature granulocytes, indicated an association of miR-223 expression with this differentiation lineage ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 11 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  7244-7261 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6964-7262 | Citation Text:  Importantly, our reassessment revealed that this conserved promoter is probably active in the induction of miR-223 during All-trans retinoic acid (ATRA)-induced differentiation of the APL cell line, NB4 cells, which is the main experimental system adopted in the previous study ( Fazi et al., 2005) | Reference Offset:  ['9196-9829', '18907-19100', '38055-38172'] | Reference Text:  miR-223 was strongly induced by RA and reached a maximal expression at 72 hr of treatment either in vivo, in cells isolated at different times from a patient (lane group N1) receiving combined treatment of RA plus chemotherapy (Mandelli et al., 1997), or in cells isolated from a second patient and treated in vitro with RA (lane group N2). In addition, the three miRNA species were all detectable in the APL cell line NB4 (Lanotte et al., 1991). Also, in these cells, the addition of RA induced a marked and selective increase of miR-223 starting at 24 hr after treatment and increasing progressively up to 72 hr (Figures 1C and 1D) ... These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA ... All-trans-retinoic acid was purchased from Sigma and utilized at a concentration of 1 μM unless differently specified | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 12 | Reference Article:  Fazi.txt | Citing Article:  Heiser.txt | Citation Marker Offset:  2326-2327 | Citation Marker:  1 | Citation Offset:  2225-2418 | Citation Text:  In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice [1], [2], while the clustered miRs 144 and 451 are important regulators of erythropoiesis [3] | Reference Offset:  ['6490-6926', '11876-12103', '31203-31689'] | Reference Text:  Figure 1A shows that, in analogy to the murine model, miR-142-5 was widely expressed in all hematopoietic cells and miR-181a was detectable in bone marrow (BM) CD34+ progenitor cells and in T lymphocytes (Chen et al., 2004). miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34- fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells ... Altogether, these data indicated that miR-223 accumulation is an event specifically induced by RA during granulocytic differentiation of myeloid cells, which occurs independently of the expression of the PML/RARα fusion product ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA). Interestingly, the same specificity of induction was verified in blasts from patients undergoing therapeutic treatment with RA, indicating that the effect was not solely confined to in vitro-maintained cell lines | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 13 | Reference Article:  Fazi.txt | Citing Article:  Lee.txt | Citation Marker Offset:  6084-6086 | Citation Marker:  49 | Citation Offset:  5966-6087 | Citation Text:  Specific sequence elements upstream of miR-1, miR-223, and miR-17 are also known to interact with specific TFs [13,48,49] | Reference Offset:  ['5547-5843', '12198-12468', '18662-19100'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα ... By scanning the miR-223 promoter with the TransFac software package (http://www.gene-regulation.com/pub/programs.html), two putative C/EBPα binding sites were identified upstream of the region encoding the pre-miR-223 sequence (see schematic representation in Figure 2A) ... The specificity of C/EBPα occupancy in the region recognized by Oligos#1 was indicated by the detection of signals close to background levels when sequences located further upstream (Oligos#2) were amplified in the same chromatin preparations. These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 14 | Reference Article:  Fazi.txt | Citing Article:  Li,Greeley.txt | Citation Marker Offset:  3416-3425 | Citation Marker:  [15]–[17] | Citation Offset:  3300-3425 | Citation Text:  By contrast, miR-223 is a negative regulator that is required to sustain granulocyte progenitors and granulopoiesis [15]ñ[17] | Reference Offset:  ['622-1152', '5845-6162', '31692-32249'] | Reference Text:  Here we show that human granulocytic differentiation is controlled by a regulatory circuitry involving miR-223 and two transcriptional factors, NFI-A and C/EBPα. The two factors compete for binding to the miR-223 promoter: NFI-A maintains miR-223 at low levels, whereas its replacement by C/EBPα, following retinoic acid (RA)-induced differentiation, upregulates miR-223 expression. The competition by C/EBPα and the granulocytic differentiation are favored by a negative-feedback loop in which miR-223 represses NFI-A translation ... Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... The relevant role of miR-223 in the differentiation process was demonstrated by both overexpression and knockdown experiments. In the first case, doubling of the cells committed to the granulocyte-specific lineage was obtained, whereas reduced miR-223 levels produced the opposite effect. Interestingly, the percentage of miR-223-infected cells induced to differentiate into granulocytic lineage was similar to that described for the ectopic expression of miR-181 in inducing B-specific lymphoid lineage of mouse hematopoietic precursors (Chen et al., 2004) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 15 | Reference Article:  Fazi.txt | Citing Article:  Lu,Katsaros.txt | Citation Marker Offset:  14787-14793 | Citation Marker:  14– 16 | Citation Offset:  14600-14794 | Citation Text:  A tissue sample normally contains several types of cell, and each cell type may regulate let-7a expression with a distinct mechanism in which DNA methylation may or may not be involved ( 14ñ 16) | Reference Offset:  ['3749-4078'] | Reference Text:  At physiological levels of retinoids, the PML/RARα fusion protein causes the block of differentiation and neoplastic transformation of APL blasts by disrupting the function of PML and repressing transcription of genes regulated by RARα, through an aberrant recruitment of histone deacetylases and DNA-methyltransferase activities | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 16 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  2442-2443 | Citation Marker:  5 | Citation Offset:  2370-2444 | Citation Text:  MiR-223 seems to be a target molecule of TFs regulating granulopoiesis [5] | Reference Offset:  ['5063-5544', '5845-6162', '35243-35682'] | Reference Text:  In this study, we identify as a new C/EBPα target the miR-223 gene, which undergoes a specific activation during granulocytic differentiation. Remarkably, one of the putative targets of miR-223 identified by computational analysis (Lewis et al., 2005 and Krek et al., 2005) is the transcription factor NFI-A, a CCAAT-related binding protein controlling genes involved in cell growth control, which has been shown to bind sequences related to the ones of C/EBPα (Gronostajski, 2000) ... Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... These findings supported the hypothesis of a competition between the two proteins in the regulation of the miRNA promoter: NFI-A produces low levels of miR-223, while C/EBPα is the differentiation-specific activator. The activation by C/EBPα had only a 3- to 5-fold effect on miR-223 levels, with little variations in different clonal and primary cells, indicating that granulocytic differentiation requires fine tuning of miRNA expression | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 17 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  3003-3004 | Citation Marker:  5 | Citation Offset:  2817-3227 | Citation Text:  To clarify the roles of miRNAs in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be relevant to hematopoiesis [4], [5], [6], [8] and [9], and the expression levels were sequentially examined during the in vitro differentiation of purified human erythroid progenitors using quantitative real-time polymerase chain reaction (qRT-PCR) analysis | Reference Offset:  ['2781-3213', '7110-7565', '9933-10252'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow. Interestingly, ectopic expression of miR-181 in mouse hematopoietic precursor cells was shown to lead to an increased fraction of B lineage cells (Chen et al., 2004) ... The majority of the CD34α cells are represented by myeloid cells (60%ñ75% of total nucleated cells) at different stages of neutrophilic differentiation, with a ratio of 3:1 to erythroid cells. This evidence, together with the detection of miR-223 at high levels in mononucleated cells from peripheral blood (Figure 1A, lane MNC) consisting of 50%ñ70% of mature granulocytes, indicated an association of miR-223 expression with this differentiation lineage ... No expression of miR-223 was observed in the nonhematopoietic cervical carcinoma cell line, HeLa (Figure 1C), or in medulloblastoma or neuroblastoma cell lines treated with RA (data not shown). These findings indicated the specificity of miR-223 upregulation in RA-induced granulocytic differentiation of leukemic cells | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 18 | Reference Article:  Fazi.txt | Citing Article:  Mizuno.txt | Citation Marker Offset:  2084-2085 | Citation Marker:  4 | Citation Offset:  1893-2086 | Citation Text:  miR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα) [4] | Reference Offset:  ['622-1574', '34675-35458', '36596-37119'] | Reference Text:  Here we show that human granulocytic differentiation is controlled by a regulatory circuitry involving miR-223 and two transcriptional factors, NFI-A and C/EBPα. The two factors compete for binding to the miR-223 promoter: NFI-A maintains miR-223 at low levels, whereas its replacement by C/EBPα, following retinoic acid (RA)-induced differentiation, upregulates miR-223 expression. The competition by C/EBPα and the granulocytic differentiation are favored by a negative-feedback loop in which miR-223 represses NFI-A translation. In line with this, both RNAi against NFI-A and ectopic expression of miR-223 in acute promyelocytic leukemia (APL) cells enhance differentiation, whereas miR-223 knockdown inhibits the differentiation response to RA. Altogether, our data indicate that miR-223 plays a crucial role during granulopoiesis and point to the NFI-A repression as an important molecular pathway mediating gene reprogramming in this cell lineage ... One of the two C/EBPα binding elements in the miR-223 promoter overlaps with a NFI-A binding site (Meisterernst et al., 1988, Bachurski et al., 1997 and Gronostajski, 2000). Indeed, NFI-A was shown to interact with this sequence in vivo; nevertheless, its binding was released upon RA treatment and substituted by that of C/EBPα. This displacement correlated with miRNA transcriptional upregulation. Notably, in cells resistant to retinoic acid and unable to undergo differentiation, the NFI-A factor remained on the miRNA promoter and no C/EBPα binding was detected. These findings supported the hypothesis of a competition between the two proteins in the regulation of the miRNA promoter: NFI-A produces low levels of miR-223, while C/EBPα is the differentiation-specific activator ... RNAi against NFI-A drastically increased the differentiation response of NB4 cells to RA, whereas the opposite effect was found with C/EBPα depletion. These findings are in agreement with the roles described for NFI-A and C/EBPα. C/EBPα has been implicated in promoting differentiation and repressing genes that play the important function of promoting growth (McKnight, 2001 and Tenen, 2001). On the other hand, NFI-A has been implicated in replication as well as in controlling changes in cell growth (Gronostajski, 2000) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1411_TRAIN | Citance Number: 19 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  28040-28057 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  27884-28127 | Citation Text:  Feedback loops in which a miRNA-regulated transcription factor regulates the transcription of its cognate miRNA have been described in a number of animals (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['622-1152', '32252-32589', '37122-37498'] | Reference Text:  Here we show that human granulocytic differentiation is controlled by a regulatory circuitry involving miR-223 and two transcriptional factors, NFI-A and C/EBPα. The two factors compete for binding to the miR-223 promoter: NFI-A maintains miR-223 at low levels, whereas its replacement by C/EBPα, following retinoic acid (RA)-induced differentiation, upregulates miR-223 expression. The competition by C/EBPα and the granulocytic differentiation are favored by a negative-feedback loop in which miR-223 represses NFI-A translation ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7). C/EBPα was shown to interact with the miR-223 promoter region required for RA responsiveness, and its binding correlated perfectly in time with the start of miRNA induction ... The regulatory circuitry described here provides another example of how gene reprogramming during differentiation relies on fine modulation of gene expression. It is also interesting to note that the fine tuning of miR-223 expression is part of an autoregulatory loop in which translational repression of the miRNA target allows the establishment of miRNA sustained expression | Discourse Facet:  Discussion_Citation | Annotator:  C, |

