Topic ID: D1411_TRAIN | Citance Number: 1 | Reference Article:  Fazi.txt | Citing Article:  Cardinali.txt | Citation Marker Offset:  9304-9306 | Citation Marker:  21 | Citation Offset:  9164-9307 | Citation Text:  miR-223 was also included among the modulated miRNAs shown in Fig. 1 due to its previously recognized role in granulocytic differentiation [21] | Reference Offset:  ['11888-12103', '31203-31475', '31692-31979'] | Reference Text:  these data indicated that miR-223 accumulation is an event specifically induced by RA during granulocytic differentiation of myeloid cells, which occurs independently of the expression of the PML/RARα fusion product ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... The relevant role of miR-223 in the differentiation process was demonstrated by both overexpression and knockdown experiments. In the first case, doubling of the cells committed to the granulocyte-specific lineage was obtained, whereas reduced miR-223 levels produced the opposite effect | Discourse Facet:  Results_Citation | Annotator:  B, |
Topic ID: D1411_TRAIN | Citance Number: 8 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5234-5251 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  4992-5252 | Citation Text:  Furthermore, a very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique “minicircuitry” comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα; Fazi et al., 2005) | Reference Offset:  ['5547-6162', '31203-31475', '32252-32589'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7). C/EBPα was shown to interact with the miR-223 promoter region required for RA responsiveness, and its binding correlated perfectly in time with the start of miRNA induction | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 9 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  5414-5431 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  5254-5516 | Citation Text:  As shown previously, miR-223 is highly conserved, and its myeloid-specific expression is also well characterized in both human and mouse (Chen et al., 2004 and Fazi et al., 2005), suggesting that the regulatory system is expected to be phylogenetically conserved | Reference Offset:  ['2781-3046', '6224-6488', '6715-6926'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow ... Probes for miR-223, miR-181a, and miR-142-5, the human counterparts of the murine miR-223, miR-181, and miR-142s species (www.sanger.ac.uk/Software/Rfam/mirna/index.shtml), have been utilized to study the hematopoietic lineage specificity of the corresponding RNAs ... miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34− fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 10 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  6944-6961 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6646-6962 | Citation Text:  Therefore, the conserved proximal cis-acting regulatory element of pri-miR-223 shows general myeloid promoter characteristics, consistent with preferential expression of miR-223 in the myeloid lineage. This evolutionarily conserved promoter is distinct from the previously characterized promoter ( Fazi et al., 2005) | Reference Offset:  ['12198-12468', '16586-17683', '18662-19100'] | Reference Text:  By scanning the miR-223 promoter with the TransFac software package (http://www.gene-regulation.com/pub/programs.html), two putative C/EBPα binding sites were identified upstream of the region encoding the pre-miR-223 sequence (see schematic representation in Figure 2A) ... We next investigated whether C/EBPα physically interacts with the miR-223 promoter and whether its binding correlates with miR-223 transcriptional upregulation. This association was analyzed in vivo during RA-induced granulopoiesis of NB4 and RA-resistant NB4 cells by chromatin immunoprecipitation (ChIP) experiments (Figure 3). Cells were treated with RA for 4, 24, 48, and 72 hr, and chromatin fragments were immunoprecipitated with an anti-C/EBPα antibody. DNA from the immunoprecipitates was then amplified by PCR using primers (Oligos#1) located in the promoter region close to the putative C/EBPα binding sites (see schematic representation in Figure 3). C/EBPα was found associated with this region after 24, 48, and 72 hr of RA induction in NB4 cells (lanes NB4 24, 48, and 72), whereas no reactivity was measurable in untreated cells (lane 0) or after 4 hr of RA treatment (lane 4). In NB4-MR4 cells, C/EBPα was not detectable throughout all the RA treatment, with only a faint reactivity at 72 hr (lane group NB4-MR4). These results were confirmed also by quantitative PCR (right panel) ... The specificity of C/EBPα occupancy in the region recognized by Oligos#1 was indicated by the detection of signals close to background levels when sequences located further upstream (Oligos#2) were amplified in the same chromatin preparations. These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 11 | Reference Article:  Fazi.txt | Citing Article:  Fukao.txt | Citation Marker Offset:  7244-7261 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  6964-7262 | Citation Text:  Importantly, our reassessment revealed that this conserved promoter is probably active in the induction of miR-223 during All-trans retinoic acid (ATRA)-induced differentiation of the APL cell line, NB4 cells, which is the main experimental system adopted in the previous study ( Fazi et al., 2005) | Reference Offset:  ['9537-9829'] | Reference Text:  In addition, the three miRNA species were all detectable in the APL cell line NB4 (Lanotte et al., 1991). Also, in these cells, the addition of RA induced a marked and selective increase of miR-223 starting at 24 hr after treatment and increasing progressively up to 72 hr (Figures 1C and 1D) | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 12 | Reference Article:  Fazi.txt | Citing Article:  Heiser.txt | Citation Marker Offset:  2326-2327 | Citation Marker:  1 | Citation Offset:  2225-2333 | Citation Text:  In myelopoiesis, miR-223 has been shown to regulate granulocyte development in both humans and mice [1], [2] | Reference Offset:  ['2781-3046', '6224-6488', '6715-6926'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow ... Probes for miR-223, miR-181a, and miR-142-5, the human counterparts of the murine miR-223, miR-181, and miR-142s species (www.sanger.ac.uk/Software/Rfam/mirna/index.shtml), have been utilized to study the hematopoietic lineage specificity of the corresponding RNAs ... miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34− fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 13 | Reference Article:  Fazi.txt | Citing Article:  Lee.txt | Citation Marker Offset:  6084-6086 | Citation Marker:  49 | Citation Offset:  5966-6087 | Citation Text:  Specific sequence elements upstream of miR-1, miR-223, and miR-17 are also known to interact with specific TFs [13,48,49] | Reference Offset:  ['16586-17683', '18662-19100'] | Reference Text:  We next investigated whether C/EBPα physically interacts with the miR-223 promoter and whether its binding correlates with miR-223 transcriptional upregulation. This association was analyzed in vivo during RA-induced granulopoiesis of NB4 and RA-resistant NB4 cells by chromatin immunoprecipitation (ChIP) experiments (Figure 3). Cells were treated with RA for 4, 24, 48, and 72 hr, and chromatin fragments were immunoprecipitated with an anti-C/EBPα antibody. DNA from the immunoprecipitates was then amplified by PCR using primers (Oligos#1) located in the promoter region close to the putative C/EBPα binding sites (see schematic representation in Figure 3). C/EBPα was found associated with this region after 24, 48, and 72 hr of RA induction in NB4 cells (lanes NB4 24, 48, and 72), whereas no reactivity was measurable in untreated cells (lane 0) or after 4 hr of RA treatment (lane 4). In NB4-MR4 cells, C/EBPα was not detectable throughout all the RA treatment, with only a faint reactivity at 72 hr (lane group NB4-MR4). These results were confirmed also by quantitative PCR (right panel) ... The specificity of C/EBPα occupancy in the region recognized by Oligos#1 was indicated by the detection of signals close to background levels when sequences located further upstream (Oligos#2) were amplified in the same chromatin preparations. These experiments showed that, in APL cells, C/EBPα interacts in vivo with the miR-223 promoter and that this binding correlates with both miR-223 upregulation and response of these cells to RA | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 14 | Reference Article:  Fazi.txt | Citing Article:  Li,Greeley.txt | Citation Marker Offset:  3416-3425 | Citation Marker:  [15]–[17] | Citation Offset:  3313-3425 | Citation Text:  miR-223 is a negative regulator that is required to sustain granulocyte progenitors and granulopoiesis [15]–[17] | Reference Offset:  ['31203-31475', '31692-31979'] | Reference Text:  In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) ... The relevant role of miR-223 in the differentiation process was demonstrated by both overexpression and knockdown experiments. In the first case, doubling of the cells committed to the granulocyte-specific lineage was obtained, whereas reduced miR-223 levels produced the opposite effect | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 15 | Reference Article:  Fazi.txt | Citing Article:  Lu,Katsaros.txt | Citation Marker Offset:  14787-14793 | Citation Marker:  14– 16 | Citation Offset:  14600-14794 | Citation Text:  A tissue sample normally contains several types of cell, and each cell type may regulate let-7a expression with a distinct mechanism in which DNA methylation may or may not be involved ( 14– 16) | Reference Offset:  ['6715-6926', '7303-7565', '31203-31475'] | Reference Text:  miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34− fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells ... This evidence, together with the detection of miR-223 at high levels in mononucleated cells from peripheral blood (Figure 1A, lane MNC) consisting of 50%–70% of mature granulocytes, indicated an association of miR-223 expression with this differentiation lineage ... In this study, we have identified in miR-223 an important modulator of human myeloid differentiation. This RNA is specifically expressed in myeloid cells and is upregulated during granulocytic differentiation of APL cells mediated in vivo or in vitro by retinoic acid (RA) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 16 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  2442-2443 | Citation Marker:  5 | Citation Offset:  2370-2444 | Citation Text:  MiR-223 seems to be a target molecule of TFs regulating granulopoiesis [5] | Reference Offset:  ['5547-6162'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 17 | Reference Article:  Fazi.txt | Citing Article:  Masaki.txt | Citation Marker Offset:  3003-3004 | Citation Marker:  5 | Citation Offset:  2817-3023 | Citation Text:  To clarify the roles of miRNAs in erythropoiesis, four miRNAs were selected (miR-155, miR-221, miR-223, and miR-451) because their expression seems to be relevant to hematopoiesis [4], [5], [6], [8] and [9] | Reference Offset:  ['2781-3046', '6715-6926'] | Reference Text:  A recent study has identified three miRNAs preferentially expressed in murine hematopoietic tissues: miR-181, miR-142, and miR-223 (Chen et al., 2004). miR-181 is strongly expressed in the thymus, miR-142 in all hematopoietic tissues, and miR-223 in the bone marrow ... miR-223, however, was absent in B and T lymphocytes and present in BM cells, with the highest levels in the BM CD34− fraction, mostly representative of lineage-committed precursors and mature hematopoietic cells | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 18 | Reference Article:  Fazi.txt | Citing Article:  Mizuno.txt | Citation Marker Offset:  2084-2085 | Citation Marker:  4 | Citation Offset:  1893-2086 | Citation Text:  miR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα) [4] | Reference Offset:  ['5547-6162', '32252-32589'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... Study of miR-223 expression disclosed a very interesting regulatory loop involving two well-known transcriptional factors, C/EBPα and NFI-A (see model in Figure 7). C/EBPα was shown to interact with the miR-223 promoter region required for RA responsiveness, and its binding correlated perfectly in time with the start of miRNA induction | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 19 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  28040-28057 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  27884-28127 | Citation Text:  Feedback loops in which a miRNA-regulated transcription factor regulates the transcription of its cognate miRNA have been described in a number of animals (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['5547-6162'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1411_TRAIN | Citance Number: 20 | Reference Article:  Fazi.txt | Citing Article:  Wu,Park.txt | Citation Marker Offset:  38594-38611 | Citation Marker:  Fazi et al., 2005 | Citation Offset:  38442-38681 | Citation Text:  There is growing evidence from animal systems that miRNA-regulated transcription factors frequently regulate the transcription of their cognate miRNAs (Fazi et al., 2005, Johnson et al., 2005, Kim et al., 2007 and Varghese and Cohen, 2007) | Reference Offset:  ['5547-6162', '21042-22340', '35822-36092'] | Reference Text:  Here we show that both C/EBPα and NFI-A bind the region responsible for miR-223 upregulation upon RA treatment. Nevertheless, the binding of the two proteins on the miR-223 promoter is mutually exclusive of the upregulation following RA treatment, requiring release of NFI-A and binding of C/EBPα. Notably, our results indicate that NFI-A is negatively controlled by miR-223, thus explaining how sustained expression of the miRNA could be maintained during granulocytic differentiation. Our findings point to miR-223 and NFI-A as novel and crucial players in the molecular circuitry controlling human granulopoiesis ... In order to validate the NFI-A mRNA as a possible miR-223 target, we set up an assay in which the 3′UTR of the NFI-A gene, including the putative miRNA target site, was inserted downstream of a luciferase ORF (3′NFI-Awt, Figure 4C). A construct containing a mutated sequence of the miRNA binding site, 3′NFI-Amut, was also produced as a control. The different luciferase constructs were transfected into NB4 cells with a plasmid carrying a constitutive-expression cassette for miR-223 (psiU-223, Figure 4D) or with the same vector expressing an unrelated 21 nucleotide RNA (psiU-control). In these experiments, we preferred utilizing a construct expressing miR-223 under a heterologous and constitutive promoter in order to have a constant level of expression. The ability of psiU-223 to direct the expression and processing of a mature miR-223 is shown ( Figure 4D). A specific negative effect on luciferase activity was observed in the presence of miR-223 on the wild-type substrate, while no reduction in luciferase activity was obtained when the target site was mutated ( Figure 4E). The decrease in luciferase activity was similar to the translational repressor effect observed for other miRNAs on their substrates ( Poy et al., 2004). These results indicated that NFI-A is a target of miR-223 ... miR-223 activation correlated in time with the decrease in accumulation of the NFI-A protein, while its mRNA levels remained unaltered; this, together with the experimental validation of the bona fide target site in the 3′UTR, indicated that NFI-A is a target of miR-223 | Discourse Facet:  Results_Citation | Annotator:  B, |

