Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['3722-4162', '28446-29072', '4852-5262'] | Reference Text:  programmed necrosis may control the viral factory by eliminating the infected host cells. An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... Strikingly, the pronecrotic RIP1-RIP3 complex was specifically induced in the liver upon vaccinia virus (VV) infection. RIP3−/− mice failed to initiate virus-induced tissue necrosis and inflammation, resulting in highly elevated viral replication and mortality. These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections ... Our results also support a role for RIP3-dependent programmed necrosis in promoting the subsequent virus-induced inflammation. An important role for RIP1/RIP3-mediated programmed necrosis in anti-viral responses is further bolstered by our previous discovery of certain viral FLIPs that potently inhibit programmed necrosis (Chan et al., 2003). More recently, the M45 viral cell death inhibitor from murine cytomegalovirus was shown to interact with RIP1 and RIP3 via the RHIM (Upton et al., 2008). These results suggest that like apoptosis, inhibition of programmed necrosis might be an emerging viral immune evasion strategy | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 7 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  4600-4616 | Citation Marker:  Cho et al., 2009 | Citation Offset:  4362-4617 | Citation Text:  Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs) (Figures 1A and 1B) were shown to mediate their interaction (Sun et al., 2002), which is crucial for the induction of programmed necrosis (Cho et al., 2009) | Reference Offset:  ['7798-8389'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 8 | Reference Article:  Cho.txt | Citing Article:  Park.txt | Citation Marker Offset:  4114-4116 | Citation Marker:  25 | Citation Offset:  3840-4144 | Citation Text:  In addition, caspase-8 is inhibited by cytokine response modifier A (CrmA), while pharmacological agents interact with deubiquitinated RIP1-receptor-interacting serine/threonine-protein kinase 3 (RIP3), which binds to the RIP homotypic interaction motif (RHIM) [23], [24], [25], [26], [27], [28] and [29] | Reference Offset:  ['7798-8389'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 9 | Reference Article:  Cho.txt | Citing Article:  Roca.txt | Citation Marker Offset:  10901-10917 | Citation Marker:  Cho et al., 2009 | Citation Offset:  10681-10976 | Citation Text:  TNF-mediated programmed necrosis typically involves the receptor-interacting serine-threonine kinases 1 and 3 (RIP1 and RIP3), as evidenced in human, mouse, and zebrafish cell lines, as well as in a murine sepsis model (Cho et al., 2009; He et al., 2009; Holler et al., 2000; Zhang et al., 2009) | Reference Offset:  ['4420-4655', '5342-5497', '6234-6456'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation ... RIP1 is a pleiotropic adaptor that mediates both NF-κB activation and programmed necrosis by TNF (Chan et al., 2003; Holler et al., 2000; Lin et al., 2004) ... RIP1 was one of the protective clones, demonstrating the fidelity of our screen. Another siRNA clone, RIP3, conferred protection against TNF-induced programmed necrosis at a level comparable to that by RIP1 siRNA (Fig. S1) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 10 | Reference Article:  Cho.txt | Citing Article:  Sawai.txt | Citation Marker Offset:  4092-4094 | Citation Marker:  11 | Citation Offset:  4042-4095 | Citation Text:  RIP1 was reported to interact with RIP3 [10] and [11] | Reference Offset:  ['7798-8132', '24213-24432'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C) ... we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 11 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3392-3408 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3282-3429 | Citation Text:  Necrotic death was augmented when caspase activities were compromised by either viral or chemical inhibitors (Cho et al., 2009 and He et al., 2009) | Reference Offset:  ['13382-13486', '18786-19083', '20339-21251'] | Reference Text:  programmed necrosis was induced in wild type MEFs with TNF, cycloheximide and zVAD-fmk (T/C/Z) (Fig. S5) ... we examined cell death responses in activated wild type and RIP3−/− T-cells infected with vaccinia virus (VV), which encodes the viral caspase inhibitor B13R/Spi2. VV-infected cells were resistant to death receptor-induced apoptosis but become sensitized to TNF-induced necrosis (Li and Beg, 2000) ... The sensitization to programmed necrosis by VV infection was also observed in MEFs. While TNF alone did not cause cell death in MEFs (Fig. S6), VV-infected MEFs were highly sensitive to TNF-induced necrosis in a RIP3-dependent manner (Fig. 6D). Electron microscopy confirmed that VV-infected underwent necrotic-like cell death in response to TNF (Fig. 6E, panel c). Importantly, while RIP1-RIP3 complex was only detected when cells were stimulated with T/C/Z (Fig. 4E-G) or TNF/zVAD (Fig. 6F, lanes 3-4), TNF alone was sufficient to trigger RIP1-RIP3 association in VV-infected MEFs (Fig. 6F, lanes 5-8). This is in stark contrast to uninfected cells, in which TNF did not trigger RIP1 and RIP3 interaction (Fig. 6F, lanes 1-2). Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 12 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3579-3595 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3431-3680 | Citation Text:  This form of necrosis, also termed necroptosis, requires the activity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3 (Cho et al., 2009, Degterev et al., 2008, He et al., 2009, Holler et al., 2000 and Zhang et al., 2009) | Reference Offset:  ['4420-4655', '24213-24432'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation ... we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 13 | Reference Article:  Cho.txt | Citing Article:  Wu,Li.txt | Citation Marker Offset:  2638-2639 | Citation Marker:  4 | Citation Offset:  2529-2650 | Citation Text:  The level of RIP3 expression appears to be a crucial determinant for the choice of apoptosis or necroptosis [4], [5], [6] | Reference Offset:  ['6234-7028', '19085-19812'] | Reference Text:  RIP1 was one of the protective clones, demonstrating the fidelity of our screen. Another siRNA clone, RIP3, conferred protection against TNF-induced programmed necrosis at a level comparable to that by RIP1 siRNA (Fig. S1). The protection against TNF-induced programmed necrosis by RIP1 and RIP3 siRNAs were specific, since other RIP family kinases including RIP2, RIP4 and RIP5 that were represented in the library did not protect against programmed necrosis (data not shown). We validated these results in TNFR-2+ wild type Jurkat cells (clone 4E3) and found that individual RIP3-specific siRNAs efficiently reduced RIP3 protein expression (Fig. 1A) and inhibited TNF/zVAD-fmk-induced programmed necrosis (Fig. 1B), but had little or no effects on apoptosis induced by TNF or FasL (Fig. 1C-D) ... Wild type T-cells infected with recombinant GFP-VV exhibited normal T-cell activation-induced cell death (AICD) induced by anti-CD3 antibody (Fig. 6A, compare the white bars). In contrast, AICD in GFP-VV infected RIP3−/− T-cells was significantly reduced compared with uninfected GFP− cells in the same culture (Fig. 6A, compare the black bars). VV-infected RIP3−/− cells were also protected from TNF-induced cell death (Fig. 6B, black bars). In fact, TNF stimulated the proliferation of GFP+ VV-infected RIP3−/− cells, which accounted for the negative cell loss. VV-infected wild type T-cells also exhibited a modest decrease in TNF-induced cell death due to the inhibition of caspase-dependent apoptosis (Fig. 6B, white bars) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1412_TRAIN | Citance Number: 14 | Reference Article:  Cho.txt | Citing Article:  Yan,Du.txt | Citation Marker Offset:  58705-58714 | Citation Marker:  [57]–[64] | Citation Offset:  58544-58714 | Citation Text:  If caspase-8 activity is inhibited, RIP1 and RIP3 are phosphorylated and form the necrosome, upon which necroptosis is switched on [35], [44], [45], [50], [54], [57]–[64] | Reference Offset:  ['9658-10012', '24213-24432'] | Reference Text:  Although RIP1 cleavage by caspase-8 at D324 might inactivate the RIP1 kinase function and contribute to the bifurcation of apoptosis and programmed necrosis (Lin et al., 1999), zVAD-fmk likely sensitizes cells to programmed necrosis via additional regulatory events because full length RIP1 was still readily detected without caspase inhibition (Fig. S3) ... we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation | Discourse Facet:  Results_Citation | Annotator:  B, |

