Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['3627-4162', '21068-21251', '23598-23730'] | Reference Text:  Such pro-inflammatory effects might be important for anti-viral immune responses. In addition, programmed necrosis may control the viral factory by eliminating the infected host cells. An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors ... Collectively, our results strongly support a role for RIP3 in promoting programmed necrosis and virus-induced inflammation (Fig. S9) | Discourse Facet:  Discussion_Citation | Annotator:  D, |
Topic ID: D1412_TRAIN | Citance Number: 7 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  4600-4616 | Citation Marker:  Cho et al., 2009 | Citation Offset:  4362-4617 | Citation Text:  Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs) (Figures 1A and 1B) were shown to mediate their interaction (Sun et al., 2002), which is crucial for the induction of programmed necrosis (Cho et al., 2009) | Reference Offset:  ['7798-8132', '24098-24361'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C) ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 8 | Reference Article:  Cho.txt | Citing Article:  Park.txt | Citation Marker Offset:  4114-4116 | Citation Marker:  25 | Citation Offset:  3840-4144 | Citation Text:  In addition, caspase-8 is inhibited by cytokine response modifier A (CrmA), while pharmacological agents interact with deubiquitinated RIP1-receptor-interacting serine/threonine-protein kinase 3 (RIP3), which binds to the RIP homotypic interaction motif (RHIM) [23], [24], [25], [26], [27], [28] and [29] | Reference Offset:  ['7798-8132'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 9 | Reference Article:  Cho.txt | Citing Article:  Roca.txt | Citation Marker Offset:  10901-10917 | Citation Marker:  Cho et al., 2009 | Citation Offset:  10681-10976 | Citation Text:  TNF-mediated programmed necrosis typically involves the receptor-interacting serine-threonine kinases 1 and 3 (RIP1 and RIP3), as evidenced in human, mouse, and zebrafish cell lines, as well as in a murine sepsis model (Cho et al., 2009; He et al., 2009; Holler et al., 2000; Zhang et al., 2009) | Reference Offset:  ['7798-8132', '23144-23359'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C) ... Remarkably, the pro-necrotic RIP1-RIP3 complex was detected in infected liver cell extracts 12-24 hours post-infection (Fig. 7E), indicating that liver cells underwent programmed necrosis in response to VV infection | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 10 | Reference Article:  Cho.txt | Citing Article:  Sawai.txt | Citation Marker Offset:  4092-4094 | Citation Marker:  11 | Citation Offset:  4042-4095 | Citation Text:  RIP1 was reported to interact with RIP3 [10] and [11] | Reference Offset:  ['7798-8132', '24363-24432'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C) ... RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 11 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3392-3408 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3282-3429 | Citation Text:  Necrotic death was augmented when caspase activities were compromised by either viral or chemical inhibitors (Cho et al., 2009 and He et al., 2009) | Reference Offset:  ['18761-19083', '21068-21251'] | Reference Text:  To test this hypothesis, we examined cell death responses in activated wild type and RIP3−/− T-cells infected with vaccinia virus (VV), which encodes the viral caspase inhibitor B13R/Spi2. VV-infected cells were resistant to death receptor-induced apoptosis but become sensitized to TNF-induced necrosis (Li and Beg, 2000) ... Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 12 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3579-3595 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3431-3680 | Citation Text:  This form of necrosis, also termed necroptosis, requires the activity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3 (Cho et al., 2009, Degterev et al., 2008, He et al., 2009, Holler et al., 2000 and Zhang et al., 2009) | Reference Offset:  ['4420-4655', '8296-8389', '24363-24432'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation ... Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis ... RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 13 | Reference Article:  Cho.txt | Citing Article:  Wu,Li.txt | Citation Marker Offset:  2638-2639 | Citation Marker:  4 | Citation Offset:  2529-2650 | Citation Text:  The level of RIP3 expression appears to be a crucial determinant for the choice of apoptosis or necroptosis [4], [5], [6] | Reference Offset:  ['7157-7239', '21068-21251'] | Reference Text:  Thus, unlike RIP1, RIP3 is a specific activator for programmed necrotic cell death ... Taken together, these results show that RIP3-dependent programmed necrosis is an important cell death mechanism when the cellular apoptosis machinery was inhibited by viral inhibitors | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1412_TRAIN | Citance Number: 14 | Reference Article:  Cho.txt | Citing Article:  Yan,Du.txt | Citation Marker Offset:  58705-58714 | Citation Marker:  [57]–[64] | Citation Offset:  58544-58714 | Citation Text:  If caspase-8 activity is inhibited, RIP1 and RIP3 are phosphorylated and form the necrosome, upon which necroptosis is switched on [35], [44], [45], [50], [54], [57]–[64] | Reference Offset:  ['14027-14134', '17128-17284', '24098-24361'] | Reference Text:  These results indicate that both RIP1 and RIP3 are critical for the assembly of the pro-necrotic Complex II ... Taken together, our data strongly implicate that phosphorylation of RIP1 and RIP3 plays a crucial role in the stable assembly of the pro-necrotic Complex II ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  D, |

