Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['3521-4162', '21312-22015', '28573-29072'] | Reference Text:  As we have discussed above, necrosis distinguishes itself from apoptosis by its pro-inflammatory effects. Such pro-inflammatory effects might be important for anti-viral immune responses. In addition, programmed necrosis may control the viral factory by eliminating the infected host cells. An anti-viral role for programmed necrosis is further bolstered by our previous findings that certain viral FLIPs (FLICE-like inhibitor proteins) are potent inhibitors of TNF-induced programmed necrosis (Chan et al., 2003). These results suggest that viral inhibition of programmed necrosis is an important immune evasion strategy for certain viruses ... TNF-TNFR interactions are known to be important for the innate immune defense against VV infection (Chan et al., 2003; Ruby et al., 1997). The requirement for RIP3 to induce cell death in VV-infected cells suggests that TNF might confer protection against VV via RIP3-dependent programmed necrosis. To test this hypothesis, we infected wild type and RIP3-/- mice with VV. Consistent with its innate immune protective role, TNF expression was detected in peritoneal exudate cells (PECs) 24 hours post-infection (Fig. 7A). Moreover, TNF expression was induced in the liver and spleen of infected wild type and RIP3-/- mice (Fig. 7B). Thus, virus-induced TNF expression was not impaired in the RIP3-/- mice ... An important role for RIP1/RIP3-mediated programmed necrosis in anti-viral responses is further bolstered by our previous discovery of certain viral FLIPs that potently inhibit programmed necrosis (Chan et al., 2003). More recently, the M45 viral cell death inhibitor from murine cytomegalovirus was shown to interact with RIP1 and RIP3 via the RHIM (Upton et al., 2008). These results suggest that like apoptosis, inhibition of programmed necrosis might be an emerging viral immune evasion strategy | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 7 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  4600-4616 | Citation Marker:  Cho et al., 2009 | Citation Offset:  4362-4617 | Citation Text:  Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs) (Figures 1A and 1B) were shown to mediate their interaction (Sun et al., 2002), which is crucial for the induction of programmed necrosis (Cho et al., 2009) | Reference Offset:  ['7798-8389'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 8 | Reference Article:  Cho.txt | Citing Article:  Park.txt | Citation Marker Offset:  4114-4116 | Citation Marker:  25 | Citation Offset:  3840-4144 | Citation Text:  In addition, caspase-8 is inhibited by cytokine response modifier A (CrmA), while pharmacological agents interact with deubiquitinated RIP1-receptor-interacting serine/threonine-protein kinase 3 (RIP3), which binds to the RIP homotypic interaction motif (RHIM) [23], [24], [25], [26], [27], [28] and [29] | Reference Offset:  ['7798-8389', '9378-10012', '25835-26484'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis ... On short exposure, zVAD-fmk moderately enhanced RIP1 and RIP3 binding to caspase-8-associated Complex II (Fig. 2E). However, the difference was minor and not distinguishable on longer exposure (Fig. S3). On longer exposure, RIP1 cleavage in Complex II was also visible (Fig. S3). Although RIP1 cleavage by caspase-8 at D324 might inactivate the RIP1 kinase function and contribute to the bifurcation of apoptosis and programmed necrosis (Lin et al., 1999), zVAD-fmk likely sensitizes cells to programmed necrosis via additional regulatory events because full length RIP1 was still readily detected without caspase inhibition (Fig. S3) ... The lack of dominant inhibition by KD-RIP1 or KD-RIP3 might suggest oligomerization as a crucial first step in activating the pro-necrotic kinase complex. In such scenario, the RHIM might facilitate oligomerization of RIP1 and RIP3. Phosphorylation of RIP1 and RIP3 may stabilize the structural scaffold of the pro-necrotic complex. However, once the oligomer is formed, a single copy of kinase active RIP1 and RIP3 within the oligomer might be sufficient to activate downstream function. Consistent with this model, RIP3 RHIM mutant was kinase inactive and failed to sensitize programmed necrosis in wild type Jurkat cells (unpublished observation) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 9 | Reference Article:  Cho.txt | Citing Article:  Roca.txt | Citation Marker Offset:  10901-10917 | Citation Marker:  Cho et al., 2009 | Citation Offset:  10681-10976 | Citation Text:  TNF-mediated programmed necrosis typically involves the receptor-interacting serine-threonine kinases 1 and 3 (RIP1 and RIP3), as evidenced in human, mouse, and zebrafish cell lines, as well as in a murine sepsis model (Cho et al., 2009; He et al., 2009; Holler et al., 2000; Zhang et al., 2009) | Reference Offset:  ['2637-2927', '13026-13558', '24098-24869'] | Reference Text:  TNF-like cytokines are potent inducers of programmed necrosis. We and others have previously identified an obligate role for the protein serine/threonine kinase receptor interacting protein 1 (RIP/RIP1/RIPK1) in programmed necrosis (Chan et al., 2003; Holler et al., 2000; Lin et al., 2004) ... To further define the molecular regulation of programmed necrosis, we examined the recruitment of RIP1 and RIP3 to Complex II in MEFs because the role of RIP3 in the assembly of the pro-necrotic complex could be evaluated using RIP3-/- MEFs. Similar to Jurkat cells, constitutive association between RIP3 and FADD was also detected in MEFs (Fig. 4A). When programmed necrosis was induced in wild type MEFs with TNF, cycloheximide and zVAD-fmk (T/C/Z) (Fig. S5), RIP1 was recruited to FADD in a TNF-dependent manner (Fig. 4A, lane 3) ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation. However, since the level of RIP1 phosphorylation by ectopically expressed RIP3 was low, it remains possible that RIP3 may activate another kinase that directly phosphorylates RIP1. Interestingly, the RIP1 kinase activity is also required for RIP3 phosphorylation during programmed necrosis. Because ectopically expressed RIP1 did not phosphorylate RIP3, RIP1 may facilitate RIP3 phosphorylation by activating another downstream kinase | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 10 | Reference Article:  Cho.txt | Citing Article:  Sawai.txt | Citation Marker Offset:  4092-4094 | Citation Marker:  11 | Citation Offset:  4042-4095 | Citation Text:  RIP1 was reported to interact with RIP3 [10] and [11] | Reference Offset:  ['4420-4850', '7798-8389', '16400-16798'] | Reference Text:  In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation. Both RIP3 and the kinase activity of RIP1 are essential for stable formation of the RIP1-RIP3 pro-necrotic complex, which critically controls downstream reactive oxygen species (ROS) production ... RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002). Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C). Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D). Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis ... By contrast, programmed necrosis induced by T/C/Z specifically induced formation of the RIP1-RIP3 complex (Fig. 4E, lanes 5-8). Similar to the recruitment of RIP1 and RIP3 to FADD, the interaction between RIP1 and RIP3 was abolished by Nec-1 (Fig. 4F, compare lanes 7-8 and Fig. 4G, lanes 2-3), indicating that the RIP1 kinase activity was also required for stable interaction between RIP1 and RIP3 | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 11 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3392-3408 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3282-3429 | Citation Text:  Necrotic death was augmented when caspase activities were compromised by either viral or chemical inhibitors (Cho et al., 2009 and He et al., 2009) | Reference Offset:  ['1627-1854', '9658-10012'] | Reference Text:  Cell death by programmed necrosis (also known as caspase-independent cell death or necroptosis) is characterized by rapid loss of plasma membrane integrity prior to the exposure of phagocytic signal (Golstein and Kroemer, 2007) ... Although RIP1 cleavage by caspase-8 at D324 might inactivate the RIP1 kinase function and contribute to the bifurcation of apoptosis and programmed necrosis (Lin et al., 1999), zVAD-fmk likely sensitizes cells to programmed necrosis via additional regulatory events because full length RIP1 was still readily detected without caspase inhibition (Fig. S3) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 12 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3579-3595 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3431-3680 | Citation Text:  This form of necrosis, also termed necroptosis, requires the activity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3 (Cho et al., 2009, Degterev et al., 2008, He et al., 2009, Holler et al., 2000 and Zhang et al., 2009) | Reference Offset:  ['2637-2927', '4420-5262', '24098-24869'] | Reference Text:  TNF-like cytokines are potent inducers of programmed necrosis. We and others have previously identified an obligate role for the protein serine/threonine kinase receptor interacting protein 1 (RIP/RIP1/RIPK1) in programmed necrosis (Chan et al., 2003; Holler et al., 2000; Lin et al., 2004) ... In this report, we identified RIP3 as a crucial upstream activating kinase that regulates RIP1-dependent programmed necrosis. We show that RIP3 acts upstream to phosphorylate RIP1, which in turn mediates downstream RIP3 phosphorylation. Both RIP3 and the kinase activity of RIP1 are essential for stable formation of the RIP1-RIP3 pro-necrotic complex, which critically controls downstream reactive oxygen species (ROS) production. Strikingly, the pronecrotic RIP1-RIP3 complex was specifically induced in the liver upon vaccinia virus (VV) infection. RIP3-/- mice failed to initiate virus-induced tissue necrosis and inflammation, resulting in highly elevated viral replication and mortality. These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation. However, since the level of RIP1 phosphorylation by ectopically expressed RIP3 was low, it remains possible that RIP3 may activate another kinase that directly phosphorylates RIP1. Interestingly, the RIP1 kinase activity is also required for RIP3 phosphorylation during programmed necrosis. Because ectopically expressed RIP1 did not phosphorylate RIP3, RIP1 may facilitate RIP3 phosphorylation by activating another downstream kinase | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 13 | Reference Article:  Cho.txt | Citing Article:  Wu,Li.txt | Citation Marker Offset:  2638-2639 | Citation Marker:  4 | Citation Offset:  2529-2650 | Citation Text:  The level of RIP3 expression appears to be a crucial determinant for the choice of apoptosis or necroptosis [4], [5], [6] | Reference Offset:  ['6458-7239', '7425-7796', '18037-18486'] | Reference Text:  The protection against TNF-induced programmed necrosis by RIP1 and RIP3 siRNAs were specific, since other RIP family kinases including RIP2, RIP4 and RIP5 that were represented in the library did not protect against programmed necrosis (data not shown). We validated these results in TNFR-2+ wild type Jurkat cells (clone 4E3) and found that individual RIP3-specific siRNAs efficiently reduced RIP3 protein expression (Fig. 1A) and inhibited TNF/zVAD-fmk-induced programmed necrosis (Fig. 1B), but had little or no effects on apoptosis induced by TNF or FasL (Fig. 1C-D). Consistent with a previous report (Newton et al., 2004), RIP3 deficiency did not alter TNF-induced NF-κB activation (Fig. 1E). Thus, unlike RIP1, RIP3 is a specific activator for programmed necrotic cell death ... RIP3 contains an N-terminal kinase domain with ~ 40% identity with the kinase domain of RIP1 (Fig. 2A). A kinase-defective (KD) RIP3 mutant failed to restore TNF-induced programmed necrosis in Jurkat cells whose endogenous RIP3 expression was silenced by siRNA (Fig. 2B, RIP3-null Jurkat cells), indicating that the RIP3 kinase activity is crucial for programmed necrosis ... In contrast, silencing RIP1 or RIP3 expression in L929 cells had no effect on hydrogen peroxide-induced oxidative cell injury (Fig. 5D-E). By contrast, siRNA-mediated silencing of RIP1 or RIP3 inhibited zVAD-fmk-induced necrosis in L929 cells (Fig. 5F-G), which was recently shown to be driven by autocrine TNF production (Hitomi et al., 2008). Thus, our results indicate that RIP3 acts upstream to regulate ROS production during programmed necrosis | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1412_TRAIN | Citance Number: 14 | Reference Article:  Cho.txt | Citing Article:  Yan,Du.txt | Citation Marker Offset:  58705-58714 | Citation Marker:  [57]–[64] | Citation Offset:  58419-58714 | Citation Text:  Activation of caspase-8 activity inactivates RIP1 and RIP3 by proteolytic cleavage and triggers caspase-dependent apoptosis. If caspase-8 activity is inhibited, RIP1 and RIP3 are phosphorylated and form the necrosome, upon which necroptosis is switched on [35], [44], [45], [50], [54], [57]–[64] | Reference Offset:  ['8922-10012', '24098-24613'] | Reference Text:  Because RIP1 is recruited to both Complex I and Complex II, we examined RIP3 recruitment to these signaling complexes. In TNFR-2+ Jurkat 4E3 cells, TNF triggers both apoptosis and programmed necrosis, although apoptosis predominates due to its faster kinetics unless caspases are inhibited (Zheng et al., 2006). In TNFR-2+ Jurkat 4E3 cells, RIP3 was recruited to caspase-8-associated Complex II (Fig. 2E), but not to TNFR-1 associated Complex I (Fig. 2F). On short exposure, zVAD-fmk moderately enhanced RIP1 and RIP3 binding to caspase-8-associated Complex II (Fig. 2E). However, the difference was minor and not distinguishable on longer exposure (Fig. S3). On longer exposure, RIP1 cleavage in Complex II was also visible (Fig. S3). Although RIP1 cleavage by caspase-8 at D324 might inactivate the RIP1 kinase function and contribute to the bifurcation of apoptosis and programmed necrosis (Lin et al., 1999), zVAD-fmk likely sensitizes cells to programmed necrosis via additional regulatory events because full length RIP1 was still readily detected without caspase inhibition (Fig. S3) ... Although RIP3 was not identified as a necrosis mediator in a recent genome-wide RNAi screen (Hitomi et al., 2008), we show that formation of a unique pro-necrotic Complex II composed of RIP1 and RIP3 is a crucial first step in the induction of programmed necrosis. RIP3 acts upstream to regulate necrosis-specific RIP1 phosphorylation. However, since the level of RIP1 phosphorylation by ectopically expressed RIP3 was low, it remains possible that RIP3 may activate another kinase that directly phosphorylates RIP1 | Discourse Facet:  Discussion_Citation | Annotator:  C, |

