Topic ID: D1412_TRAIN | Citance Number: 1 | Reference Article:  Cho.txt | Citing Article:  Bray.txt | Citation Marker Offset:  24976-24978 | Citation Marker:  63 | Citation Offset:  24910-24991 | Citation Text:  Necroptosis is also part of host defense against virus infection [63], [64], [65] | Reference Offset:  ['5114-5262'] | Reference Text:  These results show that RIP3-dependent programmed necrosis is important for virus-induced inflammation and innate immune control of viral infections | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 7 | Reference Article:  Cho.txt | Citing Article:  Li,McQuade.txt | Citation Marker Offset:  4600-4616 | Citation Marker:  Cho et al., 2009 | Citation Offset:  4362-4617 | Citation Text:  Unique segments of homologous sequences in RIP1 and RIP3 (RIP homotypic interaction motifs, RHIMs) (Figures 1A and 1B) were shown to mediate their interaction (Sun et al., 2002), which is crucial for the induction of programmed necrosis (Cho et al., 2009) | Reference Offset:  ['7936-8132', '8296-8389', '8134-8294'] | Reference Text:  Tetra-alanine substitutions in the RHIM of RIP1 or RIP3 abolished their association (Fig. S2) and the ability of RIP3 to restore TNF-induced programmed necrosis in RIP3-null Jurkat cells (Fig. 2C) ... Similar mutations in the kinase and RHIM domains of RIP1 also abolished the RIP1-mediated rescue of programmed necrosis in RIP1-deficient Jurkat cells (Fig. 2D) ... Thus, both the kinase and RHIM domains of RIP1 and RIP3 are important for programmed necrosis | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 8 | Reference Article:  Cho.txt | Citing Article:  Park.txt | Citation Marker Offset:  4114-4116 | Citation Marker:  25 | Citation Offset:  3840-4144 | Citation Text:  In addition, caspase-8 is inhibited by cytokine response modifier A (CrmA), while pharmacological agents interact with deubiquitinated RIP1-receptor-interacting serine/threonine-protein kinase 3 (RIP3), which binds to the RIP homotypic interaction motif (RHIM) [23], [24], [25], [26], [27], [28] and [29] | Reference Offset:  ['7798-7934'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 9 | Reference Article:  Cho.txt | Citing Article:  Roca.txt | Citation Marker Offset:  10901-10917 | Citation Marker:  Cho et al., 2009 | Citation Offset:  10681-10976 | Citation Text:  TNF-mediated programmed necrosis typically involves the receptor-interacting serine-threonine kinases 1 and 3 (RIP1 and RIP3), as evidenced in human, mouse, and zebrafish cell lines, as well as in a murine sepsis model (Cho et al., 2009; He et al., 2009; Holler et al., 2000; Zhang et al., 2009) | Reference Offset:  ['6219-6313', '6315-6456', '20705-20942'] | Reference Text:  Significantly, RIP1 was one of the protective clones, demonstrating the fidelity of our screen ... Another siRNA clone, RIP3, conferred protection against TNF-induced programmed necrosis at a level comparable to that by RIP1 siRNA (Fig. S1) ... Importantly, while RIP1-RIP3 complex was only detected when cells were stimulated with T/C/Z (Fig. 4E-G) or TNF/zVAD (Fig. 6F, lanes 3-4), TNF alone was sufficient to trigger RIP1-RIP3 association in VV-infected MEFs (Fig. 6F, lanes 5-8) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 10 | Reference Article:  Cho.txt | Citing Article:  Sawai.txt | Citation Marker Offset:  4092-4094 | Citation Marker:  11 | Citation Offset:  4042-4095 | Citation Text:  RIP1 was reported to interact with RIP3 [10] and [11] | Reference Offset:  ['7798-7934'] | Reference Text:  RIP1 and RIP3 have been reported to interact with each other via the RIP homotypic interaction motif (RHIM) (Fig. 2A) (Sun et al., 2002) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 11 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3392-3408 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3282-3429 | Citation Text:  Necrotic death was augmented when caspase activities were compromised by either viral or chemical inhibitors (Cho et al., 2009 and He et al., 2009) | Reference Offset:  ['18950-19083', '19649-19812'] | Reference Text:  VV-infected cells were resistant to death receptor-induced apoptosis but become sensitized to TNF-induced necrosis (Li and Beg, 2000) ... VV-infected wild type T-cells also exhibited a modest decrease in TNF-induced cell death due to the inhibition of caspase-dependent apoptosis (Fig. 6B, white bars) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 12 | Reference Article:  Cho.txt | Citing Article:  Wang,Sun.txt | Citation Marker Offset:  3579-3595 | Citation Marker:  Cho et al., 2009 | Citation Offset:  3431-3680 | Citation Text:  This form of necrosis, also termed necroptosis, requires the activity of receptor-interacting protein kinase 1 (RIP1) and its related kinase, RIP3 (Cho et al., 2009, Degterev et al., 2008, He et al., 2009, Holler et al., 2000 and Zhang et al., 2009) | Reference Offset:  ['24616-24724', '26324-26484'] | Reference Text:  Interestingly, the RIP1 kinase activity is also required for RIP3 phosphorylation during programmed necrosis ... Consistent with this model, RIP3 RHIM mutant was kinase inactive and failed to sensitize programmed necrosis in wild type Jurkat cells (unpublished observation) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 13 | Reference Article:  Cho.txt | Citing Article:  Wu,Li.txt | Citation Marker Offset:  2638-2639 | Citation Marker:  4 | Citation Offset:  2529-2650 | Citation Text:  The level of RIP3 expression appears to be a crucial determinant for the choice of apoptosis or necroptosis [4], [5], [6] | Reference Offset:  ['25206-25359', '19431-19526'] | Reference Text:  VV-infected RIP3-/- cells were also protected from TNF-induced cell death (Fig. 6B, black bars) ... In addition, ectopically expressed RIP3, but not RIP3 present within the endogenous FADD complex, efficiently phosphorylated the artificial substrate MBP | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1412_TRAIN | Citance Number: 14 | Reference Article:  Cho.txt | Citing Article:  Yan,Du.txt | Citation Marker Offset:  58705-58714 | Citation Marker:  [57]–[64] | Citation Offset:  58544-58714 | Citation Text:  If caspase-8 activity is inhibited, RIP1 and RIP3 are phosphorylated and form the necrosome, upon which necroptosis is switched on [35], [44], [45], [50], [54], [57]–[64] | Reference Offset:  ['14483-14579', '15623-15826', '14919-15023'] | Reference Text:  Indeed, RIP1 phosphorylation was detected when programmed necrosis was induced (Fig. 4B, lane 2) ... Similar TNF-dependent RIP1 phosphorylation was observed in FADD-deficient Jurkat cells (Fig. 4C, lane 2) ... However, the level of RIP3-mediated RIP1 phosphorylation was weak, suggesting that other kinases might be involved in phosphorylating RIP1 and stabilizing its association with the pro-necrotic Complex II | Discourse Facet:  Results_Citation | Annotator:  G, |

