Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['3990-4372', '23096-23218', '36849-37050'] | Reference Text:  In many tumors, the capacity of the Bcl-2 family to remove damaged cells is subverted, either because a prosurvival family member is overexpressed (Cory et al., 2003), or because mutations in the p53 pathway ablate induction by p53 of the BH3-only proteins Puma and Noxa, which would otherwise trigger apoptosis (Jeffers et al., 2003, Shibue et al., 2003 and Villunger et al., 2003) ... Since tumors often overexpress Bcl-2 (Tsujimoto et al., 1985) or Bcl-xL, we also tested the impact of their overexpression ... ABT-737 is likely to be effective (Figure 5, Figure 6, Figure 7 and Figure 8; Figures S3 and S4) even in the presence of the very high levels of Bcl-2 or Bcl-xL found in many tumors (Cory et al., 2003) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 7 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11467-11469 | Citation Marker:  28 | Citation Offset:  11366-11476 | Citation Text:  To model BCL-xL we used a crystal structure bound to a known inhibitor, ABT-737, with pdb code 2YXJ [28], [29] | Reference Offset:  ['5850-5957', '34185-34366'] | Reference Text:  The exception was ABT-737, a recently described compound from Abbott Laboratories (Oltersdorf et al., 2005) ... Of the compounds tested, only ABT-737, developed by structure-based design and greatly improved by medicinal chemistry (Oltersdorf et al., 2005), acted like an authentic BH3 mimetic | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 8 | Reference Article:  vanDelft.txt | Citing Article:  Jiao,Wu.txt | Citation Marker Offset:  3223-3225 | Citation Marker:  14 | Citation Offset:  3088-3231 | Citation Text:  So antagonizing anti-apoptotic members of Bcl-2 family to promote apoptosis is a good strategy for targeted anticancer drug discovery [14]–[16] | Reference Offset:  ['4443-4669'] | Reference Text:  Therefore, there is great interest in the prospect of developing anticancer agents that directly target Bcl-2-like prosurvival proteins by mimicking the BH3 domain (Baell and Huang, 2002, Fesik, 2005 and Rutledge et al., 2002) | Discourse Facet:  Implication_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 9 | Reference Article:  vanDelft.txt | Citing Article:  Lang.txt | Citation Marker Offset:  4712-4734 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  4360-4735 | Citation Text:  In addition, overexpression of Bcl-2, Bcl-xL, and/or Mcl-1 has also been implicated in the development of drug resistance in the clinic after chemotherapy such as paclitaxel, doxorubicin, cisplatin, and bortezomib (Bauer et al., 2005; Ellis et al., 1998; Gomez-Bougie et al., 2007; Oltersdorf et al., 2005; Tabuchi et al., 2009; Teixeira et al., 1995; van Delft et al., 2006) | Reference Offset:  ['26373-26656', '27499-27745', '43297-43490'] | Reference Text:  Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) ... As chemoresistance mediated by overexpression of Bcl-2 or Bcl-xL is a major clinical problem (Cory et al., 2003 and Kaufmann and Vaux, 2003), we also assessed whether the synergy persisted in FDC-P1 cells engineered to overexpress these guardians ... They also identify Mcl-1 and A1 as likely prognostic markers for clinical responses and suggest that Mcl-1 upregulation or stabilization may well emerge as a mechanism of resistance to the drug | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 10 | Reference Article:  vanDelft.txt | Citing Article:  Lee,Ha.txt | Citation Marker Offset:  4680-4682 | Citation Marker:  20 | Citation Offset:  4390-4808 | Citation Text:  The Bcl-2 inhibitor ABT-737 induces regression of solid tumors [18] and its derivatives are in the early clinical phase as cancer therapeutics. However, it targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737 [19] and [20]. Thus, indiscriminate inhibition of diverse anti-apoptotic Bcl-2 family members is required for effective anticancer therapy | Reference Offset:  ['2008-2300', '5959-6951', '26373-26656'] | Reference Text:  Because ABT-737 targets only certain prosurvival proteins (Bcl-2, Bcl-xL, Bcl-w), its efficacy as a single agent is restricted to tumors where prosurvival Mcl-1 is low. We show that resistant cells can be sensitized to ABT-737 by approaches that downregulate, destabilize, or inactivate Mcl-1 ... ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005). Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression. These findings have notable implications for the ways potential drugs like ABT-737 might be used for treating patients with cancer ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 11 | Reference Article:  vanDelft.txt | Citing Article:  Peddaboina.txt | Citation Marker Offset:  2908-2909 | Citation Marker:  4 | Citation Offset:  2700-3169 | Citation Text:  The downregulation of Bcl-xL has been shown to induce apoptosis and increase chemosensitivity [1,2] but resistance to chemotherapy is still observed in some cancer cells even after Bcl-2/Bcl-xL inhibition [3,4]. Recent reports have revealed that the overexpression of Mcl-1 compensates for the loss of the anti-apoptotic function of Bcl-2/xL [5,6]. A reduction in Mcl-1 significantly enhances the sensitivity of cancer cells to ABT-737 and other chemotherapeutics [7-9] | Reference Offset:  ['6383-6819', '23096-23894'] | Reference Text:  Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... Since tumors often overexpress Bcl-2 (Tsujimoto et al., 1985) or Bcl-xL, we also tested the impact of their overexpression. Even when Mcl-1 was inactivated (by expressing Noxa), Bcl-xL overexpression conferred limited resistance to ABT-737 (Figure 5C), perhaps by raising the level of ABT-737 targets. Surprisingly, however, Bcl-2 overexpression did not prevent ABT-737-induced death (Figure 5C), even though its level was sufficient to inhibit Etoposide-induced apoptosis (Figure 5D). Thus, if Mcl-1 is inactivated, Bcl-2 overexpression does not diminish the cytotoxic activity of ABT-737, and Bcl-xL overexpression does so only moderately. This suggests that combining ABT-737 with strategies to inactivate Mcl-1 has therapeutic potential, even in the many tumors where Bcl-2 is markedly elevated | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 12 | Reference Article:  vanDelft.txt | Citing Article:  Wei.txt | Citation Marker Offset:  3871-3893 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  3609-3894 | Citation Text:  While it is expected that ABT-263 or related compounds will have clinical activity in BCL2- or BCL-xL-dependent tumors, it is clear that many tumors do not depend on these proteins, but rather rely on other anti-apoptotic factors such as MCL1 (Lin et al., 2006; van Delft et al., 2006) | Reference Offset:  ['968-1594', '5959-6951', '42979-43490'] | Reference Text:  Despite its high affinity for Bcl-2, Bcl-xL, and Bcl-w, many cell types proved refractory to ABT-737. We show that this resistance reflects ABT-737's inability to target another prosurvival relative, Mcl-1. Downregulation of Mcl-1 by several strategies conferred sensitivity to ABT-737. Furthermore, enforced Mcl-1 expression in a mouse lymphoma model conferred resistance. In contrast, cells overexpressing Bcl-2 remained highly sensitive to ABT-737. Hence, ABT-737 should prove efficacious in tumors with low Mcl-1 levels, or when combined with agents that inactivate Mcl-1, even to treat those tumors that overexpress Bcl-2 ... ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005). Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression. These findings have notable implications for the ways potential drugs like ABT-737 might be used for treating patients with cancer ... In conclusion, the present studies validate the feasibility of targeting Bcl-2-like proteins using BH3 mimetics such as ABT-737 to induce apoptosis (Oltersdorf et al., 2005). The mechanistic insights provided here suggest ways in which ABT-737 might be used efficaciously as a single agent and in combination therapy. They also identify Mcl-1 and A1 as likely prognostic markers for clinical responses and suggest that Mcl-1 upregulation or stabilization may well emerge as a mechanism of resistance to the drug | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1414_TRAIN | Citance Number: 13 | Reference Article:  vanDelft.txt | Citing Article:  Wei.txt | Citation Marker Offset:  4364-4386 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  4202-4500 | Citation Text:  For example, over-expression of MCL1 is a major resistance mechanism for the experimental BCL2/BCL-xL inhibitor ABT-737 (Chen et al., 2007; Keuling et al., 2009; van Delft et al., 2006), and MCL1 has been similarly implicated in the resistance of non-BCL2-family-targeted therapy (Wei et al., 2006) | Reference Offset:  ['25455-26356', '26373-26656', '36221-36846'] | Reference Text:  Figure 6. Mcl-1 expression blunts the in vivo response of Eμ-myc/bcl-2 bitransgenic lymphomas to ABT-737 Two independent progenitor B cell lymphomas (#9 [A and C] and #16 [B and D]) derived from Eμ-myc/bcl-2 bitransgenic mice ( Strasser et al., 1990) were infected with the control GFP-expressing retrovirus, or ones coexpressing Bcl-2 or Mcl-1 and GFP. The mice were injected with 106 infected tumor cells before initiating therapy 4 days later with ABT-737 (75 mg/kg given daily for 2 weeks by intraperitoneal injection) (C and D) or the vehicle alone (A and B). ABT-737 improved the survival of mice transplanted with both tumors even when Bcl-2 was overexpressed. However, Mcl-1-overexpressing lymphomas were highly resistant to ABT-737, and these mice died rapidly, akin to their untreated counterparts. Kaplan-Meier survival curves were derived from an experiment with three mice in each cohort ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) ... Thus, the expression levels of prosurvival proteins, particularly Mcl-1 and A1, in individual tumors should be valuable prognostic markers for responses to ABT-737. In small-cell lung cancer cell lines, resistance to ABT-737 correlates with elevated Mcl-1 expression (C. Tse, S.K. Tahir, S. Fesik, S. Rosenberg, and S. Elmore, personal communication). Our results also predict that tumors initially sensitive to ABT-737 may eventually become resistant by Mcl-1 upregulation. Indeed, the efficacy of ABT-737 to prolong survival of mice transplanted with a lymphoma is severely compromised if Mcl-1 is overexpressed ( Figure 6) | Discourse Facet:  Results_Citation | Annotator:  E, |

