Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['5959-6381', '23738-23894', '32081-32278'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... This suggests that combining ABT-737 with strategies to inactivate Mcl-1 has therapeutic potential, even in the many tumors where Bcl-2 is markedly elevated ... These results suggest that combining ABT-737 with selected cytokine antagonists in order to reduce Mcl-1 levels might be an effective strategy to eliminate Bcl-2-overexpressing malignancies in vivo | Discourse Facet:  Discussion_Citation | Annotator:  D, |
Topic ID: D1414_TRAIN | Citance Number: 7 | Reference Article:  vanDelft.txt | Citing Article:  Hosseini.txt | Citation Marker Offset:  11467-11469 | Citation Marker:  28 | Citation Offset:  11366-11476 | Citation Text:  To model BCL-xL we used a crystal structure bound to a known inhibitor, ABT-737, with pdb code 2YXJ [28], [29] | Reference Offset:  ['9702-10029', '20330-20491'] | Reference Text:  In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online) ... We therefore conclude that ABT-737 causes Bax/Bak activation indirectly, by binding tightly and selectively to Bcl-2, Bcl-xL, and Bcl-w ( Figure 2 and Figure S1) | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 8 | Reference Article:  vanDelft.txt | Citing Article:  Jiao,Wu.txt | Citation Marker Offset:  3223-3225 | Citation Marker:  14 | Citation Offset:  3088-3231 | Citation Text:  So antagonizing anti-apoptotic members of Bcl-2 family to promote apoptosis is a good strategy for targeted anticancer drug discovery [14]–[16] | Reference Offset:  ['4374-4751', '23738-23894', '32081-32278'] | Reference Text:  Nevertheless, nearly all tumors retain the core apoptotic machinery. Therefore, there is great interest in the prospect of developing anticancer agents that directly target Bcl-2-like prosurvival proteins by mimicking the BH3 domain (Baell and Huang, 2002, Fesik, 2005 and Rutledge et al., 2002). A “BH3 mimetic” should readily kill tumor cells, even those lacking p53 function ... This suggests that combining ABT-737 with strategies to inactivate Mcl-1 has therapeutic potential, even in the many tumors where Bcl-2 is markedly elevated ... These results suggest that combining ABT-737 with selected cytokine antagonists in order to reduce Mcl-1 levels might be an effective strategy to eliminate Bcl-2-overexpressing malignancies in vivo | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 9 | Reference Article:  vanDelft.txt | Citing Article:  Lang.txt | Citation Marker Offset:  4712-4734 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  4360-4735 | Citation Text:  In addition, overexpression of Bcl-2, Bcl-xL, and/or Mcl-1 has also been implicated in the development of drug resistance in the clinic after chemotherapy such as paclitaxel, doxorubicin, cisplatin, and bortezomib (Bauer et al., 2005; Ellis et al., 1998; Gomez-Bougie et al., 2007; Oltersdorf et al., 2005; Tabuchi et al., 2009; Teixeira et al., 1995; van Delft et al., 2006) | Reference Offset:  ['2861-3241', '23096-23396', '26373-26656'] | Reference Text:  The key regulators of apoptosis are the interacting proteins of the Bcl-2 family (Cory et al., 2003). Its prosurvival members, Bcl-xL, Bcl-w, Mcl-1, and A1 (Bfl-1), as well as Bcl-2 itself, are countered by a subfamily of distantly related death ligands, the BH3-only proteins (Huang and Strasser, 2000), which share with other family members only the short BH3 interaction domain ... Since tumors often overexpress Bcl-2 (Tsujimoto et al., 1985) or Bcl-xL, we also tested the impact of their overexpression. Even when Mcl-1 was inactivated (by expressing Noxa), Bcl-xL overexpression conferred limited resistance to ABT-737 (Figure 5C), perhaps by raising the level of ABT-737 targets ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 10 | Reference Article:  vanDelft.txt | Citing Article:  Lee,Ha.txt | Citation Marker Offset:  4680-4682 | Citation Marker:  20 | Citation Offset:  4390-4683 | Citation Text:  The Bcl-2 inhibitor ABT-737 induces regression of solid tumors [18] and its derivatives are in the early clinical phase as cancer therapeutics. However, it targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737 [19] and [20] | Reference Offset:  ['5959-6381', '6550-6819', '26373-26656'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005) ... Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... Thus, our data identify Mcl-1 as a critical barrier to responsiveness to ABT-737. Its increased expression renders sensitive cells resistant in vitro and in vivo (Figure S3 and Figure 6), whereas its inactivation sensitizes resistant cells (Figure 2, Figure 3, Figure 4 and Figure 5) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 11 | Reference Article:  vanDelft.txt | Citing Article:  Peddaboina.txt | Citation Marker Offset:  2908-2909 | Citation Marker:  4 | Citation Offset:  2700-2910 | Citation Text:  The downregulation of Bcl-xL has been shown to induce apoptosis and increase chemosensitivity [1,2] but resistance to chemotherapy is still observed in some cancer cells even after Bcl-2/Bcl-xL inhibition [3,4] | Reference Offset:  ['5959-6548', '23096-23580'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005). Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005) ... Since tumors often overexpress Bcl-2 (Tsujimoto et al., 1985) or Bcl-xL, we also tested the impact of their overexpression. Even when Mcl-1 was inactivated (by expressing Noxa), Bcl-xL overexpression conferred limited resistance to ABT-737 (Figure 5C), perhaps by raising the level of ABT-737 targets. Surprisingly, however, Bcl-2 overexpression did not prevent ABT-737-induced death (Figure 5C), even though its level was sufficient to inhibit Etoposide-induced apoptosis (Figure 5D) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 12 | Reference Article:  vanDelft.txt | Citing Article:  Wei.txt | Citation Marker Offset:  3871-3893 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  3609-3894 | Citation Text:  While it is expected that ABT-263 or related compounds will have clinical activity in BCL2- or BCL-xL-dependent tumors, it is clear that many tumors do not depend on these proteins, but rather rely on other anti-apoptotic factors such as MCL1 (Lin et al., 2006; van Delft et al., 2006) | Reference Offset:  ['5959-6819', '36034-36694'] | Reference Text:  ABT-737 holds great promise, as it avidly binds the prosurvival proteins most similar to Bcl-2 and induces Bax/Bak-dependent killing. Nevertheless, with many cells, ABT-737 was not cytotoxic on its own. Its behavior mirrored that of the BH3-only protein Bad, which we showed recently to be a relatively weak killer because it cannot engage the more divergent Bcl-2 homolog Mcl-1 (Chen et al., 2005 and Willis et al., 2005). Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005). Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737. Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression ... On the other hand, in those tumors where Mcl-1 is the predominant survival protein, such as multiple myeloma ( Zhang et al., 2002), ABT-737 is unlikely to be effective as a single agent. Thus, the expression levels of prosurvival proteins, particularly Mcl-1 and A1, in individual tumors should be valuable prognostic markers for responses to ABT-737. In small-cell lung cancer cell lines, resistance to ABT-737 correlates with elevated Mcl-1 expression (C. Tse, S.K. Tahir, S. Fesik, S. Rosenberg, and S. Elmore, personal communication). Our results also predict that tumors initially sensitive to ABT-737 may eventually become resistant by Mcl-1 upregulation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1414_TRAIN | Citance Number: 13 | Reference Article:  vanDelft.txt | Citing Article:  Wei.txt | Citation Marker Offset:  4364-4386 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  4202-4500 | Citation Text:  For example, over-expression of MCL1 is a major resistance mechanism for the experimental BCL2/BCL-xL inhibitor ABT-737 (Chen et al., 2007; Keuling et al., 2009; van Delft et al., 2006), and MCL1 has been similarly implicated in the resistance of non-BCL2-family-targeted therapy (Wei et al., 2006) | Reference Offset:  ['17081-17292', '36221-36694'] | Reference Text:  Even though Noxa targets both Mcl-1 and A1 (Chen et al., 2005), absence of the latter in many cell types (see below and Willis et al., 2005) points to Mcl-1 as an important predictor of responsiveness to ABT-737 ... Thus, the expression levels of prosurvival proteins, particularly Mcl-1 and A1, in individual tumors should be valuable prognostic markers for responses to ABT-737. In small-cell lung cancer cell lines, resistance to ABT-737 correlates with elevated Mcl-1 expression (C. Tse, S.K. Tahir, S. Fesik, S. Rosenberg, and S. Elmore, personal communication). Our results also predict that tumors initially sensitive to ABT-737 may eventually become resistant by Mcl-1 upregulation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

