Topic ID: D1414_TRAIN | Citance Number: 1 | Reference Article:  vanDelft.txt | Citing Article:  Anagnostou.txt | Citation Marker Offset:  25543-25548 | Citation Marker:  14-17 | Citation Offset:  25301-25549 | Citation Text:  Although we are optimistic that the prognostic findings presented here are likely to portend predictive results, it is not evident that Bcl-2 expression as a positive prognostic factor is related to a beneficial therapeutic target potential [14-17] | Reference Offset:  ['36849-37050', '37352-37656'] | Reference Text:  ABT-737 is likely to be effective (Figure 5, Figure 6, Figure 7 and Figure 8; Figures S3 and S4) even in the presence of the very high levels of Bcl-2 or Bcl-xL found in many tumors (Cory et al., 2003) ... A striking but consistent finding was that ABT-737 sensitized cells overexpressing Bcl-2 to a much greater extent than those overexpressing Bcl-xL (Figure 5, Figure 7 and Figure 8; Figure S4), even though the affinity of ABT-737 for Bcl-2 and Bcl-xL is comparable (Figure S1A and Oltersdorf et al., 2005) | Discourse Facet:  Discussion_Citation | Annotator:  G, |
Topic ID: D1414_TRAIN | Citance Number: 9 | Reference Article:  vanDelft.txt | Citing Article:  Lang.txt | Citation Marker Offset:  4712-4734 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  4360-4735 | Citation Text:  In addition, overexpression of Bcl-2, Bcl-xL, and/or Mcl-1 has also been implicated in the development of drug resistance in the clinic after chemotherapy such as paclitaxel, doxorubicin, cisplatin, and bortezomib (Bauer et al., 2005; Ellis et al., 1998; Gomez-Bougie et al., 2007; Oltersdorf et al., 2005; Tabuchi et al., 2009; Teixeira et al., 1995; van Delft et al., 2006) | Reference Offset:  ['23220-23396', '24324-24482', '36573-36846'] | Reference Text:  Even when Mcl-1 was inactivated (by expressing Noxa), Bcl-xL overexpression conferred limited resistance to ABT-737 (Figure 5C), perhaps by raising the level of ABT-737 targets ... As predicted, ectopic Mcl-1 expression rendered these cells resistant to ABT-737, whereas Bcl-2 overexpression at much higher levels had no effect (Figure S3) ... Our results also predict that tumors initially sensitive to ABT-737 may eventually become resistant by Mcl-1 upregulation. Indeed, the efficacy of ABT-737 to prolong survival of mice transplanted with a lymphoma is severely compromised if Mcl-1 is overexpressed ( Figure 6) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 10 | Reference Article:  vanDelft.txt | Citing Article:  Lee,Ha.txt | Citation Marker Offset:  4680-4682 | Citation Marker:  20 | Citation Offset:  4534-4683 | Citation Text:  However, it targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737 [19] and [20] | Reference Offset:  ['6550-6627', '9702-10029'] | Reference Text:  Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737 ... In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 11 | Reference Article:  vanDelft.txt | Citing Article:  Peddaboina.txt | Citation Marker Offset:  2908-2909 | Citation Marker:  4 | Citation Offset:  2700-2910 | Citation Text:  The downregulation of Bcl-xL has been shown to induce apoptosis and increase chemosensitivity [1,2] but resistance to chemotherapy is still observed in some cancer cells even after Bcl-2/Bcl-xL inhibition [3,4] | Reference Offset:  ['36573-36694'] | Reference Text:  Our results also predict that tumors initially sensitive to ABT-737 may eventually become resistant by Mcl-1 upregulation | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 12 | Reference Article:  vanDelft.txt | Citing Article:  Wei.txt | Citation Marker Offset:  3871-3893 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  3609-3894 | Citation Text:  While it is expected that ABT-263 or related compounds will have clinical activity in BCL2- or BCL-xL-dependent tumors, it is clear that many tumors do not depend on these proteins, but rather rely on other anti-apoptotic factors such as MCL1 (Lin et al., 2006; van Delft et al., 2006) | Reference Offset:  ['6383-6548', '6550-6627', '6629-6819'] | Reference Text:  Recent studies argue that Mcl-1 has a critical, distinctive role in the control of apoptosis (Cuconati et al., 2003, Nijhawan et al., 2003 and Opferman et al., 2005) ... Indeed, we find that Mcl-1 greatly constrains the cytotoxic action of ABT-737 ... Accordingly, we show that several strategies for downregulating Mcl-1, some clinically applicable, render diverse cells highly sensitive to ABT-737, even in the face of high Bcl-2 expression | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1414_TRAIN | Citance Number: 13 | Reference Article:  vanDelft.txt | Citing Article:  Wei.txt | Citation Marker Offset:  4364-4386 | Citation Marker:  van Delft et al., 2006 | Citation Offset:  4202-4500 | Citation Text:  For example, over-expression of MCL1 is a major resistance mechanism for the experimental BCL2/BCL-xL inhibitor ABT-737 (Chen et al., 2007; Keuling et al., 2009; van Delft et al., 2006), and MCL1 has been similarly implicated in the resistance of non-BCL2-family-targeted therapy (Wei et al., 2006) | Reference Offset:  ['9702-10029', '24324-24482', '36696-36846'] | Reference Text:  In contrast to these compounds, in solution competition assays (Chen et al., 2005) the BH3 mimetic ABT-737 (Oltersdorf et al., 2005) bound with high affinity to Bcl-2, Bcl-xL, and Bcl-w (IC50 < 10 nM), but not detectably to the more divergent Mcl-1 or A1 (Figure S1A in the Supplemental Data available with this article online) ... As predicted, ectopic Mcl-1 expression rendered these cells resistant to ABT-737, whereas Bcl-2 overexpression at much higher levels had no effect (Figure S3) ... Indeed, the efficacy of ABT-737 to prolong survival of mice transplanted with a lymphoma is severely compromised if Mcl-1 is overexpressed ( Figure 6) | Discourse Facet:  Results_Citation | Annotator:  G, |

